Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲉϥϫⲓ	εϥϫι	efgi	efgi	efgi	اسم	مذكر	"تجعيد
كرمشة"		ⲉϥϫⲓ (ⲡ)	(ⲡ)
ⲉϥϫⲓ	εϥϫι	efgi	efgi	efgi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يكش
يثني
يلوي
يكرمش
يكمش
يتجعد"		ⲉϥϫⲓ	
ὲϧⲏⲧ	ὲϧητ	ekʰiːt	ekhyt	ekhït	ظرف		"نحو الشمال الجغرافي
تجاه بحري"		ὲϧⲏⲧ (adv.)	(adv.)
ὲϧⲟⲩⲛ	ὲϧουν	ekʰoːn	`ekhoun	èkhün	حرف جر		"إلى داخل
داخل"		ὲϧⲟⲩⲛ	
ὲ`ϧⲣⲏⲓ	ὲ`ϧρηι	e-ekʰriːi	`e`khryi	èekhrïi	حرف جر		"إلى أسفل
تحت"		ὲ`ϧⲣⲏⲓ	
ⲉϧⲧ	εϧτ	ekʰt	ekht	ekht	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يقطر
ينقط
يصفي
يرشح
يسكب"		ⲉϧⲧ	
ὲϩⲉ	ὲϩε	ehe	`ehe	èhe	اسم	مذكر ، مؤنث	"ثور
عجل
بقرة"		ὲϩⲉ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ὲϩⲉⲟⲩ	ὲϩεου	ehe-oː	`eheou	èheü	اسم	جمع	"ثيران
عجول
أبقار"		ὲϩⲉⲟⲩ (ⲛ)	(ⲛ)
ὲϩⲉⲩ	ὲϩευ	ehev	`eheu	èhev	اسم	جمع	"ثيران
عجول
أبقار"		ὲϩⲉⲩ (ⲛ)	(ⲛ)
ὲϩⲏⲟⲩ	ὲϩηου	ehiː-oː	`ehyou	èhïü	اسم	جمع	"ثيران
عجول
أبقار"		ὲϩⲏⲟⲩ (ⲛ)	(ⲛ)
ⲉϩⲛⲁ	εϩνα	ehnɑ	ehna	ehna	اسم	صيغة ضميرية يأتي بعدها ضمير مفعول	"إرادة
رغبة
مشيئة"		ⲉϩⲛⲁ	
ⲉϩⲛⲉ	εϩνε	ehne	ehne	ehne	اسم	صيغة ضميرية يأتي بعدها ضمير مفعول	"إرادة
رغبة
مشيئة"		ⲉϩⲛⲉ	
ὲϩⲟⲟⲩ	ὲϩοου	eho-oː	`ehoou	èhoü	اسم	مذكر	"يوم
نهار"		ὲϩⲟⲟⲩ (ⲡ)	(ⲡ)
ὲϩⲟⲧⲉ	ὲϩοτε	ehote	`ehote	èhote	أداة ربط		"لما
حينما"	يوناني	ὲϩⲟⲧⲉ	
ὲϩⲟⲧⲉ	ὲϩοτε	ehote	`ehote	èhote	صفة		"أكثر من
أفضل من"		ὲϩⲟⲧⲉ (adj.)	(adj.)
ὲϩⲟⲧⲉ ὲ	ὲϩοτε ὲ	ehote e	`ehote `e	èhote è	صيغة تفضيل	صيغة ضميرية يأتي بعدها ضمير مفعول	"أكثر من
أفضل من"		ὲϩⲟⲧⲉ ὲ	
ὲϩⲟⲧⲉⲣⲟ	ὲϩοτερο	ehotero	`ehotero	èhotero	صيغة تفضيل	صيغة ضميرية يأتي بعدها ضمير مفعول	"أكثر من
أفضل من"		ὲϩⲟⲧⲉⲣⲟ	
ὲ`ϩⲣⲁ	ὲ`ϩρα	e-ehrɑ	`e`hra	èehra	حرف جر		"تجاه
مقابل
في مواجهة
أمام"		ὲ`ϩⲣⲁ	
ὲ`ϩⲣⲉⲛ	ὲ`ϩρεν	e-ehren	`e`hren	èehren	حرف جر		"تجاه
مقابل
في مواجهة
أمام
ضد
فيما بين"		ὲ`ϩⲣⲉⲛ	
ὲ`ϩⲣⲏⲓ	ὲ`ϩρηι	e-ehriːi	`e`hryi	èehrïi	حرف جر		إلى فوق		ὲ`ϩⲣⲏⲓ	
ὲ`ϩⲣⲏⲓ ὲϫⲉⲛ	ὲ`ϩρηι ὲϫεν	e-ehriːi egen	`e`hryi `egen	èehrïi ègen	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	على		ὲ`ϩⲣⲏⲓ ὲϫⲉⲛ	
ὲ`ϩⲣⲏⲓ ὲϫⲱ	ὲ`ϩρηι ὲϫω	e-ehriːi egoː	`e`hryi `egw	èehrïi ègō	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	على		ὲ`ϩⲣⲏⲓ ὲϫⲱ	
ὲ`ϩⲣⲏⲓ ϩⲓϫⲉⲛ	ὲ`ϩρηι ϩιϫεν	e-ehriːi higen	`e`hryi higen	èehrïi higen	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	على		ὲ`ϩⲣⲏⲓ ϩⲓϫⲉⲛ	
