Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲑⲱϩⲥ	θωϩς	tʰoːhs	thwhs	thōhs	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يمسح بزيت
يدهن بزيت
يضمد"		ⲑⲱϩⲥ	
ⲑⲱϩⲥ	θωϩς	tʰoːhs	thwhs	thōhs	اسم	مذكر	"مسحة
دهن"		ⲑⲱϩⲥ (ⲡ)	(ⲡ)
ⲑⲱϯ	θωϯ	tʰoːti	thwti	thōti	اسم	مؤنث	طرف الثوب		ⲑⲱϯ (ⲧ)	(ⲧ)
										
ⲓ , ⲓ (ⲓⲱⲧⲁ)	ι , ι (ιωτα)	i , i (ioːtɑ)	i , i (iwta)	i , i (iōta)	حرف جر		الحرف العاشر من الأبجدية القبطية		ⲓ , ⲓ (ⲓⲱⲧⲁ)	
ⲓ ⲙⲏⲧ	ι μητ	i miːt	i myt	i mït	رقم		"عشرة للمذكر
10
عشرة"		ⲓ ⲙⲏⲧ (num.)	(num.)
ⲓ ⲙⲏϯ	ι μηϯ	i miːti	i myti	i mïti	رقم		"عشرة للمؤنث
10
عشرة"		ⲓ ⲙⲏϯ (num.)	(num.)
ⲙⲁϩ ⲓ	μαϩ ι	mɑh i	mah i	mah i	رقم		"عاشر
عدد ترتيبي"		ⲙⲁϩ ⲓ (num.)	(num.)
ⲣⲉ ⲓ	ρε ι	re i	re i	re i	رقم		"عشر
جزء من عشرة"		ⲣⲉ ⲓ (num.)	(num.)
ὶ	ὶ	ìː	i	ì	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يأتي
يجيء
يحضر
يوفد
يقدم
يقبل
يحل على"		ὶ	
ὶ ὲⲃⲟⲗ	ὶ ὲβολ	ìː evol	i `ebol	ì èvol	فعل		"يخرج
يصدر
يذيع
يمضي"		ὶ ὲⲃⲟⲗ (v.)	(v.)
ὶ ὲ`ⲡⲉⲥⲏⲧ	ὶ ὲ`πεςητ	ìː e-epesiːt	i `e`pesyt	ì èepesït	فعل		"ينزل
ينحدر
يهبط
يسقط
يقطر"		ὶ ὲ`ⲡⲉⲥⲏⲧ (v.)	(v.)
ὶ ὲ`ⲡϣⲱⲓ	ὶ ὲ`πϣωι	ìː e-epshoːi	i `e`pshwi	ì èepshōi	فعل		"يصعد
يرتفع
يرتقي
ينمو
ينبت"		ὶ ὲ`ⲡϣⲱⲓ (v.)	(v.)
ὶ ὲ`ⲧⲟⲧ	ὶ ὲ`τοτ	ìː e-etot	i `e`tot	ì èetot	فعل		"يقع في يد
يقع بين
يدهم
يعثر على"		ὶ ὲ`ⲧⲟⲧ (v.)	(v.)
ὶ ὲ`ⲧϩⲏ	ὶ ὲ`τϩη	ìː e-et-hiː	i `e`thy	ì èethï	فعل		"يتقدم
ينجح
يفلح
يرتقي
يستفيد
يربح
يكسب"		ὶ ὲ`ⲧϩⲏ (v.)	(v.)
ὶ ⲉⲩⲙⲁ	ὶ ευμα	ìː evmɑ	i euma	ì evma	فعل		"يتحد
يتفق
يتعاهد"		ὶ ⲉⲩⲙⲁ (v.)	(v.)
