Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲣⲓⲕⲓ`ⲙⲃⲁⲗ	ρικι`μβαλ	rikiemval	riki`mbol	rikiemvol	اسم		"طرفة عين
لحظة
لمحة
التفاتة"		ⲣⲓⲕⲓ`ⲙⲃⲁⲗ	
ⲣⲓⲕⲓ`ⲙⲃⲟⲗ	ρικι`μβολ	rikiemvol	riki`mbol	rikiemvol	اسم		التفاتة		ⲣⲓⲕⲓ`ⲙⲃⲟⲗ	
ⲣⲓⲕⲓ `ⲛⲥⲁ	ρικι `νςα	riki ensɑ	riki `nsa	riki ensa	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	يميل نحو		ⲣⲓⲕⲓ `ⲛⲥⲁ	
ⲣⲓⲕⲓ`ⲛϩⲏⲧ	ρικι`νϩητ	rikienhiːt	riki`nhyt	rikienhït	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يميل إلى فكرة
يعتنق فكرة
يقتنع بفكرة ما"		ⲣⲓⲕⲓ`ⲛϩⲏⲧ	
ⲣⲓⲙⲓ	ριμι	rimi	rimi	rimi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يبكي
ينوح
يندب
ينتحب
يدمع
يذرف دمعا"		ⲣⲓⲙⲓ	
ⲣⲓⲙⲓ	ριμι	rimi	rimi	rimi	اسم	مذكر	"بكاء
نوح
عويل
نحيب
حزن
دمعة"		ⲣⲓⲙⲓ (ⲡ)	(ⲡ)
ⲣⲓⲡⲓⲍⲉⲓⲛ	ριπιζειν	ripizein	ripizein	ripizein	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يرفرف
يدفع
يقذف
يهب
يجعله يتمايل
يهز
ينفخ
يتقاذف
يهب هنا وهناك"	يوناني	ⲣⲓⲡⲓⲍⲉⲓⲛ	
ⲣⲓⲡⲓϯ	ριπιϯ	ripiti	ripiti	ripiti	اسم	مذكر	"مروحة
هواية"		ⲣⲓⲡⲓϯ (ⲡ)	(ⲡ)
ⲣⲓⲣ	ριρ	rir	rir	rir	اسم	مذكر	"خنزير
خنوص
نوع حيوان ذو أربع"		ⲣⲓⲣ (ⲡ)	(ⲡ)
ⲣⲓⲧⲁ	ριτα	ritɑ	rita	rita	اسم		ريته ، نوع نبات		ⲣⲓⲧⲁ	
ⲣⲓⲧⲓⲑⲓ	ριτιθι	rititʰi	ritithi	ritithi	اسم	مذكر	"برج الدلو
زبان العقرب
ذنب العقرب"		ⲣⲓⲧⲓⲑⲓ (ⲡ)	(ⲡ)
ⲣⲟ	ρο	ro	ro	ro	اسم	مذكر	"باب
بوابة
مدخل
منفذ
مخرج"		ⲣⲟ (ⲡ)	(ⲡ)
ⲣⲟ	ρο	ro	ro	ro	اسم	مذكر	"حد السلاح
حد السيف
حد السكين"		ⲣⲟ (ⲡ)	(ⲡ)
ⲣⲟ	ρο	ro	ro	ro	اسم	مذكر	"فرع
جدلة
حبل"		ⲣⲟ (ⲡ)	(ⲡ)
ⲣⲱ	ρω	roː	rw	rō	اسم	مذكر ، صيغة ضميرية	"فم
حنك
خشم
فاه
فوهة"		ⲣⲱ	
ⲣⲟ	ρο	ro	ro	ro	اسم	مذكر ، صيغة ضميرية	"فم
حنك
خشم
فاه
فوهة"		ⲣⲟ	
ⲣⲱ	ρω	roː	rw	rō	ظرف		"ذاته
نفسه
عينه"		ⲣⲱ (adv.)	(adv.)
ⲣⲟ	ρο	ro	ro	ro	ظرف		"ذاته
نفسه
عينه"		ⲣⲟ (adv.)	(adv.)
ⲣⲟⲇⲟⲛ	ροδον	rodon	rodon	rodon	اسم	مذكر	زهرة	يوناني	ⲣⲟⲇⲟⲛ (ⲡ)	(ⲡ)
ⲣⲟⲑⲃ	ροθβ	rotʰb	rothb	rothb	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	يتكيء		ⲣⲟⲑⲃ	
ⲣⲟⲑⲃⲉ	ροθβε	rotʰve	rothve	rothve	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	يتكيء		ⲣⲟⲑⲃⲉ	
ⲣⲉⲕⲣⲱⲕ	ρεκρωκ	rekroːk	rekrwk	rekrōk	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يعطن
يفسد
يعفن
يقمر خبز"		ⲣⲉⲕⲣⲱⲕ	
ⲣⲉⲕⲣⲉⲕ	ρεκρεκ	rekrek	rekrek	rekrek	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يعطن
يفسد
يعفن
يقمر خبز"		ⲣⲉⲕⲣⲉⲕ	
ⲣⲟⲕⲣⲉⲕ	ροκρεκ	rokrek	rokrek	rokrek	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعطن
يفسد
يعفن
يقمر خبز"		ⲣⲟⲕⲣⲉⲕ	
ⲣⲟⲕϩ	ροκϩ	rok-h	rokh	rok-h	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يحرق
يشعل
يوقد"		ⲣⲟⲕϩ	
ⲣⲟⲕϩ	ροκϩ	rok-h	rokh	rok-h	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"محروق
محترق
مشتعل
متقد
متحرق"		ⲣⲟⲕϩ	
ⲣⲟⲕϩ	ροκϩ	rok-h	rokh	rok-h	اسم	مذكر	"حطب
وقود"		ⲣⲟⲕϩ (ⲡ)	(ⲡ)
ⲣⲟⲕϩⲓ	ροκϩι	rok-hi	rokhi	rok-hi	اسم	مؤنث	"جمر
جمرة
جذوة
شعلة
نار متأججة"		ⲣⲟⲕϩⲓ (ⲧ)	(ⲧ)
ⲣⲟⲗⲇⲓⲟⲛ	ρολδιον	roldion	roldion	roldion	اسم	مذكر	"وردة
زهرة"	يوناني	ⲣⲟⲗⲇⲓⲟⲛ (ⲡ)	(ⲡ)
ⲣⲟⲙⲡⲓ	ρομπι	rompi	rompi	rompi	اسم	مؤنث	"سنة
عام
حول"		ⲣⲟⲙⲡⲓ (ⲧ)	(ⲧ)
ⲣⲟⲙⲥⲓⲛ	ρομςιν	romsin	romsin	romsin	اسم	مذكر	"قطلب
شجر دقيق الورق"		ⲣⲟⲙⲥⲓⲛ (ⲡ)	(ⲡ)
ⲣⲱⲡⲏ	ρωπη	roːpiː	rwpy	rōpï	اسم	مؤنث	"نوبة
نوبتجية
دور"	يوناني	ⲣⲱⲡⲏ (ⲧ)	(ⲧ)
ⲣⲟⲡⲏ	ροπη	ropiː	ropy	ropï	اسم	مؤنث	"نوبة
نوبتجية
دور"	يوناني	ⲣⲟⲡⲏ (ⲧ)	(ⲧ)
ⲣⲟⲧ	ροτ	rot	rot	rot	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"ينبت
يغرس
يزرع"		ⲣⲟⲧ	
