Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲟϥⲧ	οϥτ	oft	oft	oft	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مسمر
ملتصق
مثبت"		ⲟϥⲧ	
ⲟϥⲧ `ⲛ	οϥτ `ν	oft en	oft `n	oft en	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	مرصع ب		ⲟϥⲧ `ⲛ	
ⲟϥⲧὶϥⲧ	οϥτὶϥτ	oftìft	oftift	oftìft	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	يسمر مسمارا		ⲟϥⲧὶϥⲧ	
ⲟϥϯ	οϥϯ	ofti	ofti	ofti	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يزحف
يدب"		ⲟϥϯ	
ⲟϧⲧ	οϧτ	okʰt	okht	okht	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يقطر
ينقط
يصفي
يرشح
يسكب"		ⲟϧⲧ	
ⲟϧⲧ	οϧτ	okʰt	okht	okht	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"مقطر
مصفى
مرشح"		ⲟϧⲧ	
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يمكث
ينتظر
يظل
يبقى
يتوقف
يثبت
يتأنى
يتمهل"		ὸϩⲓ	
ὸϩⲓ ὲⲣⲁⲧ	ὸϩι ὲρατ	òhi èrɑt	`ohi `erat	òhi èrat	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يقف
ينتصب على قدميه
يثبت
يبقى
يمكث
يرسخ"		ὸϩⲓ ὲⲣⲁⲧ	
ὸϩⲓ ὲⲣⲁⲧϥ	ὸϩι ὲρατϥ	òhi èrɑtf	`ohi `eratf	òhi èratf	اسم	مذكر	"وقوف
قيام
انتصاب
تحقق"		ὸϩⲓ ὲⲣⲁⲧϥ (ⲡ)	(ⲡ)
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحتاج
يعوز
ينقص منه"		ὸϩⲓ	
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"واقف
منتصب
قائم"		ὸϩⲓ	
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	اسم	مذكر	"دير
مسكن رهبان"		ὸϩⲓ (ⲡ)	(ⲡ)
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	اسم	مذكر	"قطيع مواشي
سرب
جوقة
فوج
رعية
حظيرة
زريبة
مرعى
حوش
فناء
دار
مسكن"		ὸϩⲓ (ⲡ)	(ⲡ)
ὸϩⲓ	ὸϩι	òhi	`ohi	òhi	اسم	مذكر	"كوم
جرن
كدس
تل
عرمة تراب"		ὸϩⲓ (ⲡ)	(ⲡ)
ⲟϩⲓ `ⲛ	οϩι `ν	ohi en	ohi `n	ohi en	فعل		انتظر		ⲟϩⲓ `ⲛ (v.)	(v.)
ⲟϩⲧ	οϩτ	oht	oht	oht	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يقطر
يرشح
يستخرج"		ⲟϩⲧ	
ⲟϫⲉⲃ	οϫεβ	ogeb	ogeb	ogeb	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"بارد
مثلج
متجمد"		ⲟϫⲉⲃ	
ὸϫⲓ	ὸϫι	ògi	`ogi	ògi	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يظلم
يختلس
يزور
يخون
يختال
يخدع
يغش
يقهر"		ὸϫⲓ	
ⲟϫⲓ	οϫι	ogi	ogi	ogi	اسم	مؤنث	"ظلم
جور
خداع
غش
خيانة
قهر"		ⲟϫⲓ (ⲧ)	(ⲧ)
ⲟϫⲓ	οϫι	ogi	ogi	ogi	اسم	مذكر ، مؤنث	"ظالم
غشاش
مزور
خداع
مختلس
جائر
ختال
أثيم
باغ
معوج"		ⲟϫⲓ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲟⲩⲟϫⲓ	ουοϫι	oː-ogi	ouogi	üogi	فعل		"وجنة
خد"		ⲟⲩⲟϫⲓ (v.)	(v.)
ⲟϫⲓ	οϫι	ogi	ogi	ogi	فعل	مؤنث	"وجنة
خد"		ⲟϫⲓ (v. ⲧ)	(v. ⲧ)
ⲟϩϫ	οϩϫ	ohg	ohg	ohg	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يخنق
يشنق"		ⲟϩϫ	
ⲟϫϩ	οϫϩ	ogh	ogh	ogh	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يخنق
يشنق"		ⲟϫϩ	
ⲟϯ	οϯ	oti	oti	oti	اسم	مؤنث	"رحم
فرج"		ⲟϯ (ⲧ)	(ⲧ)
										
ⲡ, ⲡ (ⲡⲓ)	π, π (πι)	p, p (pi)	p, p (pi)	p, p (pi)	حرف		الحرف السابع عشر من الأبجدية القبطية		ⲡ, ⲡ (ⲡⲓ)	
ϧⲁⲙⲛⲉ	ϧαμνε	kʰɑmne	khamne	khamne	رقم		"ثمانون
80"		ϧⲁⲙⲛⲉ (num.)	(num.)
ⲡ	π	p	p	p	رقم		"ثمانون
80"		ⲡ (num.)	(num.)
`ⲡ	`π	ep	`p	ep	أداة تعريف	مذكر	"ال
أداة تعريف الاسم المذكر الذي لا يبدأ بالأحرف التالية ː بيلمنور
βιλμνορ"		`ⲡ	
ⲡⲁ	πα	pɑ	pa	pa	ضمير ملكية	مذكر	"يخصني
ضمير ملكية المتكلم للمفرد الذكر
هو يكون ملكي أنا
ملكي"		ⲡⲁ	
ⲡⲁⲅⲁⲛⲟⲥ	παγανος	pɑgɑnos	pajanos	paganos	اسم	مذكر	"وثني
متخلف
غير متحضر"	يوناني	ⲡⲁⲅⲁⲛⲟⲥ (ⲡ)	(ⲡ)
ⲡⲁⲑⲁⲛⲟⲛ	παθανον	pɑtʰɑnon	pathanon	pathanon	اسم		"البتانون
اسم بلدة بمحافظة المنوفية شمال القاهرة ، مصر"		ⲡⲁⲑⲁⲛⲟⲛ	
ⲡⲁⲑⲏⲧⲓⲕⲟⲥ	παθητικος	pɑtʰiːtikos	pathytikos	pathïtikos	صفة		"قابل للألم
متألم"	يوناني	ⲡⲁⲑⲏⲧⲓⲕⲟⲥ (adj.)	(adj.)
ⲡⲁⲑⲟⲥ	παθος	pɑtʰos	pathos	pathos	اسم	مذكر	"ألم
وجع
معاناة"	يوناني	ⲡⲁⲑⲟⲥ (ⲡ)	(ⲡ)
ⲡⲁⲓ	παι	pɑi	pai	pai	اسم أشارة	مذكر	"هذا
اسم أشارة يتصل بالاسم المفرد المذكر"		ⲡⲁⲓ	
ⲡⲁⲓⲇⲉⲩⲓⲛ	παιδευιν	pɑidevin	paideuin	paidevin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يعلم
يؤدب
يربي
يهذب
يدرب"	يوناني	ⲡⲁⲓⲇⲉⲩⲓⲛ	
ⲡⲁⲓⲇⲉⲩⲥⲓⲥ	παιδευςις	pɑidevsis	paideusis	paidevsis	اسم	مؤنث	"تعليم
تهذيب
تدريب"	يوناني	ⲡⲁⲓⲇⲉⲩⲥⲓⲥ (ⲧ)	(ⲧ)
ⲡⲁⲓⲣⲏϯ	παιρηϯ	pɑiriːti	pairyti	pairïti	ظرف		"هكذا
على هذا الحال
بهذه الطريقة
ك"		ⲡⲁⲓⲣⲏϯ (adv.)	(adv.)
ⲡⲁⲗⲁⲑⲏ	παλαθη	pɑlɑtʰiː	palathy	palathï	اسم	مؤنث	قرص تين	يوناني	ⲡⲁⲗⲁⲑⲏ (ⲧ)	(ⲧ)
ⲡⲁⲗⲉⲁ	παλεα	pɑleɑ	palea	palea	اسم	مؤنث	"عتيق
قديم
سابق
سالف
التوراة
العهد القديم"	يوناني	ⲡⲁⲗⲉⲁ (ⲧ)	(ⲧ)
ⲡⲁⲗⲁⲓⲁ	παλαια	pɑlɑiɑ	palaia	palaia	اسم	مؤنث	"عتيق
قديم
سابق
سالف
التوراة
العهد القديم"	يوناني	ⲡⲁⲗⲁⲓⲁ (ⲧ)	(ⲧ)
ⲡⲁⲗⲁⲓⲟⲥ	παλαιος	pɑlɑios	palaios	palaios	اسم	مذكر	"عتيق
قديم
سابق
هرم
عجوز
مسن
بال"	يوناني	ⲡⲁⲗⲁⲓⲟⲥ (ⲡ)	(ⲡ)
ⲡⲁⲗⲁⲙⲟⲛ	παλαμον	pɑlɑmon	palamon	palamon	اسم		"بلامون
اسم شخص"		ⲡⲁⲗⲁⲙⲟⲛ	
ⲡⲁⲗⲗⲁⲧⲓⲟⲛ	παλλατιον	pɑllɑtion	pallation	pallation	اسم	مذكر	"بلاط
قصر
بيت ملوكي"	يوناني	ⲡⲁⲗⲗⲁⲧⲓⲟⲛ (ⲡ)	(ⲡ)
ⲡⲁⲗⲁⲧⲓⲟⲛ	παλατιον	pɑlɑtion	palation	palation	اسم	مذكر	"بلاط
قصر
بيت ملوكي"	يوناني	ⲡⲁⲗⲁⲧⲓⲟⲛ (ⲡ)	(ⲡ)
