Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
`ⲛϩⲟⲩⲣ	`νϩουρ	enhoːr	`nhour	enhür	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يرتجف
يرتعد
يخاف
يرجف
يرعد"		`ⲛϩⲟⲩⲣ	
`ⲛϩⲟⲩⲣ	`νϩουρ	enhoːr	`nhour	enhür	اسم	مذكر	"رعدة
خوف
رعب"		`ⲛϩⲟⲩⲣ (ⲡ)	(ⲡ)
`ⲛϩⲟϯ	`νϩοϯ	enhoti	`nhoti	enhoti	ظرف		"مخيف
مرعب"		`ⲛϩⲟϯ (adv.)	(adv.)
`ⲛ`ϩⲣⲏⲓ	`ν`ϩρηι	enehriːi	`n`hryi	enehrïi	حرف جر		"إلى أعلى
فوق"		`ⲛ`ϩⲣⲏⲓ	
`ⲛ`ϩⲣⲏⲓ ϧⲉⲛ	`ν`ϩρηι ϧεν	enehriːi kʰen	`n`hryi khen	enehrïi khen	حرف جر		في		`ⲛ`ϩⲣⲏⲓ ϧⲉⲛ	
`ⲛϩⲱⲡ	`νϩωπ	enhoːp	`nhwp	enhōp	ظرف		"سرا
بطريقة سرية
بكتمان"		`ⲛϩⲱⲡ (adv.)	(adv.)
`ⲛϫⲉ	`νϫε	enge	`nge	enge	أداة ربط		علامة تسبق الفاعل إذا أتى بعد الفعل		`ⲛϫⲉ	
`ⲛϫⲓⲛϫⲏ	`νϫινϫη	engingiː	`ngingy	engingï	ظرف		"بلا سبب
عبثا
سدى
بلا فائدة
بدون جدوى
بلا سبب
بدون علة
مجانا
بدون مقابل
بلا ثمن"		`ⲛϫⲓⲛϫⲏ (adv.)	(adv.)
`ⲛϫⲟⲛⲥ	`νϫονς	engons	`ngons	engons	ظرف		"عنوة
غصبا
بعنف
بالكاد
بالجهد
بصعوبة"		`ⲛϫⲟⲛⲥ (adv.)	(adv.)
`ⲛϫⲱⲣϩ	`νϫωρϩ	engoːrh	`ngwrh	engōrh	ظرف		ليلا		`ⲛϫⲱⲣϩ (adv.)	(adv.)
`ⲛϭⲓⲟⲩὶ	`νϭιουὶ	entshioʊwì	`ntschioui	entshiüì	ظرف		"خفية
خلسة"		`ⲛϭⲓⲟⲩὶ (adv.)	(adv.)
`ⲛϯⲟⲩⲛⲟⲩ	`νϯουνου	enti-oːnoː	`ntiounou	entiünü	ظرف		"في الحال
توا
حالا
لوقته
للوقت"		`ⲛϯⲟⲩⲛⲟⲩ (adv.)	(adv.)
										
ⲝ , ⲝ (ⲝⲩ)	ξ , ξ (ξυ)	eks , eks (eksi)	x , x (exi)	x , x (exi)			الحرف الخامس عشر من الأبجدية القبطية		ⲝ , ⲝ (ⲝⲩ)	
ⲥⲉ	ςε	se	se	se	رقم		"ستون
60"		ⲥⲉ (num.)	(num.)
ⲝ	ξ	eks	x	x	رقم		"ستون
60"		ⲝ (num.)	(num.)
ⲝⲁⲡⲓⲛⲁ	ξαπινα	eksɑpinɑ	xapina	exapina	ظرف		"بغته
فجأة
بدون توقع
بدون سابق إعلام
على حين غرة"		ⲝⲁⲡⲓⲛⲁ (adv.)	(adv.)
ⲝⲁⲣⲓⲧⲟⲥ	ξαριτος	eksɑritos	xaritos	exaritos	ظرف		"بالأكثر
بصورة خاصة
خصوصا
استثنائيا
بتمييز"	يوناني	ⲝⲁⲣⲓⲧⲟⲥ (adv.)	(adv.)
ⲝⲁⲣⲓⲧⲱⲥ	ξαριτως	eksɑritoːs	xaritws	exaritōs	ظرف		"بالأكثر
بصورة خاصة
خصوصا
استثنائيا
بتمييز"	يوناني	ⲝⲁⲣⲓⲧⲱⲥ (adv.)	(adv.)
ⲝⲉⲛⲓⲁ	ξενια	ekseniɑ	xenia	exenia	اسم	مؤنث	"مسكن
مكان إضافة الغرباء
غرفة استقبال
ضيافة
حسن الضيافة
نزل"	يوناني	ⲝⲉⲛⲓⲁ (ⲧ)	(ⲧ)
ⲝⲉⲛⲟⲥ	ξενος	eksenos	xenos	exenos	اسم	مذكر	"غريب
متغرب
مضيف
أجنبي
زائر
مغاير
مذهل"	يوناني	ⲝⲉⲛⲟⲥ (ⲡ)	(ⲡ)
ⲝⲉⲣⲓⲧⲱⲥ	ξεριτως	ekseritoːs	xeritws	exeritōs	ظرف		"بالأكثر
بصورة خاصة
خصوصا
استثنائيا
بتمييز"	يوناني	ⲝⲉⲣⲓⲧⲱⲥ (adv.)	(adv.)
ⲝⲉⲣⲉⲧⲱⲛ	ξερετων	ekseretoːn	xeretwn	exeretōn	ظرف		"بالأكثر
بصورة خاصة
خصوصا
استثنائيا
بتمييز"	يوناني	ⲝⲉⲣⲉⲧⲱⲛ (adv.)	(adv.)
ⲝⲉⲣⲓⲧⲱⲥ	ξεριτως	ekseritoːs	xeritws	exeritōs	ظرف		"بالأكثر
بصورة خاصة
خصوصا
استثنائيا
بتمييز"	يوناني	ⲝⲉⲣⲓⲧⲱⲥ (adv.)	(adv.)
ⲝⲉⲥⲧⲏⲥ	ξεςτης	eksestiːs	xestys	exestïs	اسم	مذكر	"إبريق
قدر
وعاء فخاري
مكيال للسوائل والحبوب يسع نصف لتر"	يوناني	ⲝⲉⲥⲧⲏⲥ (ⲡ)	(ⲡ)
ⲝⲟⲙⲏ	ξομη	eksomiː	xomy	exomï	اسم	مؤنث	"مسطرة
قاعدة"	يوناني	ⲝⲟⲙⲏ (ⲧ)	(ⲧ)
ⲝⲟⲣⲅⲓⲥⲙⲟⲥ	ξοργιςμος	eksorgismos	xorjismos	exorgismos	اسم	مذكر	"ساحر
منجم
مشعوذ"	يوناني	ⲝⲟⲣⲅⲓⲥⲙⲟⲥ (ⲡ)	(ⲡ)
