Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲉⲛ	εν	en	en	en	ضمير		"نحن
ضمير بمعنى نحن في صيغة الحال ، المضارع المستمر"		ⲉⲛ (pron.)	(pron.)
ⲉⲛ	εν	en	en	en	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يحضر
يقدم
يجلب"		ⲉⲛ	
ⲉⲛ	εν	en	en	en	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحضر
يقدم
يجلب"		ⲉⲛ	
ⲉⲛ ὲⲃⲟⲗ	εν ὲβολ	en evol	en `ebol	en èvol	فعل		"يخرج
يثمر
يبرز
يظهر"		ⲉⲛ ὲⲃⲟⲗ (v.)	(v.)
ⲉⲛ ὲⲡⲉⲥⲏⲧ	εν ὲπεςητ	en epesiːt	en `epesyt	en èpesït	فعل		"ينزل
يحدر
يهبط
يذل
يخضع"		ⲉⲛ ὲⲡⲉⲥⲏⲧ (v.)	(v.)
ⲉⲛ	εν	en	en	en	اسم	مذكر	"قرد
ميمون
نسناس"		ⲉⲛ (ⲡ)	(ⲡ)
ⲉⲛⲁⲁ	εναα	enɑɑ	enaa	enaa	صفة	صيغة ضميرية يأتي بعدها ضمير مفعول	"عظيم
جليل"		ⲉⲛⲁⲁ	
ⲉⲛⲁⲁ ὲ	εναα ὲ	enɑɑ ee	enaa `e	enaa è	صفة	صيغة ضميرية يأتي بعدها ضمير مفعول	أعظم من		ⲉⲛⲁⲁ ὲ	
ὲⲛⲁⲛⲉ	ὲνανε	enɑne	`enane	ènane	صفة	صيغة ضميرية يأتي بعدها ضمير مفعول	"طيب
حسن
جيد
جميل"		ὲⲛⲁⲛⲉ	
ὲⲛⲁⲛⲉ	ὲνανε	enɑne	`enane	ènane	صفة	صيغة مركبة	"طيب
حسن
جيد
جميل"		ὲⲛⲁⲛⲉ	
ⲉⲛⲁⲛⲑⲣⲱⲡⲉⲓⲛ	ενανθρωπειν	enɑntʰroːpein	enanthrwpein	enanthrōpein	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يتأنس
يصير إنسانا"	يوناني	ⲉⲛⲁⲛⲑⲣⲱⲡⲉⲓⲛ	
ὲⲛⲁⲣⲉ	ὲναρε	enɑre	`enare	ènare	ضمير		"الذي كان
تصريف الحال في الماضي المستمر مع الأسم الموصول"		ὲⲛⲁⲣⲉ (pron.)	(pron.)
ὲⲛⲁϣⲱ	ὲναϣω	enɑshoː	`enashw	ènashō	صفة	صيغة ضميرية يأتي بعدها ضمير مفعول	"كثير
وافر
عديد
فائض
زائد"		ὲⲛⲁϣⲱ	
ὲⲛⲁϣⲉ	ὲναϣε	enɑshe	`enashe	ènashe	صفة	صيغة مركبة	"كثير
وافر
عديد
فائض
زائد"		ὲⲛⲁϣⲉ	
ὲⲛⲁϣⲉ`ⲛⲥⲟⲩⲉⲛϥ	ὲναϣε`νςουενϥ	enɑshe-ensoːenf	`enashe`nsouenf	ènasheensüenf	صفة		"ثمين
غال"		ὲⲛⲁϣⲉ`ⲛⲥⲟⲩⲉⲛϥ (adj.)	(adj.)
ⲉⲛⲅ	ενγ	eng	enj	eng	اسم	مذكر	بنج ، للتخدير		ⲉⲛⲅ (ⲡ)	(ⲡ)
ⲉⲛⲇⲟⲝⲟⲥ	ενδοξος	endoxos	endoxos	endoxos	صفة		"ممجد
مجيد
مكرم
مقدر جدا"	يوناني	ⲉⲛⲇⲟⲝⲟⲥ (adj.)	(adj.)
ⲉⲛⲇⲣⲁⲧⲏⲥ	ενδρατης	endrɑtiːs	endratys	endratïs	اسم	مذكر	طاغية		ⲉⲛⲇⲣⲁⲧⲏⲥ (ⲡ)	(ⲡ)
ⲉⲛὲ	ενὲ	ene	en`e	enè	ضمير		"نحن سوف
ضمير متصل للمتكلمين في المستقبل اليقيني"		ⲉⲛὲ (pron.)	(pron.)
ὲⲛⲉ	ὲνε	ene	`ene	ène	أداة شرط		"إذا
إن
لو
إن كان"		ὲⲛⲉ	
ὲⲛⲉ `ⲙⲙⲟⲛ	ὲνε `μμον	ene emmon	`ene `mmon	ène emmon	أداة ربط		"إلا
لولا
لو لم
إن كان الأمر بخلاف ذلك"		ὲⲛⲉ `ⲙⲙⲟⲛ	
ⲉⲛⲓⲅⲉ	ενιγε	enige	enije	enige	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحاجج
يجادل
يعترض
يخالف
ينازع
يخاصم
يناجي"	يوناني	ⲉⲛⲓⲅⲉ	
ⲉⲛⲁⲅⲉ	εναγε	enɑge	enaje	enage	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحاجج
يجادل
يعترض
يخالف
ينازع
يخاصم
يناجي"	يوناني	ⲉⲛⲁⲅⲉ	
ⲉⲛⲉⲅⲉ	ενεγε	enege	eneje	enege	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحاجج
يجادل
يعترض
يخالف
ينازع
يخاصم
يناجي"	يوناني	ⲉⲛⲉⲅⲉ	
ⲉⲛⲉⲣⲅⲉⲓⲁ	ενεργεια	energeiɑ	enerjeia	energeia	اسم	مؤنث	"عمل
فعل
شغل
تأثير
فاعلية
نشاط
حيوية
طاقة
قدرة"	يوناني	ⲉⲛⲉⲣⲅⲉⲓⲁ (ⲧ)	(ⲧ)
ⲉⲛⲉⲣⲅⲓⲁ	ενεργια	energiɑ	enerjia	energia	اسم	مؤنث	"عمل
فعل
شغل
تأثير
فاعلية
نشاط
حيوية
طاقة
قدرة"	يوناني	ⲉⲛⲉⲣⲅⲓⲁ (ⲧ)	(ⲧ)
