Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ὲⲃⲟⲗ ϩⲓⲧⲟⲧ	ὲβολ ϩιτοτ	evol hitot	`ebol hitot	èvol hitot	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	"ب
بواسطة
من قبل
من عند
عن"		ὲⲃⲟⲗ ϩⲓⲧⲟⲧ	
ὲⲃⲟⲗ ϩⲓⲱⲧ	ὲβολ ϩιωτ	evol hioːt	`ebol hiwt	èvol hiōt	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	"من على
من"		ὲⲃⲟⲗ ϩⲓⲱⲧ	
ὲⲃⲟⲗ ϩⲓϫⲉⲛ	ὲβολ ϩιϫεν	evol higen	`ebol higen	èvol higen	حرف جر		من على		ὲⲃⲟⲗ ϩⲓϫⲉⲛ	
ὲⲃⲟⲗ ϩⲓϫⲱ	ὲβολ ϩιϫω	evol higoː	`ebol higw	èvol higō	حرف جر	صيغة ضميرية يأتي بعدها ضمير مفعول	من على		ὲⲃⲟⲗ ϩⲓϫⲱ	
ὲⲃⲟⲗ ϫⲉ	ὲβολ ϫε	evol ge	`ebol ge	èvol ge	أداة ربط		"لأن
بما أن"		ὲⲃⲟⲗ ϫⲉ	
ὲⲃⲟⲩϩⲓ	ὲβουϩι	evoːhi	`ebouhi	èvühi	صفة		"فظيع
مرعب
رهيب
هائل"		ὲⲃⲟⲩϩⲓ (adj.)	(adj.)
ὲⲃⲟⲩϩⲓ	ὲβουϩι	evoːhi	`ebouhi	èvühi	اسم	مؤنث	"أفعى
ثعبان"		ὲⲃⲟⲩϩⲓ (ⲧ)	(ⲧ)
ⲉⲃⲣⲁⲙⲁϩⲓ	εβραμαϩι	ebrɑmɑhi	ebramahi	ebramahi	اسم	مؤنث	بذر الكتان		ⲉⲃⲣⲁⲙⲁϩⲓ (ⲧ)	(ⲧ)
ⲉⲃⲣⲉϩⲓ	εβρεϩι	ebrehi	ebrehi	ebrehi	اسم	مذكر	"عجلة
بكرة
نورج"		ⲉⲃⲣⲉϩⲓ (ⲡ)	(ⲡ)
ⲉⲃⲣⲏϫ	εβρηϫ	ebriːg	ebryg	ebrïg	اسم	مؤنث	برق		ⲉⲃⲣⲏϫ (ⲧ)	(ⲧ)
ⲉⲃⲧⲟⲧϥ	εβτοτϥ	ebtotf	ebtotf	ebtotf	اسم	مذكر	"فليا
نبات كالنعناع
mentha pulegium"		ⲉⲃⲧⲟⲧϥ (ⲡ)	(ⲡ)
ὲⲃⲱⲕ	ὲβωκ	evoːk	`ebwk	èvōk	اسم	مذكر	"غراب
باشق
أنوق
نسر
خطاف"		ὲⲃⲱⲕ (ⲡ)	(ⲡ)
