Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲕⲟϩ`ⲛϣⲱⲧ	κοϩ`νϣωτ	kohenshoːt	koh`nshwt	kohenshōt	اسم	مذكر	"صخرة صماء
حجر صوان"		ⲕⲟϩ`ⲛϣⲱⲧ (ⲡ)	(ⲡ)
`ⲕⲣⲁⲕⲟⲩ	`κρακου	ekrɑkoː	`krakou	ekrakü	اسم	مذكر	"حرث
نوع من الملح"		`ⲕⲣⲁⲕⲟⲩ (ⲡ)	(ⲡ)
ⲕⲣⲟⲙ	κρομ	krom	krom	krom	اسم	مذكر	"قرطم بري
كرفس بري
بقدونس"		ⲕⲣⲟⲙ (ⲡ)	(ⲡ)
ⲕⲣⲁⲙ	κραμ	krɑm	kram	kram	اسم	مذكر	"قرطم بري
كرفس بري
بقدونس"		ⲕⲣⲁⲙ (ⲡ)	(ⲡ)
ⲕⲣⲁⲙⲃⲏ	κραμβη	krɑmviː	kramby	kramvï	اسم	مؤنث	"كرنب
ملفوف ، نوع من النباتات"	يوناني	ⲕⲣⲁⲙⲃⲏ (ⲧ)	(ⲧ)
ⲅⲣⲁⲙⲙⲁⲧⲓⲟⲛ	γραμματιον	grɑmmɑtion	jrammation	grammation	اسم	مذكر	"كمبيالة
تعهد
وثيقة
صك
مذكرة"	يوناني	ⲅⲣⲁⲙⲙⲁⲧⲓⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲁⲙⲙⲁⲧⲓⲟⲛ	κραμματιον	krɑmmɑtion	krammation	krammation	اسم	مذكر	"كمبيالة
تعهد
وثيقة
صك
مذكرة"	يوناني	ⲕⲣⲁⲙⲙⲁⲧⲓⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲁⲛⲓⲟⲛ	κρανιον	krɑnion	kranion	kranion	اسم	مذكر	"جمجمة
جلجثة
الإقرانيون ، الموضع الذي صلب عليه المسيح"	يوناني	ⲕⲣⲁⲛⲓⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲁⲥⲓⲥ	κραςις	krɑsis	krasis	krasis	اسم	مؤنث	"اعتدال الهواء
مزيج
خليط"	يوناني	ⲕⲣⲁⲥⲓⲥ (ⲧ)	(ⲧ)
ⲕⲣⲁⲥⲧⲓⲛ	κραςτιν	krɑstin	krastin	krastin	اسم	مؤنث	عليق ، نوع من الشجر	يوناني	ⲕⲣⲁⲥⲧⲓⲛ (ⲧ)	(ⲧ)
ⲕⲣⲁⲧⲏⲣ	κρατηρ	krɑtiːr	kratyr	kratïr	فعل	مذكر	"قصعة
كأس
وعاء للمزج"	يوناني	ⲕⲣⲁⲧⲏⲣ (v. ⲡ)	(v. ⲡ)
ⲕⲣⲁⲧⲓⲥⲧⲉ	κρατιςτε	krɑtiste	kratiste	kratiste	اسم	مذكر	"عزيز
صديق
حبيب"	يوناني	ⲕⲣⲁⲧⲓⲥⲧⲉ (ⲡ)	(ⲡ)
ⲕⲣⲁⲧⲟⲥ	κρατος	krɑtos	kratos	kratos	اسم	مذكر	"قوة
قدرة
عمل مقتدر"	يوناني	ⲕⲣⲁⲧⲟⲥ (ⲡ)	(ⲡ)
ⲕⲣⲁⲩⲅⲏ	κραυγη	krɑvgiː	kraujy	kravgï	اسم	مؤنث	"صياح
صراخ
صخب"	يوناني	ⲕⲣⲁⲩⲅⲏ (ⲧ)	(ⲧ)
ⲕⲣⲉⲁⲅⲣⲁ	κρεαγρα	kreɑgrɑ	kreajra	kreagra	اسم	مؤنث	"منشال
قدر
مرجل"	يوناني	ⲕⲣⲉⲁⲅⲣⲁ (ⲧ)	(ⲧ)
ⲕⲣⲓⲃⲓⲥ	κριβις	krivis	krivis	krivis	اسم	مؤنث	كرسنة ، نوع من العدس		ⲕⲣⲓⲃⲓⲥ (ⲧ)	(ⲧ)
ⲕⲣⲓⲃⲱⲥ	κριβως	krivoːs	kribws	krivōs	اسم	مذكر	شمعدان		ⲕⲣⲓⲃⲱⲥ (ⲡ)	(ⲡ)
ⲕⲣⲓⲅⲙⲁ	κριγμα	krigmɑ	krijma	krigma	اسم	مذكر	رسالة		ⲕⲣⲓⲅⲙⲁ (ⲡ)	(ⲡ)
ⲕⲣⲓⲕⲟⲥ	κρικος	krikos	krikos	krikos	اسم	مذكر	"دائرة
حلقة
عروة
خاتم"	يوناني	ⲕⲣⲓⲕⲟⲥ (ⲡ)	(ⲡ)
ⲕⲣⲓⲙⲁ	κριμα	krimɑ	krima	krima	اسم	مذكر	"حكم
قضاء
دينونة
قضية
فصل ، في مسألة
حسم ، موضوع
قرار عقوبة"	يوناني	ⲕⲣⲓⲙⲁ (ⲡ)	(ⲡ)
`ⲕⲣⲓⲙⲃⲱⲛ	`κριμβων	ekrimvoːn	`krimbwn	ekrimvōn	اسم	مذكر	زعتر ، نبات		`ⲕⲣⲓⲙⲃⲱⲛ (ⲡ)	(ⲡ)
ⲕⲣⲓⲛⲉⲓⲛ	κρινειν	krinein	krinein	krinein	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحكم
يدين
يقضي"	يوناني	ⲕⲣⲓⲛⲉⲓⲛ	
ⲕⲣⲓⲛⲓⲛ	κρινιν	krinin	krinin	krinin	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحكم
يدين
يقضي"	يوناني	ⲕⲣⲓⲛⲓⲛ	
ⲕⲣⲓⲛⲟⲛ	κρινον	krinon	krinon	krinon	اسم	مذكر	"زنبق
سوسن ، اسم شجر"	يوناني	ⲕⲣⲓⲛⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲓⲛⲟⲛ	κρινον	krinon	krinon	krinon	اسم	مذكر	"نشادر
ملح النشادر"		ⲕⲣⲓⲛⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲓⲟⲛ	κριον	krion	krion	krion	اسم	مذكر	"نشادر
ملح النشادر"		ⲕⲣⲓⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲓⲡⲓⲥ	κριπις	kripis	kripis	kripis	اسم	مؤنث	"أساس
قاعدة
أرضية"	يوناني	ⲕⲣⲓⲡⲓⲥ (ⲧ)	(ⲧ)
ⲕⲣⲓⲥⲓⲥ	κριςις	krisis	krisis	krisis	اسم	مؤنث	"حكم
قضاء
دينونة
معاقبة
إدانة
عدل
حق
محكمة
هيئة قضاء
منصة قضاء"	يوناني	ⲕⲣⲓⲥⲓⲥ (ⲧ)	(ⲧ)
ⲕⲣⲓⲧⲏⲣⲓⲟⲛ	κριτηριον	kritiːrion	krityrion	kritïrion	اسم	مذكر	"دار العدل
محكمة
كرسي القضاء
دعوى قضائية
دعوى قانونية"	يوناني	ⲕⲣⲓⲧⲏⲣⲓⲟⲛ (ⲡ)	(ⲡ)
ⲕⲣⲓⲧⲏⲥ	κριτης	kritiːs	kritys	kritïs	اسم	مذكر	"قاض
ديان
مقيم العدل"	يوناني	ⲕⲣⲓⲧⲏⲥ (ⲡ)	(ⲡ)
ⲕⲣⲟⲕⲟⲥ	κροκος	krokos	krokos	krokos	اسم	مذكر	"زعفران
عصفر
كركم"	يوناني	ⲕⲣⲟⲕⲟⲥ (ⲡ)	(ⲡ)
`ⲕⲣⲟⲙⲣⲉⲙ	`κρομρεμ	ekromrem	`kromrem	ekromrem	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يغمق
يصير غامقا"		`ⲕⲣⲟⲙⲣⲉⲙ	
ⲕⲣⲟⲧⲱⲛⲓⲟⲛ	κροτωνιον	krotoːnion	krotwnion	krotōnion	اسم	مذكر	خروع	يوناني	ⲕⲣⲟⲧⲱⲛⲓⲟⲛ (ⲡ)	(ⲡ)
`ⲕⲣⲟⲩⲣ	`κρουρ	ekroːr	`krour	ekrür	اسم	مذكر	ضفدعة		`ⲕⲣⲟⲩⲣ (ⲡ)	(ⲡ)
`ⲕⲣⲟⲩϫ	`κρουϫ	ekroːg	`kroug	ekrüg	اسم	مذكر	"قطايف
فطير
زلابية
قرص
عجة"		`ⲕⲣⲟⲩϫ (ⲡ)	(ⲡ)
`ⲭⲣⲱⲟⲩ	`χρωου	ekʰroː	`qrwou	ekrōü	اسم	جمع	"أودية
تلال
أكام
شواطيء
سواحل"		`ⲭⲣⲱⲟⲩ (ⲛ)	(ⲛ)
`ⲕⲣⲱⲟⲩ	`κρωου	ekroː	`krwou	ekrōü	اسم	جمع	"أودية
تلال
أكام
شواطيء
سواحل"		`ⲕⲣⲱⲟⲩ (ⲛ)	(ⲛ)
ⲕⲥⲉⲥⲧⲏⲥ	κςεςτης	ksestiːs	ksestys	ksestïs	اسم	مذكر	"إناء
معيار
مكيال"	يوناني	ⲕⲥⲉⲥⲧⲏⲥ (ⲡ)	(ⲡ)
ⲕⲧⲏⲛⲟⲥ	κτηνος	ktiːnos	ktynos	ktïnos	اسم	مذكر	"بهيمة
دابة
حيوان أليف"	يوناني	ⲕⲧⲏⲛⲟⲥ (ⲡ)	(ⲡ)
`ⲕⲧⲉ	`κτε	ekte	`kte	ekte	اسم	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحيط
يرجع"		`ⲕⲧⲉ	
`ⲕⲧⲏⲟⲩⲧ	`κτηουτ	ektiːoːt	`ktyout	ektïüt	صفة	صيغة وصفية - حال ، يأتي قبلها الضمير	"راجع
محاط
دائر"		`ⲕⲧⲏⲟⲩⲧ	
ⲕⲧⲓⲥⲓⲥ	κτιςις	ktisis	ktisis	ktisis	اسم	مؤنث	"خليقة
برية
ما هو مخلوق
عالم
بشر
دنيا
كون
سلطة
قانون
ترتيب
نظام"	يوناني	ⲕⲧⲓⲥⲓⲥ (ⲧ)	(ⲧ)
`ⲕⲧⲉ	`κτε	ekte	`kte	ekte	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يحيط
يرجع"		`ⲕⲧⲉ	
`ⲕⲧⲟ	`κτο	ekto	`kto	ekto	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يحيط
يرجع"		`ⲕⲧⲟ	
ⲕⲩⲃⲓⲁ	κυβια	kiviɑ	kuvia	kivia	اسم	مؤنث	"حيلة
خداع
مكر"	يوناني	ⲕⲩⲃⲓⲁ (ⲧ)	(ⲧ)
ⲕⲩⲃⲉⲓⲁ	κυβεια	kiveiɑ	kuveia	kiveia	اسم	مؤنث	"حيلة
خداع
مكر"	يوناني	ⲕⲩⲃⲉⲓⲁ (ⲧ)	(ⲧ)
ⲕⲩⲃⲉⲣⲛⲓⲧⲏⲥ	κυβερνιτης	kivernitiːs	kuvernitys	kivernitïs	اسم	مذكر	"مدبر
مرشد
موجه
ربان سفينة
قائد"	يوناني	ⲕⲩⲃⲉⲣⲛⲓⲧⲏⲥ (ⲡ)	(ⲡ)
ⲕⲓⲃⲱⲧⲟⲥ	κιβωτος	kivoːtos	kibwtos	kivōtos	اسم	مذكر	"فلك
تابوت
صندوق"	يوناني	ⲕⲓⲃⲱⲧⲟⲥ (ⲡ)	(ⲡ)
ⲕⲩⲃⲱⲧⲟⲥ	κυβωτος	kivoːtos	kubwtos	kivōtos	اسم	مذكر	"فلك
تابوت
صندوق"	يوناني	ⲕⲩⲃⲱⲧⲟⲥ (ⲡ)	(ⲡ)
ⲕⲓⲑⲁⲣⲁ	κιθαρα	kitʰɑrɑ	kithara	kithara	اسم	مذكر	"قيثارة
ألة موسيقية"	يوناني	ⲕⲓⲑⲁⲣⲁ (ⲡ)	(ⲡ)
ⲕⲩⲑⲁⲣⲁ	κυθαρα	kitʰɑrɑ	kuthara	kithara	اسم	مذكر	"قيثارة
ألة موسيقية"	يوناني	ⲕⲩⲑⲁⲣⲁ (ⲡ)	(ⲡ)
ⲕⲩⲑⲁⲣⲓⲱⲧⲏⲥ	κυθαριωτης	kitʰɑrioːtiːs	kuthariwtys	kithariōtïs	اسم	مذكر	عازف القيثارة	يوناني	ⲕⲩⲑⲁⲣⲓⲱⲧⲏⲥ (ⲡ)	(ⲡ)
ⲕⲩⲕⲗⲓⲕⲟⲥ	κυκλικος	kiklikos	kuklikos	kiklikos	صفة		"مستدير
دائري"	يوناني	ⲕⲩⲕⲗⲓⲕⲟⲥ (adj.)	(adj.)
ⲕⲩⲕⲗⲟⲥ	κυκλος	kiklos	kuklos	kiklos	اسم	مذكر	"دائرة
حلقة
طوق
هالة
محيط
دورة الفلك
دوران النجوم
سير النجوم"	يوناني	ⲕⲩⲕⲗⲟⲥ (ⲡ)	(ⲡ)
ⲕⲩⲕⲛⲟⲥ	κυκνος	kiknos	kuknos	kiknos	اسم	مذكر	"بجعة
أوز
جسم وبري"	يوناني	ⲕⲩⲕⲛⲟⲥ (ⲡ)	(ⲡ)
ⲕⲩⲗⲓⲁ	κυλια	kiliɑ	kulia	kilia	اسم	مؤنث	لثة ، جزء من الفم	يوناني	ⲕⲩⲗⲓⲁ (ⲧ)	(ⲧ)
ⲕⲩⲗⲗⲁⲗⲓⲕⲟⲛ	κυλλαλικον	killɑlikon	kullalikon	killalikon	اسم	مذكر	"مخزن
مؤن
كرار"	يوناني	ⲕⲩⲗⲗⲁⲗⲓⲕⲟⲛ (ⲡ)	(ⲡ)
