Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲣⲱϧ	ρωϧ	roːkʰ	rwkh	rōkh	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يغسل
ينظف
يرحض
يشطف
يجلو
يبيض
يدعك
يفرك
يحك
يدلك
ينقش
يورق
يكلس"		ⲣⲱϧ	
ⲣⲱϧⲓ	ρωϧι	roːkʰi	rwkhi	rōkhi	اسم	مذكر	"غسل
غسيل
تنظيف"		ⲣⲱϧⲓ (ⲡ)	(ⲡ)
ⲣⲁϧⲧ	ραϧτ	rɑkʰt	rakht	rakht	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"(متعد)
يطرح
ينزل
يرمي
يسقط
يلقي
يهدم
يقلب
يحطم
يدمر
يدك
يصرع
يضرب
يفني
يهلك
(لازم)
ينطرح
يسقط
ينقلب
يهبط
ينهار"		ⲣⲁϧⲧ	
ⲣⲉϧⲧ	ρεϧτ	rekʰt	rekht	rekht	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"(متعد)
يطرح
ينزل
يرمي
يسقط
يلقي
يهدم
يقلب
يحطم
يدمر
يدك
يصرع
يضرب
يفني
يهلك
(لازم)
ينطرح
يسقط
ينقلب
يهبط
ينهار"		ⲣⲉϧⲧ	
ⲣⲱϧⲧ	ρωϧτ	roːkʰt	rwkht	rōkht	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"(متعد)
يطرح
ينزل
يرمي
يسقط
يلقي
يهدم
يقلب
يحطم
يدمر
يدك
يصرع
يضرب
يفني
يهلك
(لازم)
ينطرح
يسقط
ينقلب
يهبط
ينهار"		ⲣⲱϧⲧ	
ⲣⲱϧⲧ	ρωϧτ	roːkʰt	rwkht	rōkht	اسم	مذكر	"رمي
رمية
ضربة
سقوط
إلقاء
هدم
إنطراح
انهيار
صرع"		ⲣⲱϧⲧ (ⲡ)	(ⲡ)
ⲣⲱϧⲧ ὲ`ϧⲣⲏⲓ	ρωϧτ ὲ`ϧρηι	roːkʰt èekʰriːi	rwkht `e`khryi	rōkht èekhrïi	اسم	مذكر	"تصادم
مصادمة"		ⲣⲱϧⲧ ὲ`ϧⲣⲏⲓ (ⲡ)	(ⲡ)
ⲣⲱϩⲃⲱ	ρωϩβω	roːhvoː	rwhbw	rōhvō	اسم	مذكر	"رحبة
فسحة
قطعة أرض واسعة"		ⲣⲱϩⲃⲱ (ⲡ)	(ⲡ)
ⲣⲟϫⲡ	ροϫπ	rogp	rogp	rogp	فعل	صيغة ضميرية يأتي بعدها ضمير مفعول	"يطرح
يلقي
يرمي
يقلب
يسقط
يقع
ينطرح
يطرح نفسه"		ⲣⲟϫⲡ	
ⲣⲉϫⲡ	ρεϫπ	regp	regp	regp	فعل	صيغة  للفعل يأتي بعدها المفعول مباشرة بدون أداة مفعول	"يطرح
يلقي
يرمي
يقلب
يسقط
يقع
ينطرح
يطرح نفسه"		ⲣⲉϫⲡ	
ⲣⲱϫⲡ	ρωϫπ	roːgp	rwgp	rōgp	فعل	صيغة مصدرية  للفعل يأتي بعدها  أداة المفعول ثم المفعول	"يطرح
يلقي
يرمي
يقلب
يسقط
يقع
ينطرح
يطرح نفسه"		ⲣⲱϫⲡ	
ⲣⲱϫⲡ	ρωϫπ	roːgp	rwgp	rōgp	اسم	مذكر	"انطرح
سقوط
رمي
انسكاب"		ⲣⲱϫⲡ (ⲡ)	(ⲡ)
`ⲣϣⲟⲛ	`ρϣον	ershon	`rshon	ershon	اسم	مذكر	غطاء		`ⲣϣⲟⲛ (ⲡ)	(ⲡ)
										
ⲥ , ⲥ , (ⲥⲓⲙⲁ)	ς , ς , (ςιμα)	s , s , (simɑ)	s , s , (sima)	s , s , (sima)	حرف		الحرف التاسع عشر من الأبجدية القبطية		ⲥ , ⲥ , (ⲥⲓⲙⲁ)	
`ⲥⲛⲁⲩ ϣⲉ	`ςναυ ϣε	esnav she	`snau she	esnav she	رقم		مائتان		`ⲥⲛⲁⲩ ϣⲉ (num.)	(num.)
