Coptic Unicode Alphabet	Greek Alphabet	Current Modern Pronunciation	English Alphabet	Coptic written in english phonetically	Word Kind	Word Gender	Meaning	Origin	prettify	suffix
ⲁ , ⲁ (ⲁⲗⲫⲁ)	α , α (αλφα)	ɑ , ɑ (ɑlpʰɑ)	a , a (alpha)	a , a (alpha)	حرف		الحرف الأول من الأبجدية القبطية		ⲁ , ⲁ (ⲁⲗⲫⲁ)	
ⲟⲩⲁⲓ	ουαι	owɑi	ouai	üai	رقم		واحد		ⲟⲩⲁⲓ (num.)	(num.)
ⲁ	α	ɑ	a	a	رقم		واحد		ⲁ (num.)	(num.)
ⲁ	α	ɑ	a	a	prefix بادئة		علامة زمن الماضي توضع قبل الضمير أو الاسم		ⲁ	
ⲁ	α	ɑ	a	a	prefix بادئة		بادئة تعطي معنى الأمر		ⲁ	
ⲁⲛⲁⲩ	αναυ	ɑnav / anav	anau	anav	فعل	أمر	أنظر		ⲁⲛⲁⲩ (imp.)	(imp.)
ⲁ	α	ɑ	a	a	prefix بادئة		بادئة زائدة ببعض الكلمات		ⲁ	
ⲁⲟⲩⲱⲛ	αουων	ɑoːoːn	aouwn	aüōn	فعل		يفتح		ⲁⲟⲩⲱⲛ (v.)	(v.)
ⲁ	α	ɑ	a	a	prefix بادئة		بادئة تفيد عكس المعنى أو النفي		ⲁ	
ⲁⲑⲁⲛⲁⲧⲟⲥ	αθανατος	ɑtʰɑnɑtos	athanatos	athanatos	صفة		غير مائت	يوناني	ⲁⲑⲁⲛⲁⲧⲟⲥ (adj.)	(adj.)
ⲁⲁⲩⲧⲏⲥ	ααυτης	ɑ-avtiːs	aautys	aavtïs	اسم	مذكر	"النيل
نهر النيل"		ⲁⲁⲩⲧⲏⲥ (ⲡ)	(ⲡ)
ⲁⲃⲁⲑⲣⲁ	αβαθρα	ɑvatʰrɑ	abathra	avathra	اسم	مؤنث	"جسر
كوبري
قنطرة"	يوناني	ⲁⲃⲁⲑⲣⲁ (ⲧ)	(ⲧ)
ⲁⲟⲩⲁⲛ	αουαν	ɑwɑn	aouan	aüan	اسم	مذكر	لون		ⲁⲟⲩⲁⲛ (ⲡ)	(ⲡ)
ⲁⲃⲁⲛ	αβαν	ɑvan	aban	avan	اسم	مذكر	لون		ⲁⲃⲁⲛ (ⲡ)	(ⲡ)
ⲁⲃⲁⲧⲟⲥ	αβατος	ɑvatos	abatos	avatos	صفة		"عديم الخضرة
غير مسلوك
متعذر اجتيازه
غير مسموح بالدوس عليه أو بركوبه"	يوناني	ⲁⲃⲁⲧⲟⲥ (adj.)	(adj.)
ⲁⲃⲁϩ	αβαϩ	ɑvah	abah	avah	أداة		لفظ يدل على الدهشة أو الاستغراب		ⲁⲃⲁϩ	
ⲁⲃⲁϫⲏⲓⲛⲓ	αβαϫηινι	ɑvagiːini	abagyini	avagïini	اسم	مذكر ، مؤنث	"زجاج
بلور"		ⲁⲃⲁϫⲏⲓⲛⲓ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲁⲃⲁϫⲓⲛⲓ	αβαϫινι	ɑvagini	abagini	avagini	اسم	مذكر ، مؤنث	"زجاج
بلور"		ⲁⲃⲁϫⲓⲛⲓ (ⲡ/ⲧ)	(ⲡ/ⲧ)
ⲁⲡⲁ	απα	ɑpɑ	apa	apa	اسم		"أبا
أنبا
لقب للقديسن والأساقفة"	يوناني ، عبري	ⲁⲡⲁ	
ⲁⲃⲃⲁ	αββα	ɑbva	abba	abva	اسم		"أبا
أنبا
لقب للقديسن والأساقفة"	يوناني ، عبري	ⲁⲃⲃⲁ	
ⲁⲃⲃⲁⲕⲟⲩⲙ	αββακουμ	ɑbvakoːm	abbakoum	abvaküm	اسم		"حبقوق
نبوة حبقوق
كلمة عبرية معناها عناق أو احتضان"	يوناني ، عبري	ⲁⲃⲃⲁⲕⲟⲩⲙ	
ⲁⲃⲇⲓⲟⲩ	αβδιου	ɑbdioː	abdiou	abdiü	اسم		"عوبيديا
أحد الأنبياء الصغار
كلمة عبرية معناها عابد الله"	يوناني ، عبري	ⲁⲃⲇⲓⲟⲩ	
ⲁⲃⲓⲛ	αβιν	ɑvin	avin	avin	اسم	مذكر	"حمل
حمولة
شحنة"		ⲁⲃⲓⲛ (ⲡ)	(ⲡ)
ⲁⲃⲏⲛ	αβην	ɑviːn	abyn	avïn	اسم	مذكر	"حمل
حمولة
شحنة"		ⲁⲃⲏⲛ (ⲡ)	(ⲡ)
ⲟⲩⲏⲣ	ουηρ	oːwiːr	ouyr	üïr	أداة استفهام		كم ، للسؤال عن العدد		ⲟⲩⲏⲣ	
ⲁⲟⲩⲏⲣ	αουηρ	ɑwiːr	aouyr	aüïr	أداة استفهام		كم ، للسؤال عن العدد		ⲁⲟⲩⲏⲣ	
ⲁⲃⲏⲣ	αβηρ	ɑviːr	abyr	avïr	أداة استفهام		كم ، للسؤال عن العدد		ⲁⲃⲏⲣ	
ⲁⲃⲏⲧ	αβητ	ɑviːt	abyt	avït	اسم	جمع	"شهور
أهلة"		ⲁⲃⲏⲧ (ⲛ)	(ⲛ)
ⲁⲟⲩⲏⲧ	αουητ	ɑwiːt	aouyt	aüït	اسم	مذكر	"دير للرهبان
مسكن
إقامة
بيت
منزل
قلاية
مكوث
صف
فرقة
حزب
جماعة"		ⲁⲟⲩⲏⲧ (ⲡ)	(ⲡ)
ⲁⲃⲏⲧ	αβητ	ɑviːt	abyt	avït	اسم	مذكر	"دير للرهبان
مسكن
إقامة
بيت
منزل
قلاية
مكوث
صف
فرقة
حزب
جماعة"		ⲁⲃⲏⲧ (ⲡ)	(ⲡ)
ⲁⲟⲩⲓⲛ	αουιν	ɑoːin	aouin	aüin	اسم	مذكر	"حمل
حمولة
شحنة"		ⲁⲟⲩⲓⲛ (ⲡ)	(ⲡ)
ⲁⲃⲓⲛ	αβιν	ɑvin	avin	avin	اسم	مذكر	"حمل
حمولة
شحنة"		ⲁⲃⲓⲛ (ⲡ)	(ⲡ)
