key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
753	118	0	(B) reFiri mfmou	0	deadly	deadly		160a	19	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/753.html	(B) ⲣⲉϥⲓⲣⲓ ⲙⲫⲙⲟⲩ	(B) ⲣⲉϥⲓⲣⲓ ⲙⲫⲙⲟⲩ	ⲣⲉϥⲓⲣⲓ ⲙⲫⲙⲟⲩ	(B) ⲣⲉϥⲓⲣⲓ ⲙⲫⲙⲟⲩ	-		deadly	deadly	deadly	deadly	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=160a						ⲣⲉϥⲓⲣⲓ ⲙⲫⲙⲟⲩ					0
754	118	0	(S) paSmou,peSmou (B) faSm.	0	half-dead /$gk: [[hmiqnhtos, hmiqanhs]]$/	half-dead /$gk: [[hmiqnhtos, hmiqanhs]]$/	hmiqnhtos, hmiqanhs	160a	20	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/754.html	"(S) ⲡⲁϣⲙⲟⲩ, ⲡⲉϣⲙⲟⲩ
(B) ⲫⲁϣⲙ."	"(S) ⲡⲁϣⲙⲟⲩ, ⲡⲉϣⲙⲟⲩ
(B) ⲫⲁϣⲙ."	ⲡⲁϣⲙⲟⲩ, ⲡⲉϣⲙⲟⲩ, ⲫⲁϣⲙ.	"(S) ⲡⲁϣⲙⲟⲩ, ⲡⲉϣⲙⲟⲩ
(B) ⲫⲁϣⲙ."	-	ημιθνητοσ, ημιθανησ	half-dead [ημιθνητοσ, ημιθανησ]	half-dead	"half-dead <span style=""opacity:0.7"">[ημιθνητοσ, ημιθανησ]</span>"	"half-dead <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B7%CE%BC%CE%B9%CE%B8%CE%BD%CE%B7%CF%84%CE%BF%CF%83"">ημιθνητοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B7%CE%BC%CE%B9%CE%B8%CE%B1%CE%BD%CE%B7%CF%83"">ημιθανησ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=160a	ⲡⲁϣⲙⲟⲩ, ⲡⲉϣⲙⲟⲩ					ⲫⲁϣⲙ.					0
755	118	0	(S,sA) atmou,aqmou	6	deathless /$gk: [[aqanatos]]$/	deathless /$gk: [[aqanatos]]$/	aqanatos	160a	21	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/755.html	(S, sA) ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ	(S, sA) ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ	ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ	(S, sA) ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ (adj.)	adjective	αθανατοσ	deathless [αθανατοσ]	deathless	"deathless <span style=""opacity:0.7"">[αθανατοσ]</span>"	"deathless <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%B8%CE%B1%CE%BD%CE%B1%CF%84%CE%BF%CF%83"">αθανατοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=160a	ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ (adj.)				ⲁⲧⲙⲟⲩ, ⲁⲑⲙⲟⲩ (adj.)						0
756	118	755	mnta.,meta.	0	deathlessness, immortality /$gk: [[aqanasia]]$/	deathlessness, immortality /$gk: [[aqanasia]]$/	aqanasia	160a	22	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/756.html	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	-	αθανασια	deathlessness, immortality [αθανασια]	deathlessness, immortality	"deathlessness, immortality <span style=""opacity:0.7"">[αθανασια]</span>"	"deathlessness, immortality <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%B8%CE%B1%CE%BD%CE%B1%CF%83%CE%B9%CE%B1"">αθανασια</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=160a	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	ⲙⲛⲧⲁ., ⲙⲉⲧⲁ.	1
1867	119	0	(S) Ho s.	0	two-edged /$gk: [[distomos]]$/	two-edged /$gk: [[distomos]]$/	distomos	347a	1	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1867.html	(S) ϩⲟ ⲥ.	(S) ϩⲟ ⲥ.	ϩⲟ ⲥ.	(S) ϩⲟ ⲥ.	-	διστομοσ	two-edged [διστομοσ]	two-edged	"two-edged <span style=""opacity:0.7"">[διστομοσ]</span>"	"two-edged <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CF%83%CF%84%CE%BF%CE%BC%CE%BF%CF%83"">διστομοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	ϩⲟ ⲥ.										0
1868	119	0	(S,B) Hht s.	0	two hearts, doubt /$gk: [[dicuxos]]$/	two hearts, doubt /$gk: [[dicuxos]]$/	dicuxos	347a	2	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1868.html	(S, B) ϩⲏⲧ ⲥ.	(S, B) ϩⲏⲧ ⲥ.	ϩⲏⲧ ⲥ.	(S, B) ϩⲏⲧ ⲥ.	-	διξυχοσ	two hearts, doubt [διξυχοσ]	two hearts, doubt	"two hearts, doubt <span style=""opacity:0.7"">[διξυχοσ]</span>"	"two hearts, doubt <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%BE%CF%85%CF%87%CE%BF%CF%83"">διξυχοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	ϩⲏⲧ ⲥ.					ϩⲏⲧ ⲥ.					0
1869	119	1868	r H.	0	be doubtful /$gk: [[dignwmos]]$/	be doubtful /$gk: [[dignwmos]]$/	dignwmos	347a	3	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1869.html	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	-	διγνωμοσ	be doubtful [διγνωμοσ]	be doubtful	"be doubtful <span style=""opacity:0.7"">[διγνωμοσ]</span>"	"be doubtful <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B3%CE%BD%CF%89%CE%BC%CE%BF%CF%83"">διγνωμοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ.	1
1870	119	1868	mnt H.	0	state of doubt /$gk: [[kardia dissh]]$/	state of doubt /$gk: [[kardia dissh]]$/	kardia dissh	347a	4	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1870.html	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	-	καρδια δισση	state of doubt [καρδια δισση]	state of doubt	"state of doubt <span style=""opacity:0.7"">[καρδια δισση]</span>"	"state of doubt <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%B1%CF%81%CE%B4%CE%B9%CE%B1"">καρδια</a> <a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CF%83%CF%83%CE%B7"">δισση</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	ⲙⲛⲧ ϩ.	1
1871	119	0	(S) ***$snoous (S) ****snoouse (A) snaus (sA) snaous (sA) ****snause	0	(in [mnts.]) twelve, ([Jouts.]) twenty-two (&c)	(in [mnts.]) twelve, ([Jouts.]) twenty-two (&c)		347a	5	2010-02-14	2010-02-14	vagrant	vagrant	https://pishoyg.github.io/crum/1871.html	"(S) <i>noun male/female: </i>ⲥⲛⲟⲟⲩⲥ
(S) <i>female: </i>ⲥⲛⲟⲟⲩⲥⲉ
(A) ⲥⲛⲁⲩⲥ
(sA) ⲥⲛⲁⲟⲩⲥ
(sA) <i>female: </i>ⲥⲛⲁⲩⲥⲉ"	"(S) <i>noun male/female: </i>ⲥⲛⲟⲟⲩⲥ
(S) <i>female: </i>ⲥⲛⲟⲟⲩⲥⲉ
(A) ⲥⲛⲁⲩⲥ
(sA) ⲥⲛⲁⲟⲩⲥ
(sA) <i>female: </i>ⲥⲛⲁⲩⲥⲉ"	ⲥⲛⲟⲟⲩⲥ (ⲡ, ⲧ), ⲥⲛⲟⲟⲩⲥⲉ (ⲧ), ⲥⲛⲁⲩⲥ, ⲥⲛⲁⲟⲩⲥ, ⲥⲛⲁⲩⲥⲉ (ⲧ)	"(S) ⲥⲛⲟⲟⲩⲥ (ⲡ, ⲧ)
(S) ⲥⲛⲟⲟⲩⲥⲉ (ⲧ)
(A) ⲥⲛⲁⲩⲥ
(sA) ⲥⲛⲁⲟⲩⲥ
(sA) ⲥⲛⲁⲩⲥⲉ (ⲧ)"	-		<i>in ⲙⲛⲧⲥ.</i> twelve, <i>ϫⲟⲩⲧⲥ.</i> twenty-two <i>&c</i>	<i>in ⲙⲛⲧⲥ.</i> twelve, <i>ϫⲟⲩⲧⲥ.</i> twenty-two <i>&c</i>	<i>in ⲙⲛⲧⲥ.</i> twelve, <i>ϫⲟⲩⲧⲥ.</i> twenty-two <i>&c</i>	<i>in ⲙⲛⲧⲥ.</i> twelve, <i>ϫⲟⲩⲧⲥ.</i> twenty-two <i>&c</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	"ⲥⲛⲟⲟⲩⲥ (ⲡ, ⲧ)
ⲥⲛⲟⲟⲩⲥⲉ (ⲧ)"			ⲥⲛⲁⲩⲥ	"ⲥⲛⲁⲟⲩⲥ
ⲥⲛⲁⲩⲥⲉ (ⲧ)"						0
1872	119	0	(S,B) mpesnau (S) ntsnte	0	(adverbial), both together	(adverbial), both together		347a	6	2010-02-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/1872.html	"(S, B) ⲙⲡⲉⲥⲛⲁⲩ
(S) ⲛⲧⲥⲛⲧⲉ"	"(S, B) ⲙⲡⲉⲥⲛⲁⲩ
(S) ⲛⲧⲥⲛⲧⲉ"	ⲙⲡⲉⲥⲛⲁⲩ, ⲛⲧⲥⲛⲧⲉ	"(S, B) ⲙⲡⲉⲥⲛⲁⲩ
(S) ⲛⲧⲥⲛⲧⲉ"	-		<i>adverbial</i>, both together	<i>adverbial</i>, both together	<i>adverbial</i>, both together	<i>adverbial</i>, both together	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=347a	"ⲙⲡⲉⲥⲛⲁⲩ
ⲛⲧⲥⲛⲧⲉ"					ⲙⲡⲉⲥⲛⲁⲩ					0
