key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4006	2570	0	^^	1	sense of touch /$gk: [[afh]]$/	sense of touch /$gk: [[afh]]$/	afh	819a	6	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4006.html	―	―	―	― (ⲡ)	noun male	αφη	sense of touch [αφη]	sense of touch	"sense of touch <span style=""opacity:0.7"">[αφη]</span>"	"sense of touch <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%86%CE%B7"">αφη</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819a	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	0
4007	2570	0	atG.	0	untouchable /$gk: [[achlafhtos]]$/	untouchable /$gk: [[achlafhtos]]$/	achlafhtos	819a	7	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4007.html	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	-	αξηλαφητοσ	untouchable [αξηλαφητοσ]	untouchable	"untouchable <span style=""opacity:0.7"">[αξηλαφητοσ]</span>"	"untouchable <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BE%CE%B7%CE%BB%CE%B1%CF%86%CE%B7%CF%84%CE%BF%CF%83"">αξηλαφητοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819a	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	ⲁⲧϭ.	0
4008	2570	0	(B) JinJ.	0	act of touching	act of touching		819a	8	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4008.html	(B) ϫⲓⲛϫ.	(B) ϫⲓⲛϫ.	ϫⲓⲛϫ.	(B) ϫⲓⲛϫ.	-		act of touching	act of touching	act of touching	act of touching	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819a						ϫⲓⲛϫ.					0
8593	2571	0		99	With preceding prep:	With preceding prep:		819b	1	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8593.html					HEADER		With preceding prep:	With preceding prep:	With preceding prep:	With preceding prep:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819b											0
8594	2571	8593	(B) e^^	0				819b	2	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8594.html	(B) ⲉ―	(B) ⲉ―	ⲉ―	(B) ⲉ―	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819b						ⲉ―					1
8595	2571	8593	(B) Ken^^	0				819b	3	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8595.html	(B) ϧⲉⲛ―	(B) ϧⲉⲛ―	ϧⲉⲛ―	(B) ϧⲉⲛ―	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819b						ϧⲉⲛ―					1
8596	2571	8593	(B) Gin^^,Jin^^	0	(+ suff)	(+ suff)		819b	4	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8596.html	(B) ϭⲓⲛ―, ϫⲓⲛ―	(B) ϭⲓⲛ―, ϫⲓⲛ―	ϭⲓⲛ―, ϫⲓⲛ―	(B) ϭⲓⲛ―, ϫⲓⲛ―	-		<i>+ suff</i>	<i>+ suff</i>	<i>+ suff</i>	<i>+ suff</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819b						ϭⲓⲛ―, ϫⲓⲛ―					1
4009	2572	0	(S) Goone (B) Jane,Janh (F) Jani (B) *Janeu	22	(as last) /$gk: [[koilos, koilas]]$/	(as last) /$gk: [[koilos, koilas]]$/	koilos, koilas	819b	1	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4009.html	"(S) ϭⲟⲟⲛⲉ
(B) ϫⲁⲛⲉ, ϫⲁⲛⲏ
(F) ϫⲁⲛⲓ
(B) <i>plural: </i>ϫⲁⲛⲉⲩ"	"(S) ϭⲟⲟⲛⲉ
(B) ϫⲁⲛⲉ, ϫⲁⲛⲏ
(F) ϫⲁⲛⲓ
(B) <i>plural: </i>ϫⲁⲛⲉⲩ"	ϭⲟⲟⲛⲉ, ϫⲁⲛⲉ, ϫⲁⲛⲏ, ϫⲁⲛⲓ, ϫⲁⲛⲉⲩ (ⲛ)	"(S) ϭⲟⲟⲛⲉ (ⲡ/ⲧ)
(B) ϫⲁⲛⲉ, ϫⲁⲛⲏ (ⲡ/ⲧ)
(F) ϫⲁⲛⲓ (ⲡ/ⲧ)
(B) ϫⲁⲛⲉⲩ (ⲛ)"	noun male/female	κοιλοσ, κοιλασ	<i>as last</i> [κοιλοσ, κοιλασ]	<i>as last</i>	"<i>as last</i> <span style=""opacity:0.7"">[κοιλοσ, κοιλασ]</span>"	"<i>as last</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CE%B9%CE%BB%CE%BF%CF%83"">κοιλοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CE%B9%CE%BB%CE%B1%CF%83"">κοιλασ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=819b	ϭⲟⲟⲛⲉ (ⲡ/ⲧ)					"ϫⲁⲛⲉ, ϫⲁⲛⲏ (ⲡ/ⲧ)
ϫⲁⲛⲉⲩ (ⲛ)"	ϫⲁⲛⲓ (ⲡ/ⲧ)				0
4016	2577	0	(S,B) ^^	1	softness /$gk: [[apaloths, ikmas]]$/	softness /$gk: [[apaloths, ikmas]]$/	apaloths, ikmas	821b	1	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4016.html	(S, B) ―	(S, B) ―	―	(S, B) ― (ⲡ)	noun male	απαλοτησ, ικμασ	softness [απαλοτησ, ικμασ]	softness	"softness <span style=""opacity:0.7"">[απαλοτησ, ικμασ]</span>"	"softness <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%B1%CE%BB%CE%BF%CF%84%CE%B7%CF%83"">απαλοτησ</a>, <a href=""https://logeion.uchicago.edu/%CE%B9%CE%BA%CE%BC%CE%B1%CF%83"">ικμασ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=821b	― (ⲡ)					― (ⲡ)					0
4017	2577	0	(S) Gon,Goone,gw$$ (S,A) Gwn (B) Jane	6	soft /$gk: [[malakos]]$/	soft /$gk: [[malakos]]$/	malakos	821b	2	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4017.html	"(S) ϭⲟⲛ, ϭⲟⲟⲛⲉ, ⲅⲱ<i>(?)</i>
(S, A) ϭⲱⲛ
(B) ϫⲁⲛⲉ"	"(S) ϭⲟⲛ, ϭⲟⲟⲛⲉ, ⲅⲱ<i>(?)</i>
(S, A) ϭⲱⲛ
(B) ϫⲁⲛⲉ"	ϭⲟⲛ, ϭⲟⲟⲛⲉ, ⲅⲱ (?), ϭⲱⲛ, ϫⲁⲛⲉ	"(S) ϭⲟⲛ, ϭⲟⲟⲛⲉ, ⲅⲱ (?)
(S, A) ϭⲱⲛ (adj.)
(B) ϫⲁⲛⲉ (adj.)"	adjective	μαλακοσ	soft [μαλακοσ]	soft	"soft <span style=""opacity:0.7"">[μαλακοσ]</span>"	"soft <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CE%B1%CE%BB%CE%B1%CE%BA%CE%BF%CF%83"">μαλακοσ</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=821b	"ϭⲟⲛ, ϭⲟⲟⲛⲉ, ⲅⲱ (?)
ϭⲱⲛ (adj.)"			ϭⲱⲛ (adj.)		ϫⲁⲛⲉ (adj.)					0
