key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
5114	46	5110	(S,B) ^^ n- *^dat^*	0				569b	5	2010-04-29	1900-01-01	vagrant		(S, B) ― ⲛ- {dat}	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ⲛ- {dat}</span></span>"	― ⲛ- {dat}	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ⲛ- {dat}</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ⲛ- {dat}					― ⲛ- {dat}					1
5115	46	5110	(S,A,sA,B,F) ^^ nsa-	0	inquire for, seek after	inquire for, seek after		569b	6	2010-04-29	1900-01-01	vagrant		(S, A, sA, B, F) ― ⲛⲥⲁ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">― ⲛⲥⲁ-</span></span>"	― ⲛⲥⲁ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">― ⲛⲥⲁ-</span></span>"	-		inquire for, seek after	inquire for, seek after	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ⲛⲥⲁ-			― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-				1
5116	46	5110	(S,B) ^^ ntn-	0	of, from	of, from		569b	7	2010-04-29	1900-01-01	vagrant		(S, B) ― ⲛⲧⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ⲛⲧⲛ-</span></span>"	― ⲛⲧⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ⲛⲧⲛ-</span></span>"	-		of, from	of, from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ⲛⲧⲛ-					― ⲛⲧⲛ-					1
5117	46	5110	(S) ^^ Ha-	0	seek for	seek for		569b	8	2010-04-29	1900-01-01	vagrant		(S) ― ϩⲁ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁ-</span></span>"	― ϩⲁ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁ-</span></span>"	-		seek for	seek for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ϩⲁ-										1
5118	46	5110	(S,B) ^^ Hn-,^^ Ken-	0	in, among	in, among		569b	9	2010-04-29	1900-01-01	vagrant		(S, B) ― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲛ-</span><span class=""spelling-comma"">, </span><span class=""spelling S B"">― ϧⲉⲛ-</span></span>"	― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲛ-</span><span class=""spelling-comma"">, </span><span class=""spelling S B"">― ϧⲉⲛ-</span></span>"	-		in, among	in, among	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ϩⲛ-, ― ϧⲉⲛ-					― ϩⲛ-, ― ϧⲉⲛ-					1
5119	46	5110	(S) ^^ Hitn-	0	through	through		569b	10	2010-04-29	1900-01-01	vagrant		(S) ― ϩⲓⲧⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲓⲧⲛ-</span></span>"	― ϩⲓⲧⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲓⲧⲛ-</span></span>"	-		through	through	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	― ϩⲓⲧⲛ-										1
3006	46	0	(S,A,sA,B,F) ^^ (S,sA) Sn- (B,F) Sen-	1	inquiry /$gk: [[zhthsis]]$/ | news, report /$gk: [[aggelia, fhmh]]$/	inquiry /$gk: [[zhthsis]]$/ | news, report /$gk: [[aggelia, fhmh]]$/	zhthsis, aggelia, fhmh	569b	11	2010-03-12	1900-01-01	vagrant		"(S, A, sA, B, F) ―
(S, sA) ϣⲛ-
(B, F) ϣⲉⲛ-"	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">―</span></span>
<span class=""word S sA""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA"">ϣⲛ-</span></span>
<span class=""word B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B F"">ϣⲉⲛ-</span></span>"	―, ϣⲛ-, ϣⲉⲛ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">―</span> <span class=""type S A sA B F"">(ⲡ)</span></span>
<span class=""word S sA""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA"">ϣⲛ-</span> <span class=""type S sA"">(ⲡ)</span></span>
<span class=""word B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B F"">ϣⲉⲛ-</span> <span class=""type B F"">(ⲡ)</span></span>"	noun male	ζητησισ, αγγελια, φημη	"inquiry [ζητησισ]
news, report [αγγελια, φημη]"	"inquiry 
news, report"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=569b	"― (ⲡ)
ϣⲛ- (ⲡ)"			― (ⲡ)	"― (ⲡ)
ϣⲛ- (ⲡ)"	"― (ⲡ)
ϣⲉⲛ- (ⲡ)"	"― (ⲡ)
ϣⲉⲛ- (ⲡ)"				0
3007	46	0	(S,sA) SmnouFe (B,F) SennouFi	0	good news /$gk: [[euaggelion, eufhma]]$/	good news /$gk: [[euaggelion, eufhma]]$/	euaggelion, eufhma	570a	12	2010-03-12	1900-01-01	vagrant		"(S, sA) ϣⲙⲛⲟⲩϥⲉ
(B, F) ϣⲉⲛⲛⲟⲩϥⲓ"	"<span class=""word S sA""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA"">ϣⲙⲛⲟⲩϥⲉ</span></span>
<span class=""word B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B F"">ϣⲉⲛⲛⲟⲩϥⲓ</span></span>"	ϣⲙⲛⲟⲩϥⲉ, ϣⲉⲛⲛⲟⲩϥⲓ	"<span class=""word S sA""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA"">ϣⲙⲛⲟⲩϥⲉ</span></span>
<span class=""word B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B F"">ϣⲉⲛⲛⲟⲩϥⲓ</span></span>"	-	ευαγγελιον, ευφημα	good news [ευαγγελιον, ευφημα]	good news	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=570a	ϣⲙⲛⲟⲩϥⲉ				ϣⲙⲛⲟⲩϥⲉ	ϣⲉⲛⲛⲟⲩϥⲓ	ϣⲉⲛⲛⲟⲩϥⲓ				0
3008	46	3007	(B) Hi S.	0	tell good news	tell good news		570a	13	2010-03-12	1900-01-01	vagrant		(B) ϩⲓ ϣ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϩⲓ ϣ.</span></span>"	ϩⲓ ϣ.	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϩⲓ ϣ.</span></span>"	-		tell good news	tell good news	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=570a						ϩⲓ ϣ.					1
3009	46	0	(S) ma nS.	0	place of inquiry, oracle	place of inquiry, oracle		570a	14	2010-03-12	1900-01-01	vagrant		(S) ⲙⲁ ⲛϣ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲙⲁ ⲛϣ.</span></span>"	ⲙⲁ ⲛϣ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲙⲁ ⲛϣ.</span></span>"	-		place of inquiry, oracle	place of inquiry, oracle	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=570a	ⲙⲁ ⲛϣ.										0
