key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
1651	1353	0	noH nr.	0	measuring cord /$gk: [[sxoinisma]]$/	measuring cord /$gk: [[sxoinisma]]$/	sxoinisma	308b	1	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/1651.html	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	-	σχοινισμα	measuring cord [σχοινισμα]	measuring cord	"measuring cord <span style=""opacity:0.7"">[σχοινισμα]</span>"	"measuring cord <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%87%CE%BF%CE%B9%CE%BD%CE%B9%CF%83%CE%BC%CE%B1"">σχοινισμα</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	ⲛⲟϩ ⲛⲣ.	0
6056	1354	0		99	intr :	intr :		308b	1	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6056.html					HEADER		intr :	intr :	intr :	intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b											0
6057	1354	6056		99	With following preposition:	With following preposition:		308b	2	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6057.html					HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b											1
6058	1354	6057	(B) ^^^ e-	0	at, over	at, over		308b	3	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6058.html	(B) <i><b>c</b></i> ⲉ-	(B) <i><b>c</b></i> ⲉ-	ⲉ- (c)	(B) ⲉ- (c)	-		at, over	at, over	at, over	at, over	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b						ⲉ- (c)					2
6059	1354	6057	^^^ eJn-	0	(meaning same)	(meaning same)		308b	4	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6059.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-		<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	2
6060	1354	6057	^^^ eHrai eJn-,^^^ eHrhi eJn-	0				308b	5	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6060.html	<i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉϫⲛ-, <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	<i><b>c</b></i> ⲉϩⲣⲁⲓ ⲉϫⲛ-, <i><b>c</b></i> ⲉϩⲣⲏⲓ ⲉϫⲛ-	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)	2
6061	1354	6057	(B) ^^^ HiJen-	0	(meaning same)	(meaning same)		308b	6	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6061.html	(B) <i><b>c</b></i> ϩⲓϫⲉⲛ-	(B) <i><b>c</b></i> ϩⲓϫⲉⲛ-	ϩⲓϫⲉⲛ- (c)	(B) ϩⲓϫⲉⲛ- (c)	-		<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b						ϩⲓϫⲉⲛ- (c)					2
6062	1354	6057	(B) ^^^ eqbe-	0	(meaning same)	(meaning same)		308b	7	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6062.html	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	ⲉⲑⲃⲉ- (c)	(B) ⲉⲑⲃⲉ- (c)	-		<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	<i>meaning same</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b						ⲉⲑⲃⲉ- (c)					2
6063	1354	6057	^^^ mn-,^^^ nem-	0	with	with		308b	8	2010-07-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/6063.html	<i><b>c</b></i> ⲙⲛ-, <i><b>c</b></i> ⲛⲉⲙ-	<i><b>c</b></i> ⲙⲛ-, <i><b>c</b></i> ⲛⲉⲙ-	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	-		with	with	with	with	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=308b	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	ⲙⲛ-, ⲛⲉⲙ- (c)	2
1652	1354	0	(S,A,B,F) ^^	1	gladness, joy /$gk: [[xara, xarmonh]]$/	gladness, joy /$gk: [[xara, xarmonh]]$/	xara, xarmonh	309a	9	2010-02-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/1652.html	(S, A, B, F) ―	(S, A, B, F) ―	―	(S, A, B, F) ― (ⲡ)	noun male	χαρα, χαρμονη	gladness, joy [χαρα, χαρμονη]	gladness, joy	"gladness, joy <span style=""opacity:0.7"">[χαρα, χαρμονη]</span>"	"gladness, joy <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%87%CE%B1%CF%81%CE%B1"">χαρα</a>, <a href=""https://logeion.uchicago.edu/%CF%87%CE%B1%CF%81%CE%BC%CE%BF%CE%BD%CE%B7"">χαρμονη</a>]</span>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=309a	― (ⲡ)			― (ⲡ)		― (ⲡ)	― (ⲡ)				0
