key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
4090	936	0	^^	1	sprinkling, outpowing /$gk: [[rantismos, kataxusis]]$/	sprinkling, outpowing /$gk: [[rantismos, kataxusis]]$/	rantismos, kataxusis	839a	7	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4090.html	―	―	―	―	―	― (ⲡ)	noun male	ραντισμοσ, καταχυσισ	sprinkling, outpowing [ραντισμοσ, καταχυσισ]	sprinkling, outpowing [ραντισμοσ, καταχυσισ]	sprinkling, outpowing	"sprinkling, outpowing <span style=""opacity:0.7"">[ραντισμοσ, καταχυσισ]</span>"	"sprinkling, outpowing <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%81%CE%B1%CE%BD%CF%84%CE%B9%CF%83%CE%BC%CE%BF%CF%83"">ραντισμοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CE%B1%CF%84%CE%B1%CF%87%CF%85%CF%83%CE%B9%CF%83"">καταχυσισ</a>]</span>"	sprinkling, outpowing	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=839a	839	a	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	― (ⲡ)	―	0
1949	938	0	(B) mets.	0	fame	fame		359b	1	2010-02-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/1949.html	(B) ⲙⲉⲧⲥ.	(B) ⲙⲉⲧⲥ.	(B) ⲙⲉⲧⲥ.	(B) ⲙⲉⲧⲥ.	ⲙⲉⲧⲥ.	(B) ⲙⲉⲧⲥ.	-		fame	fame	fame	fame	fame	fame	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b											ⲙⲉⲧⲥ.	ⲙⲉⲧⲥ.									0
1950	938	0	(S,A,B,F) r s.,o ps.	0	become, be famous	become, be famous		359b	2	2010-02-16	2010-02-16	vagrant	vagrant	https://pishoyg.github.io/crum/1950.html	(S, A, B, F) ⲣ ⲥ., ⲟ ⲡⲥ.	(S, A, B, F) ⲣ ⲥ., ⲟ ⲡⲥ.	(S, A, B, F) ⲣ ⲥ., ⲟ ⲡⲥ.	(S, A, B, F) ⲣ ⲥ., ⲟ ⲡⲥ.	ⲣ ⲥ., ⲟ ⲡⲥ.	(S, A, B, F) ⲣ ⲥ., ⲟ ⲡⲥ.	-		become, be famous	become, be famous	become, be famous	become, be famous	become, be famous	become, be famous	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b	ⲣ ⲥ., ⲟ ⲡⲥ.	ⲣ ⲥ.					ⲣ ⲥ., ⲟ ⲡⲥ.	ⲣ ⲥ.			ⲣ ⲥ., ⲟ ⲡⲥ.	ⲣ ⲥ.	ⲣ ⲥ., ⲟ ⲡⲥ.	ⲣ ⲥ.							0
1951	938	0	(S,A,B,F) T s.,T ps.	0	be, make famed /$gk: [[diafhmizein]]$/ | (with art S,A,B) | (with prep of person, thing) famed | (with [Je-])	be, make famed /$gk: [[diafhmizein]]$/ | (with art S,A,B) | (with prep of person, thing) famed | (with [Je-])	diafhmizein	359b	3	2010-02-16	2010-07-16	vagrant	vagrant	https://pishoyg.github.io/crum/1951.html	(S, A, B, F) ϯ ⲥ., ϯ ⲡⲥ.	(S, A, B, F) ϯ ⲥ., ϯ ⲡⲥ.	(S, A, B, F) ϯ ⲥ., ϯ ⲡⲥ.	(S, A, B, F) ϯ ⲥ., ϯ ⲡⲥ.	ϯ ⲥ., ϯ ⲡⲥ.	(S, A, B, F) ϯ ⲥ., ϯ ⲡⲥ.	-	διαφημιζειν	"be, make famed [διαφημιζειν]
<i>with art S,A,B</i>
<i>with prep of person, thing</i> famed
<i>with ϫⲉ-</i>"	"be, make famed [διαφημιζειν]
with art S,A,B
with prep of person, thing famed
with ϫⲉ-"	"be, make famed 
<i>with art S,A,B</i>
<i>with prep of person, thing</i> famed
<i>with ϫⲉ-</i>"	"be, make famed <span style=""opacity:0.7"">[διαφημιζειν]</span>
<i>with art S,A,B</i>
<i>with prep of person, thing</i> famed
<i>with ϫⲉ-</i>"	"be, make famed <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CF%86%CE%B7%CE%BC%CE%B9%CE%B6%CE%B5%CE%B9%CE%BD"">διαφημιζειν</a>]</span>
<i>with art S,A,B</i>
<i>with prep of person, thing</i> famed
<i>with ϫⲉ-</i>"	"be, make famed 
with art S,A,B
with prep of person, thing famed
with ϫⲉ-"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b	ϯ ⲥ., ϯ ⲡⲥ.	ϯ ⲥ.					ϯ ⲥ., ϯ ⲡⲥ.	ϯ ⲥ.			ϯ ⲥ., ϯ ⲡⲥ.	ϯ ⲥ.	ϯ ⲥ., ϯ ⲡⲥ.	ϯ ⲥ.							0
6331	938	1951		99	with prep of person, thing (famed)	with prep of person, thing (famed)		359b	4	2010-07-16	2013-05-05	vagrant	vagrant	https://pishoyg.github.io/crum/6331.html							HEADER		with prep of person, thing <i>famed</i>	with prep of person, thing famed	with prep of person, thing <i>famed</i>	with prep of person, thing <i>famed</i>	with prep of person, thing <i>famed</i>	with prep of person, thing famed	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b																					1
6332	938	6331	(S) ^^^ e-	0				359b	5	2010-07-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/6332.html	(S) <i><b>c</b></i> ⲉ-	(S) <i><b>c</b></i> ⲉ-	(S) c ⲉ-	(S) c ⲉ-	ⲉ- (c)	(S) ⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b	ⲉ- (c)	ⲉ-																			2
6333	938	6331	(B) ^^^ eqbe-	0				359b	6	2010-07-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/6333.html	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	(B) <i><b>c</b></i> ⲉⲑⲃⲉ-	(B) c ⲉⲑⲃⲉ-	(B) c ⲉⲑⲃⲉ-	ⲉⲑⲃⲉ- (c)	(B) ⲉⲑⲃⲉ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b											ⲉⲑⲃⲉ- (c)	ⲉⲑⲃⲉ-									2
6334	938	6331	(S,B) ^^^ n- *^dat or gen^*	0				359b	7	2010-07-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/6334.html	(S, B) <i><b>c</b></i> ⲛ- {dat or gen}	(S, B) <i><b>c</b></i> ⲛ- {dat or gen}	(S, B) c ⲛ- {dat or gen}	(S, B) c ⲛ- {dat or gen}	ⲛ- {dat or gen} (c)	(S, B) ⲛ- {dat or gen} (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b	ⲛ- {dat or gen} (c)	ⲛ- {dat or gen}									ⲛ- {dat or gen} (c)	ⲛ- {dat or gen}									2
6335	938	6331	(B) ^^^ Ka-	0				359b	8	2010-07-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/6335.html	(B) <i><b>c</b></i> ϧⲁ-	(B) <i><b>c</b></i> ϧⲁ-	(B) c ϧⲁ-	(B) c ϧⲁ-	ϧⲁ- (c)	(B) ϧⲁ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b											ϧⲁ- (c)	ϧⲁ-									2
6336	938	6331	(S) ^^^ Hn-	0				359b	9	2010-07-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/6336.html	(S) <i><b>c</b></i> ϩⲛ-	(S) <i><b>c</b></i> ϩⲛ-	(S) c ϩⲛ-	(S) c ϩⲛ-	ϩⲛ- (c)	(S) ϩⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=359b	359	b	ϩⲛ- (c)	ϩⲛ-																			2
1952	938	0	(S) rmns.	0	famous person /$gk: [[onomastos]]$/	famous person /$gk: [[onomastos]]$/	onomastos	360a	10	2010-02-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/1952.html	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	-	ονομαστοσ	famous person [ονομαστοσ]	famous person [ονομαστοσ]	famous person	"famous person <span style=""opacity:0.7"">[ονομαστοσ]</span>"	"famous person <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%BD%CE%BF%CE%BC%CE%B1%CF%83%CF%84%CE%BF%CF%83"">ονομαστοσ</a>]</span>"	famous person	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=360a	360	a	ⲣⲙⲛⲥ.	ⲣⲙⲛⲥ.																			0
