key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	inflections-B	depth
1706	376	0	(S,B,F) sboui	1	disciple, apprentice /$gk: [[maqhths]]$/	disciple, apprentice /$gk: [[maqhths]]$/	maqhths	319b	6	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1706.html	(S, B, F) ⲥⲃⲟⲩⲓ	(S, B, F) ⲥⲃⲟⲩⲓ	(S, B, F) ⲥⲃⲟⲩⲓ	(S, B, F) ⲥⲃⲟⲩⲓ	(S, B, F) ⲥⲃⲟⲩⲓ (ⲡ)	noun male	μαθητησ	disciple, apprentice [μαθητησ]	disciple, apprentice [μαθητησ]	disciple, apprentice	"disciple, apprentice <span style=""opacity:0.7"">[μαθητησ]</span>"	"disciple, apprentice <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CE%B1%CE%B8%CE%B7%CF%84%CE%B7%CF%83"">μαθητησ</a>]</span>"	disciple, apprentice	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=319b	319	b	ⲥⲃⲟⲩⲓ (ⲡ)	ⲥⲃⲟⲩⲓ									ⲥⲃⲟⲩⲓ (ⲡ)	ⲥⲃⲟⲩⲓ	ⲥⲃⲟⲩⲓ (ⲡ)	ⲥⲃⲟⲩⲓ							ⲥⲃⲟⲩⲓ,ⲉ̀ⲥⲃⲟⲩⲓ,ⲛ̀ⲥⲃⲟⲩⲓ,ⲙ̀ⲥⲃⲟⲩⲓ,ⲟⲩⲥⲃⲟⲩⲓ,ϩⲁⲛⲥⲃⲟⲩⲓ,ⲡ̀ⲥⲃⲟⲩⲓ,ⲫ̀ⲥⲃⲟⲩⲓ,ⲡⲁⲓⲥⲃⲟⲩⲓ,ⲡⲁⲥⲃⲟⲩⲓ,ⲡⲉⲛⲥⲃⲟⲩⲓ,ⲡⲉⲕⲥⲃⲟⲩⲓ,ⲡⲉⲥⲃⲟⲩⲓ,ⲡⲉⲧⲉⲛⲥⲃⲟⲩⲓ,ⲡⲉϥⲥⲃⲟⲩⲓ,ⲡⲉⲥⲥⲃⲟⲩⲓ,ⲡⲟⲩⲥⲃⲟⲩⲓ,ⲛⲓⲥⲃⲟⲩⲓ,ⲛⲉⲛⲥⲃⲟⲩⲓ,ⲛⲁⲓⲥⲃⲟⲩⲓ,ⲛⲁⲥⲃⲟⲩⲓ,ⲛⲉⲕⲥⲃⲟⲩⲓ,ⲛⲉⲥⲃⲟⲩⲓ,ⲛⲉⲧⲉⲛⲥⲃⲟⲩⲓ,ⲛⲉϥⲥⲃⲟⲩⲓ,ⲛⲉⲥⲥⲃⲟⲩⲓ,ⲛⲟⲩⲥⲃⲟⲩⲓ	0
1707	376	0	(S,sA,B,F) sbw (A,sA) sbou (S) *sbooue,sbwoue (A) *sbaue (sA) *sboueie (B) *sbwoui (F) *sbaoui,sFaui	4	doctrine, teaching /$gk: [[didaskalia, didaxh, paideia, episthmh]]$/	doctrine, teaching /$gk: [[didaskalia, didaxh, paideia, episthmh]]$/	didaskalia, didaxh, paideia, episthmh	319b	7	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1707.html	"(S, sA, B, F) ⲥⲃⲱ
(A, sA) ⲥⲃⲟⲩ
(S) <i>plural: </i>ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ
(A) <i>plural: </i>ⲥⲃⲁⲩⲉ
(sA) <i>plural: </i>ⲥⲃⲟⲩⲉⲓⲉ
(B) <i>plural: </i>ⲥⲃⲱⲟⲩⲓ
(F) <i>plural: </i>ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ"	"(S, sA, B, F) ⲥⲃⲱ
(A, sA) ⲥⲃⲟⲩ
(S) <i>plural: </i>ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ
(A) <i>plural: </i>ⲥⲃⲁⲩⲉ
(sA) <i>plural: </i>ⲥⲃⲟⲩⲉⲓⲉ
(B) <i>plural: </i>ⲥⲃⲱⲟⲩⲓ
(F) <i>plural: </i>ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ"	"(S, sA, B, F) ⲥⲃⲱ
(A, sA) ⲥⲃⲟⲩ
(S) plural: ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ
(A) plural: ⲥⲃⲁⲩⲉ
(sA) plural: ⲥⲃⲟⲩⲉⲓⲉ
(B) plural: ⲥⲃⲱⲟⲩⲓ
(F) plural: ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ"	"(S, sA, B, F) ⲥⲃⲱ
(A, sA) ⲥⲃⲟⲩ
(S) plural: ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ
(A) plural: ⲥⲃⲁⲩⲉ
(sA) plural: ⲥⲃⲟⲩⲉⲓⲉ
(B) plural: ⲥⲃⲱⲟⲩⲓ
(F) plural: ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ"	"(S, sA, B, F) ⲥⲃⲱ (ⲧ)
(A, sA) ⲥⲃⲟⲩ (ⲧ)
(S) ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ (ⲛ)
(A) ⲥⲃⲁⲩⲉ (ⲛ)
(sA) ⲥⲃⲟⲩⲉⲓⲉ (ⲛ)
(B) ⲥⲃⲱⲟⲩⲓ (ⲛ)
(F) ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ (ⲛ)"	noun female	διδασκαλια, διδαχη, παιδεια, επιστημη	doctrine, teaching [διδασκαλια, διδαχη, παιδεια, επιστημη]	doctrine, teaching [διδασκαλια, διδαχη, παιδεια, επιστημη]	doctrine, teaching	"doctrine, teaching <span style=""opacity:0.7"">[διδασκαλια, διδαχη, παιδεια, επιστημη]</span>"	"doctrine, teaching <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%83%CE%BA%CE%B1%CE%BB%CE%B9%CE%B1"">διδασκαλια</a>, <a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%87%CE%B7"">διδαχη</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B5%CE%B9%CE%B1"">παιδεια</a>, <a href=""https://logeion.uchicago.edu/%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%B7%CE%BC%CE%B7"">επιστημη</a>]</span>"	doctrine, teaching	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=319b	319	b	"ⲥⲃⲱ (ⲧ)
ⲥⲃⲟⲟⲩⲉ, ⲥⲃⲱⲟⲩⲉ (ⲛ)"	ⲥⲃⲱ					"ⲥⲃⲟⲩ (ⲧ)
ⲥⲃⲁⲩⲉ (ⲛ)"	ⲥⲃⲟⲩ	"ⲥⲃⲱ (ⲧ)
ⲥⲃⲟⲩ (ⲧ)
ⲥⲃⲟⲩⲉⲓⲉ (ⲛ)"	ⲥⲃⲱ	"ⲥⲃⲱ (ⲧ)
ⲥⲃⲱⲟⲩⲓ (ⲛ)"	ⲥⲃⲱ	"ⲥⲃⲱ (ⲧ)
ⲥⲃⲁⲟⲩⲓ, ⲥϥⲁⲩⲓ (ⲛ)"	ⲥⲃⲱ							ⲥⲃⲱ,ⲉ̀ⲥⲃⲱ,ⲛ̀ⲥⲃⲱ,ⲙ̀ⲥⲃⲱ,ⲟⲩⲥⲃⲱ,ϩⲁⲛⲥⲃⲱ,ⲧ̀ⲥⲃⲱ,ⲑ̀ⲥⲃⲱ,ⲧⲁⲓⲥⲃⲱ,ⲧⲁⲥⲃⲱ,ⲧⲉⲛⲥⲃⲱ,ⲧⲉⲕⲥⲃⲱ,ⲧⲉⲥⲃⲱ,ⲧⲉⲧⲉⲛⲥⲃⲱ,ⲧⲉϥⲥⲃⲱ,ⲧⲉⲥⲥⲃⲱ,ⲧⲟⲩⲥⲃⲱ,ⲛⲓⲥⲃⲱ,ⲛⲉⲛⲥⲃⲱ,ⲛⲁⲓⲥⲃⲱ,ⲛⲁⲥⲃⲱ,ⲛⲉⲕⲥⲃⲱ,ⲛⲉⲥⲃⲱ,ⲛⲉⲧⲉⲛⲥⲃⲱ,ⲛⲉϥⲥⲃⲱ,ⲛⲉⲥⲥⲃⲱ,ⲛⲟⲩⲥⲃⲱ,ⲥⲃⲱⲟⲩⲓ,ⲉ̀ⲥⲃⲱⲟⲩⲓ,ⲛ̀ⲥⲃⲱⲟⲩⲓ,ⲙ̀ⲥⲃⲱⲟⲩⲓ,ϩⲁⲛⲥⲃⲱⲟⲩⲓ,ⲛⲓⲥⲃⲱⲟⲩⲓ,ⲛⲉⲛⲥⲃⲱⲟⲩⲓ,ⲛⲁⲓⲥⲃⲱⲟⲩⲓ,ⲛⲁⲥⲃⲱⲟⲩⲓ,ⲛⲉⲕⲥⲃⲱⲟⲩⲓ,ⲛⲉⲥⲃⲱⲟⲩⲓ,ⲛⲉⲧⲉⲛⲥⲃⲱⲟⲩⲓ,ⲛⲉϥⲥⲃⲱⲟⲩⲓ,ⲛⲉⲥⲥⲃⲱⲟⲩⲓ,ⲛⲟⲩⲥⲃⲱⲟⲩⲓ	0
1708	376	1707	(S,A,B) ats.	0	without teaching, ignorant /$gk: [[apaideutos, asofos, asunetos]]$/	without teaching, ignorant /$gk: [[apaideutos, asofos, asunetos]]$/	apaideutos, asofos, asunetos	319b	8	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1708.html	(S, A, B) ⲁⲧⲥ.	(S, A, B) ⲁⲧⲥ.	(S, A, B) ⲁⲧⲥ.	(S, A, B) ⲁⲧⲥ.	(S, A, B) ⲁⲧⲥ.	-	απαιδευτοσ, ασοφοσ, ασυνετοσ	without teaching, ignorant [απαιδευτοσ, ασοφοσ, ασυνετοσ]	without teaching, ignorant [απαιδευτοσ, ασοφοσ, ασυνετοσ]	without teaching, ignorant	"without teaching, ignorant <span style=""opacity:0.7"">[απαιδευτοσ, ασοφοσ, ασυνετοσ]</span>"	"without teaching, ignorant <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%B1%CE%B9%CE%B4%CE%B5%CF%85%CF%84%CE%BF%CF%83"">απαιδευτοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%83%CE%BF%CF%86%CE%BF%CF%83"">ασοφοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%83%CF%85%CE%BD%CE%B5%CF%84%CE%BF%CF%83"">ασυνετοσ</a>]</span>"	without teaching, ignorant	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=319b	319	b	ⲁⲧⲥ.	ⲁⲧⲥ.					ⲁⲧⲥ.	ⲁⲧⲥ.			ⲁⲧⲥ.	ⲁⲧⲥ.									ⲁⲧⲥ	1
1709	376	1708	mnt..ats..,met..ats.	0	 /$gk: [[apaideusia]]$/	 /$gk: [[apaideusia]]$/	apaideusia	319b	9	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1709.html	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	-	απαιδευσια	[απαιδευσια]	[απαιδευσια]		"<span style=""opacity:0.7"">[απαιδευσια]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%B1%CE%B9%CE%B4%CE%B5%CF%85%CF%83%CE%B9%CE%B1"">απαιδευσια</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=319b	319	b	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ, ⲙⲉⲧⲁⲧⲥ.	ⲙⲛⲧⲁⲧⲥ	ⲙⲛⲧⲁⲧⲥ,ⲙⲉⲧⲁⲧⲥ	2
1710	376	1707	(S) mais.	0	loving instruction, docile /$gk: [[filomaqhs]]$/	loving instruction, docile /$gk: [[filomaqhs]]$/	filomaqhs	319b	10	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1710.html	(S) ⲙⲁⲓⲥ.	(S) ⲙⲁⲓⲥ.	(S) ⲙⲁⲓⲥ.	(S) ⲙⲁⲓⲥ.	(S) ⲙⲁⲓⲥ.	-	φιλομαθησ	loving instruction, docile [φιλομαθησ]	loving instruction, docile [φιλομαθησ]	loving instruction, docile	"loving instruction, docile <span style=""opacity:0.7"">[φιλομαθησ]</span>"	"loving instruction, docile <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%86%CE%B9%CE%BB%CE%BF%CE%BC%CE%B1%CE%B8%CE%B7%CF%83"">φιλομαθησ</a>]</span>"	loving instruction, docile	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=319b	319	b	ⲙⲁⲓⲥ.	ⲙⲁⲓⲥ.																				1
1711	376	1707	(S) rmns.	0	instructed, knowledgeable person	instructed, knowledgeable person		320a	11	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1711.html	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	(S) ⲣⲙⲛⲥ.	-		instructed, knowledgeable person	instructed, knowledgeable person	instructed, knowledgeable person	instructed, knowledgeable person	instructed, knowledgeable person	instructed, knowledgeable person	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=320a	320	a	ⲣⲙⲛⲥ.	ⲣⲙⲛⲥ.																				1
1712	376	1707	(S,A,sA,B,F) T s.	0	teach, chastise /$gk: [[didaskein, paideuein]]$/	teach, chastise /$gk: [[didaskein, paideuein]]$/	didaskein, paideuein	320a	12	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1712.html	(S, A, sA, B, F) ϯ ⲥ.	(S, A, sA, B, F) ϯ ⲥ.	(S, A, sA, B, F) ϯ ⲥ.	(S, A, sA, B, F) ϯ ⲥ.	(S, A, sA, B, F) ϯ ⲥ.	-	διδασκειν, παιδευειν	teach, chastise [διδασκειν, παιδευειν]	teach, chastise [διδασκειν, παιδευειν]	teach, chastise	"teach, chastise <span style=""opacity:0.7"">[διδασκειν, παιδευειν]</span>"	"teach, chastise <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%83%CE%BA%CE%B5%CE%B9%CE%BD"">διδασκειν</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B5%CF%85%CE%B5%CE%B9%CE%BD"">παιδευειν</a>]</span>"	teach, chastise	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=320a	320	a	ϯ ⲥ.	ϯ ⲥ.					ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.	ϯ ⲥ.							ϯ	1
1713	376	1712	(S) ma n..T s.	0	teaching place /$gk: [[didaskaleion]]$/	teaching place /$gk: [[didaskaleion]]$/	didaskaleion	320a	13	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1713.html	(S) ⲙⲁ ⲛϯ ⲥ.	(S) ⲙⲁ ⲛϯ ⲥ.	(S) ⲙⲁ ⲛϯ ⲥ.	(S) ⲙⲁ ⲛϯ ⲥ.	(S) ⲙⲁ ⲛϯ ⲥ.	-	διδασκαλειον	teaching place [διδασκαλειον]	teaching place [διδασκαλειον]	teaching place	"teaching place <span style=""opacity:0.7"">[διδασκαλειον]</span>"	"teaching place <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%83%CE%BA%CE%B1%CE%BB%CE%B5%CE%B9%CE%BF%CE%BD"">διδασκαλειον</a>]</span>"	teaching place	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=320a	320	a	ⲙⲁ ⲛϯ ⲥ.	ⲙⲁ ⲛϯ ⲥ.																				2
1714	376	1712	(S,B) reF..T s.	0	teacher /$gk: [[didaskalos]]$/	teacher /$gk: [[didaskalos]]$/	didaskalos	320a	14	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1714.html	(S, B) ⲣⲉϥϯ ⲥ.	(S, B) ⲣⲉϥϯ ⲥ.	(S, B) ⲣⲉϥϯ ⲥ.	(S, B) ⲣⲉϥϯ ⲥ.	(S, B) ⲣⲉϥϯ ⲥ.	-	διδασκαλοσ	teacher [διδασκαλοσ]	teacher [διδασκαλοσ]	teacher	"teacher <span style=""opacity:0.7"">[διδασκαλοσ]</span>"	"teacher <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%83%CE%BA%CE%B1%CE%BB%CE%BF%CF%83"">διδασκαλοσ</a>]</span>"	teacher	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=320a	320	a	ⲣⲉϥϯ ⲥ.	ⲣⲉϥϯ ⲥ.									ⲣⲉϥϯ ⲥ.	ⲣⲉϥϯ ⲥ.									ⲣⲉϥϯ	2
1715	376	1714	mntr.,metr.	0	teaching /$gk: [[didaskalia]]$/	teaching /$gk: [[didaskalia]]$/		320a	15	2010-02-12	2010-02-12	vagrant	vagrant	https://pishoyg.github.io/crum/1715.html	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	-		teaching [διδασκαλια]	teaching [διδασκαλια]	teaching	"teaching <span style=""opacity:0.7"">[διδασκαλια]</span>"	"teaching <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B4%CE%B1%CF%83%CE%BA%CE%B1%CE%BB%CE%B9%CE%B1"">διδασκαλια</a>]</span>"	teaching	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=320a	320	a	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ., ⲙⲉⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ,ⲙⲉⲧⲣ	3
