key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
6984	382	6981	(S) ^^^ epesht Hi-	0	down upon	down upon		497b	27	2010-08-07	2010-08-07	vagrant	vagrant	https://pishoyg.github.io/crum/6984.html	(S) <i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ ϩⲓ-	(S) <i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ ϩⲓ-	ⲉⲡⲉⲥⲏⲧ ϩⲓ- (c)	(S) ⲉⲡⲉⲥⲏⲧ ϩⲓ- (c)	-		down upon	down upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b	ⲉⲡⲉⲥⲏⲧ ϩⲓ- (c)										2
6985	382	6981	(Sf,B) ^^^ ebol	0	out	out		497b	28	2010-08-07	2010-08-07	vagrant	vagrant	https://pishoyg.github.io/crum/6985.html	(Sf, B) <i><b>c</b></i> ⲉⲃⲟⲗ	(Sf, B) <i><b>c</b></i> ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	(Sf, B) ⲉⲃⲟⲗ (c)	-		out	out	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b			ⲉⲃⲟⲗ (c)			ⲉⲃⲟⲗ (c)					2
2654	382	0		99	traverse, pierce	traverse, pierce		497b	29	2010-03-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/2654.html					HEADER		traverse, pierce	traverse, pierce	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b											0
2655	382	2654	(B) ^^	3	(meaning uncertain, part of ox-yoke)	(meaning uncertain, part of ox-yoke)		497b	30	2010-03-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/2655.html	(B) ―	(B) ―	―	(B) ― (noun)	noun		<i>meaning uncertain, part of ox-yoke</i>	<i>meaning uncertain, part of ox-yoke</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b						― (noun)					1
2656	382	2654	(S) ouatbe,ouatFe (F) ouetbi	4	pierced place, hole /$gk: [[truphma]]$/	pierced place, hole /$gk: [[truphma]]$/	truphma	497b	31	2010-03-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/2656.html	"(S) ⲟⲩⲁⲧⲃⲉ, ⲟⲩⲁⲧϥⲉ
(F) ⲟⲩⲉⲧⲃⲓ"	"(S) ⲟⲩⲁⲧⲃⲉ, ⲟⲩⲁⲧϥⲉ
(F) ⲟⲩⲉⲧⲃⲓ"	ⲟⲩⲁⲧⲃⲉ, ⲟⲩⲁⲧϥⲉ, ⲟⲩⲉⲧⲃⲓ	"(S) ⲟⲩⲁⲧⲃⲉ, ⲟⲩⲁⲧϥⲉ (ⲧ)
(F) ⲟⲩⲉⲧⲃⲓ (ⲧ)"	noun female	τρυπημα	pierced place, hole [τρυπημα]	pierced place, hole	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b	ⲟⲩⲁⲧⲃⲉ, ⲟⲩⲁⲧϥⲉ (ⲧ)						ⲟⲩⲉⲧⲃⲓ (ⲧ)				1
2657	382	2654	(S) ouatbes	4	(meaning as last ?)	(meaning as last ?)		497b	32	2010-03-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/2657.html	(S) ⲟⲩⲁⲧⲃⲉⲥ	(S) ⲟⲩⲁⲧⲃⲉⲥ	ⲟⲩⲁⲧⲃⲉⲥ	(S) ⲟⲩⲁⲧⲃⲉⲥ (ⲧ)	noun female		<i>meaning as last ?</i>	<i>meaning as last ?</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=497b	ⲟⲩⲁⲧⲃⲉⲥ (ⲧ)										1
5680	383	0	^^^ e-	0	greater than	greater than		218b	1	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5680.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ- (c)	ⲉ- (c)	-		greater than	greater than	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=218b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	0
5681	383	0	(S) ^^^ n-	0				218b	2	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5681.html	(S) <i><b>c</b></i> ⲛ-	(S) <i><b>c</b></i> ⲛ-	ⲛ- (c)	(S) ⲛ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=218b	ⲛ- (c)										0
5682	383	0	(B) ^^^ eHote e-	0				218b	3	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5682.html	(B) <i><b>c</b></i> ⲉϩⲟⲧⲉ ⲉ-	(B) <i><b>c</b></i> ⲉϩⲟⲧⲉ ⲉ-	ⲉϩⲟⲧⲉ ⲉ- (c)	(B) ⲉϩⲟⲧⲉ ⲉ- (c)	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=218b						ⲉϩⲟⲧⲉ ⲉ- (c)					0
5683	383	0	(B) ^^^ Ken-	0	greatest	greatest		218b	4	2010-06-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/5683.html	(B) <i><b>c</b></i> ϧⲉⲛ-	(B) <i><b>c</b></i> ϧⲉⲛ-	ϧⲉⲛ- (c)	(B) ϧⲉⲛ- (c)	-		greatest	greatest	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=218b						ϧⲉⲛ- (c)					0
