key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
409	737	0	(B) Hhppe	0	(alone = [eis Hhhte], before pron, vb)	(alone = [eis Hhhte], before pron, vb)		85b	4	2010-01-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/409.html	(B) ϩⲏⲡⲡⲉ	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϩⲏⲡⲡⲉ</span></span>"	ϩⲏⲡⲡⲉ	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϩⲏⲡⲡⲉ</span></span>"	-		<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	<i>alone = ⲉⲓⲥ ϩⲏⲏⲧⲉ , before pron, vb</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=85b						ϩⲏⲡⲡⲉ					0
410	737	0	(S) Hes,Hhs (F) Heis	0	(similar)	(similar)		86a	5	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/410.html	"(S) ϩⲉⲥ, ϩⲏⲥ
(F) ϩⲉⲓⲥ"	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϩⲉⲥ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ϩⲏⲥ</span></span>
<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲥ</span></span>"	ϩⲉⲥ, ϩⲏⲥ, ϩⲉⲓⲥ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ϩⲉⲥ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ϩⲏⲥ</span></span>
<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲥ</span></span>"	-		<i>similar</i>	<i>similar</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a	ϩⲉⲥ, ϩⲏⲥ						ϩⲉⲓⲥ				0
411	737	0	(F) Hei	0	(use as [eis])	(use as [eis])		86a	6	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/411.html	(F) ϩⲉⲓ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓ</span></span>"	ϩⲉⲓ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓ</span></span>"	-		<i>use as ⲉⲓⲥ</i>	<i>use as ⲉⲓⲥ</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a							ϩⲉⲓ				0
412	737	0	(F) Heit,Het,Ht	0	(as last)	(as last)		86a	7	2010-01-29	2010-01-29	vagrant	vagrant	https://pishoyg.github.io/crum/412.html	(F) ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲧ</span><span class=""spelling-comma"">, </span><span class=""spelling F"">ϩⲉⲧ</span><span class=""spelling-comma"">, </span><span class=""spelling F"">ϩⲧ</span></span>"	ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲧ</span><span class=""spelling-comma"">, </span><span class=""spelling F"">ϩⲉⲧ</span><span class=""spelling-comma"">, </span><span class=""spelling F"">ϩⲧ</span></span>"	-		<i>as last</i>	<i>as last</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a							ϩⲉⲓⲧ, ϩⲉⲧ, ϩⲧ				0
413	737	0	(F) Heites	0	(as last)	(as last)		86a	8	2010-01-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/413.html	(F) ϩⲉⲓⲧⲉⲥ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲧⲉⲥ</span></span>"	ϩⲉⲓⲧⲉⲥ	"<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ϩⲉⲓⲧⲉⲥ</span></span>"	-		<i>as last</i>	<i>as last</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=86a							ϩⲉⲓⲧⲉⲥ				0
1750	738	0	(S) kot ns.	0	mill-wheel	mill-wheel		328b	1	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1750.html	(S) ⲕⲟⲧ ⲛⲥ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲧ ⲛⲥ.</span></span>"	ⲕⲟⲧ ⲛⲥ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲧ ⲛⲥ.</span></span>"	-		mill-wheel	mill-wheel	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	ⲕⲟⲧ ⲛⲥ.										0
1751	738	0	(S) ma ns.	0	grinding place, mill	grinding place, mill		328b	2	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1751.html	(S) ⲙⲁ ⲛⲥ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲙⲁ ⲛⲥ.</span></span>"	ⲙⲁ ⲛⲥ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲙⲁ ⲛⲥ.</span></span>"	-		grinding place, mill	grinding place, mill	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	ⲙⲁ ⲛⲥ.										0
1752	738	0	(S,A,B) wne ns.,wni ns.	0	grinding stone /$gk: [[mulos]]$/	grinding stone /$gk: [[mulos]]$/	mulos	328b	3	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1752.html	(S, A, B) ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	"<span class=""word S A B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A B"">ⲱⲛⲉ ⲛⲥ.</span><span class=""spelling-comma"">, </span><span class=""spelling S A B"">ⲱⲛⲓ ⲛⲥ.</span></span>"	ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.	"<span class=""word S A B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A B"">ⲱⲛⲉ ⲛⲥ.</span><span class=""spelling-comma"">, </span><span class=""spelling S A B"">ⲱⲛⲓ ⲛⲥ.</span></span>"	-	μυλοσ	grinding stone [μυλοσ]	grinding stone	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.			ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.		ⲱⲛⲉ ⲛⲥ., ⲱⲛⲓ ⲛⲥ.					0
1753	738	0	(S) ^^	3	grinding	grinding		328b	4	2010-02-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/1753.html	(S) ―	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">―</span></span>"	―	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">―</span> <span class=""type S"">(noun)</span></span>"	noun		grinding	grinding	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=328b	― (noun)										0
768	740	0	(S) naSt m. (A) naQt m.	0	stiff-necked person /$gk: [[sklhrotraxhlos]]$/	stiff-necked person /$gk: [[sklhrotraxhlos]]$/	sklhrotraxhlos	163a	1	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/768.html	"(S) ⲛⲁϣⲧ ⲙ.
(A) ⲛⲁⳉⲧ ⲙ."	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲛⲁϣⲧ ⲙ.</span></span>
<span class=""word A""><span class=""dialect-parenthesis"">(</span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling A"">ⲛⲁⳉⲧ ⲙ.</span></span>"	ⲛⲁϣⲧ ⲙ., ⲛⲁⳉⲧ ⲙ.	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲛⲁϣⲧ ⲙ.</span></span>
<span class=""word A""><span class=""dialect-parenthesis"">(</span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling A"">ⲛⲁⳉⲧ ⲙ.</span></span>"	-	σκληροτραχηλοσ	stiff-necked person [σκληροτραχηλοσ]	stiff-necked person	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=163a	ⲛⲁϣⲧ ⲙ.			ⲛⲁⳉⲧ ⲙ.							0
