key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
7475	1998	7473	^^^ n-	0	(sim)	(sim)		598b	3	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7475.html	<i><b>c</b></i> ⲛ-	<i><b>c</b></i> ⲛ-	c ⲛ-	c ⲛ-	ⲛ- (c)	ⲛ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=598b	598	b	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	1
7476	1998	7473	^^^ Ha-,^^^ Ka-	0	(sim)	(sim)		598b	4	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7476.html	<i><b>c</b></i> ϩⲁ-, <i><b>c</b></i> ϧⲁ-	<i><b>c</b></i> ϩⲁ-, <i><b>c</b></i> ϧⲁ-	c ϩⲁ-, c ϧⲁ-	c ϩⲁ-, c ϧⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-, ϧⲁ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=598b	598	b	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	ϩⲁ-, ϧⲁ- (c)	ϩⲁ-	1
3139	1998	0	(B) metS.	0	accusation /$gk: [[diabolh]]$/	accusation /$gk: [[diabolh]]$/	diabolh	599a	5	2010-03-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/3139.html	(B) ⲙⲉⲧϣ.	(B) ⲙⲉⲧϣ.	(B) ⲙⲉⲧϣ.	(B) ⲙⲉⲧϣ.	ⲙⲉⲧϣ.	(B) ⲙⲉⲧϣ.	-	διαβολη	accusation [διαβολη]	accusation [διαβολη]	accusation	"accusation <span style=""opacity:0.7"">[διαβολη]</span>"	"accusation <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CE%B2%CE%BF%CE%BB%CE%B7"">διαβολη</a>]</span>"	accusation	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=599a	599	a											ⲙⲉⲧϣ.	ⲙⲉⲧϣ.									0
3140	1998	0	(S) reFT S.	0	accuser /$gk: [[diabolos]]$/	accuser /$gk: [[diabolos]]$/	diabolos	599a	6	2010-03-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/3140.html	(S) ⲣⲉϥϯ ϣ.	(S) ⲣⲉϥϯ ϣ.	(S) ⲣⲉϥϯ ϣ.	(S) ⲣⲉϥϯ ϣ.	ⲣⲉϥϯ ϣ.	(S) ⲣⲉϥϯ ϣ.	-	διαβολοσ	accuser [διαβολοσ]	accuser [διαβολοσ]	accuser	"accuser <span style=""opacity:0.7"">[διαβολοσ]</span>"	"accuser <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%B1%CE%B2%CE%BF%CE%BB%CE%BF%CF%83"">διαβολοσ</a>]</span>"	accuser	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=599a	599	a	ⲣⲉϥϯ ϣ.	ⲣⲉϥϯ ϣ.																			0
7485	1999	0		99	With preceding preposition:	With preceding preposition:		600b	1	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7485.html							HEADER		With preceding preposition:	With preceding preposition:	With preceding preposition:	With preceding preposition:	With preceding preposition:	With preceding preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=600b	600	b																					0
7486	1999	7485	(S) e^^	0				600b	2	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7486.html	(S) ⲉ―	(S) ⲉ―	(S) ⲉ―	(S) ⲉ―	ⲉ―	(S) ⲉ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=600b	600	b	ⲉ―	ⲉ―																			1
7487	1999	7485	n^^	0				600b	3	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7487.html	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=600b	600	b	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	ⲛ―	1
7488	1999	7485	na^^	0				600b	4	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7488.html	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=600b	600	b	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	ⲛⲁ―	1
7489	1999	7485	Sa^^	0				600b	5	2010-08-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/7489.html	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=600b	600	b	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	ϣⲁ―	1
3154	2010	0	(B) iri S.,er S.	0	make sacrifice	make sacrifice		603b	1	2010-03-16	1900-01-01	vagrant		https://pishoyg.github.io/crum/3154.html	(B) ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	(B) ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	(B) ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	(B) ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	(B) ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	-		make sacrifice	make sacrifice	make sacrifice	make sacrifice	make sacrifice	make sacrifice	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=603b	603	b											ⲓⲣⲓ ϣ., ⲉⲣ ϣ.	ⲓⲣⲓ ϣ.									0
