key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
8432	187	3901	(S) ^^^ Hn-	0				785a	26	2010-08-15	2010-08-15	vagrant	vagrant	https://pishoyg.github.io/crum/8432.html	(S) <i><b>c</b></i> ϩⲛ-	(S) <i><b>c</b></i> ϩⲛ-	(S) c ϩⲛ-	(S) c ϩⲛ-	ϩⲛ- (c)	(S) ϩⲛ- (c)	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=785a	785	a	ϩⲛ- (c)	ϩⲛ-																			2
8433	187	3901	metG.	0				785a	27	2010-08-15	2010-08-15	vagrant	vagrant	https://pishoyg.github.io/crum/8433.html	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=785a	785	a	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	ⲙⲉⲧϭ.	2
8434	187	3901	metreFG.	0				785a	28	2010-08-15	2010-08-15	vagrant	vagrant	https://pishoyg.github.io/crum/8434.html	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=785a	785	a	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	ⲙⲉⲧⲣⲉϥϭ.	2
3902	187	3898	mntJ.,metJ.	0	strength, prowess, feat /$gk: [[dunasteia, andreia]]$/	strength, prowess, feat /$gk: [[dunasteia, andreia]]$/	dunasteia, andreia	785a	29	2010-03-30	1900-01-01	vagrant		https://pishoyg.github.io/crum/3902.html	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	-	δυναστεια, ανδρεια	strength, prowess, feat [δυναστεια, ανδρεια]	strength, prowess, feat [δυναστεια, ανδρεια]	strength, prowess, feat	"strength, prowess, feat <span style=""opacity:0.7"">[δυναστεια, ανδρεια]</span>"	"strength, prowess, feat <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CF%85%CE%BD%CE%B1%CF%83%CF%84%CE%B5%CE%B9%CE%B1"">δυναστεια</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B4%CF%81%CE%B5%CE%B9%CE%B1"">ανδρεια</a>]</span>"	strength, prowess, feat	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=785a	785	a	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	ⲙⲛⲧϫ., ⲙⲉⲧϫ.	ⲙⲛⲧϫ.	1
3903	187	3898	(S) reFJoor	0	strong man	strong man		785a	30	2010-03-30	1900-01-01	vagrant		https://pishoyg.github.io/crum/3903.html	(S) ⲣⲉϥϫⲟⲟⲣ	(S) ⲣⲉϥϫⲟⲟⲣ	(S) ⲣⲉϥϫⲟⲟⲣ	(S) ⲣⲉϥϫⲟⲟⲣ	ⲣⲉϥϫⲟⲟⲣ	(S) ⲣⲉϥϫⲟⲟⲣ	-		strong man	strong man	strong man	strong man	strong man	strong man	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=785a	785	a	ⲣⲉϥϫⲟⲟⲣ	ⲣⲉϥϫⲟⲟⲣ																			1
3875	191	0	Ji J.,Ji nJ.	0	use violence, compulsion /$gk: [[biazesqai]]$/	use violence, compulsion /$gk: [[biazesqai]]$/	biazesqai	777b	1	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3875.html	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	-	βιαζεσθαι	use violence, compulsion [βιαζεσθαι]	use violence, compulsion [βιαζεσθαι]	use violence, compulsion	"use violence, compulsion <span style=""opacity:0.7"">[βιαζεσθαι]</span>"	"use violence, compulsion <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B2%CE%B9%CE%B1%CE%B6%CE%B5%CF%83%CE%B8%CE%B1%CE%B9"">βιαζεσθαι</a>]</span>"	use violence, compulsion	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=777b	777	b	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	ϫⲓ ϫ., ϫⲓ ⲛϫ.	ϫⲓ ϫ.	0
3876	191	0	(S) mourJnaH (B) marG.,morSnaH,morGnauH	4	what is bound on shoulders, scapular (of monks) /$gk: [[analabos]]$/	what is bound on shoulders, scapular (of monks) /$gk: [[analabos]]$/	analabos	777b	2	2010-03-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/3876.html	"(S) ⲙⲟⲩⲣϫⲛⲁϩ
(B) ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ"	"(S) ⲙⲟⲩⲣϫⲛⲁϩ
(B) ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ"	"(S) ⲙⲟⲩⲣϫⲛⲁϩ
(B) ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ"	"(S) ⲙⲟⲩⲣϫⲛⲁϩ
(B) ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ"	ⲙⲟⲩⲣϫⲛⲁϩ, ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ	"(S) ⲙⲟⲩⲣϫⲛⲁϩ (ⲧ)
(B) ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ (ⲧ)"	noun female	αναλαβοσ	what is bound on shoulders, scapular <i>of monks</i> [αναλαβοσ]	what is bound on shoulders, scapular of monks [αναλαβοσ]	what is bound on shoulders, scapular <i>of monks</i>	"what is bound on shoulders, scapular <i>of monks</i> <span style=""opacity:0.7"">[αναλαβοσ]</span>"	"what is bound on shoulders, scapular <i>of monks</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%B1%CE%BB%CE%B1%CE%B2%CE%BF%CF%83"">αναλαβοσ</a>]</span>"	what is bound on shoulders, scapular of monks	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=777b	777	b	ⲙⲟⲩⲣϫⲛⲁϩ (ⲧ)	ⲙⲟⲩⲣϫⲛⲁϩ									ⲙⲁⲣϭ., ⲙⲟⲣϣⲛⲁϩ, ⲙⲟⲣϭⲛⲁⲩϩ (ⲧ)	ⲙⲁⲣϭ.									0
4581	192	0		99	With following preposition:	With following preposition:		264a	1	2010-04-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/4581.html							HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=264a	264	a																					0
4582	192	4581	(S) ^^ e-	0	{intr:} be changed to, turn toward /$gk: [[metaballein]]$/ | (as nn) /$gk: [[metoikia]]$/ | {tr:} (S,sA), turn to, transfer	{intr:} be changed to, turn toward /$gk: [[metaballein]]$/ | (as nn) /$gk: [[metoikia]]$/ | {tr:} (S,sA), turn to, transfer	metaballein, metoikia	264a	2	2010-04-08	1900-01-01	vagrant		https://pishoyg.github.io/crum/4582.html	(S) ― ⲉ-	(S) ― ⲉ-	(S) ― ⲉ-	(S) ― ⲉ-	― ⲉ-	(S) ― ⲉ-	-	μεταβαλλειν, μετοικια	"<b>intr:</b> be changed to, turn toward [μεταβαλλειν]
<i>as nn</i> [μετοικια]
<b>tr:</b> <i>S,sA</i>, turn to, transfer"	"intr: be changed to, turn toward [μεταβαλλειν]
as nn [μετοικια]
tr: S,sA, turn to, transfer"	"<b>intr:</b> be changed to, turn toward 
<i>as nn</i> 
<b>tr:</b> <i>S,sA</i>, turn to, transfer"	"<b>intr:</b> be changed to, turn toward <span style=""opacity:0.7"">[μεταβαλλειν]</span>
<i>as nn</i> <span style=""opacity:0.7"">[μετοικια]</span>
<b>tr:</b> <i>S,sA</i>, turn to, transfer"	"<b>intr:</b> be changed to, turn toward <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CE%B5%CF%84%CE%B1%CE%B2%CE%B1%CE%BB%CE%BB%CE%B5%CE%B9%CE%BD"">μεταβαλλειν</a>]</span>
<i>as nn</i> <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CE%B5%CF%84%CE%BF%CE%B9%CE%BA%CE%B9%CE%B1"">μετοικια</a>]</span>
<b>tr:</b> <i>S,sA</i>, turn to, transfer"	"intr: be changed to, turn toward 
as nn 
tr: S,sA, turn to, transfer"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=264a	264	a	― ⲉ-	― ⲉ-																			1
5813	192	4581		99	― [e-] intr :	― [e-] intr :		264a	3	2010-06-24	2013-05-05	vagrant	vagrant	https://pishoyg.github.io/crum/5813.html							HEADER		― ⲉ- intr :	― ⲉ- intr :	― ⲉ- intr :	― ⲉ- intr :	― ⲉ- intr :	― ⲉ- intr :	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=264a	264	a																					1
