key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
1516	1094	0	(S) paGse,patse (sA) peGse	4	spittle /$gk: [[ptuelos, emptusma]]$/	spittle /$gk: [[ptuelos, emptusma]]$/	ptuelos, emptusma	286b	1	2010-02-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/1516.html	"(S) ⲡⲁϭⲥⲉ, ⲡⲁⲧⲥⲉ
(sA) ⲡⲉϭⲥⲉ"	"(S) ⲡⲁϭⲥⲉ, ⲡⲁⲧⲥⲉ
(sA) ⲡⲉϭⲥⲉ"	ⲡⲁϭⲥⲉ, ⲡⲁⲧⲥⲉ, ⲡⲉϭⲥⲉ	"(S) ⲡⲁϭⲥⲉ, ⲡⲁⲧⲥⲉ (ⲧ)
(sA) ⲡⲉϭⲥⲉ (ⲧ)"	noun female	πτυελοσ, εμπτυσμα	spittle [πτυελοσ, εμπτυσμα]	spittle	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=286b	ⲡⲁϭⲥⲉ, ⲡⲁⲧⲥⲉ (ⲧ)				ⲡⲉϭⲥⲉ (ⲧ)						0
871	1099	0	(S) atm.	0	beardless	beardless		183b	1	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/871.html	(S) ⲁⲧⲙ.	(S) ⲁⲧⲙ.	ⲁⲧⲙ.	(S) ⲁⲧⲙ.	-		beardless	beardless	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b	ⲁⲧⲙ.										0
872	1099	0	(S) Ham.	0	(underpart ? of beard)	(underpart ? of beard)		183b	2	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/872.html	(S) ϩⲁⲙ.	(S) ϩⲁⲙ.	ϩⲁⲙ.	(S) ϩⲁⲙ.	-		<i>underpart ? of beard</i>	<i>underpart ? of beard</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b	ϩⲁⲙ.										0
873	1099	0	(S,B) r m.,er m.	0	grow beard, be bearded	grow beard, be bearded		183b	3	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/873.html	(S, B) ⲣ ⲙ., ⲉⲣ ⲙ.	(S, B) ⲣ ⲙ., ⲉⲣ ⲙ.	ⲣ ⲙ., ⲉⲣ ⲙ.	(S, B) ⲣ ⲙ., ⲉⲣ ⲙ.	-		grow beard, be bearded	grow beard, be bearded	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b	ⲣ ⲙ., ⲉⲣ ⲙ.					ⲣ ⲙ., ⲉⲣ ⲙ.					0
874	1099	0	(B) Sep m.	0	shave beard (as disgrace)	shave beard (as disgrace)		183b	4	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/874.html	(B) ϣⲉⲡ ⲙ.	(B) ϣⲉⲡ ⲙ.	ϣⲉⲡ ⲙ.	(B) ϣⲉⲡ ⲙ.	-		shave beard <i>as disgrace</i>	shave beard <i>as disgrace</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b						ϣⲉⲡ ⲙ.					0
875	1099	0	(B) mortios	0	well bearded	well bearded		183b	5	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/875.html	(B) ⲙⲟⲣⲧⲓⲟⲥ	(B) ⲙⲟⲣⲧⲓⲟⲥ	ⲙⲟⲣⲧⲓⲟⲥ	(B) ⲙⲟⲣⲧⲓⲟⲥ	-		well bearded	well bearded	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b						ⲙⲟⲣⲧⲓⲟⲥ					0
876	1100	0	(S,B,F) mhrS (S,F) merS (S,A) mrS	6	red, ruddy	red, ruddy		183b	1	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/876.html	"(S, B, F) ⲙⲏⲣϣ
(S, F) ⲙⲉⲣϣ
(S, A) ⲙⲣϣ"	"(S, B, F) ⲙⲏⲣϣ
(S, F) ⲙⲉⲣϣ
(S, A) ⲙⲣϣ"	ⲙⲏⲣϣ, ⲙⲉⲣϣ, ⲙⲣϣ	"(S, B, F) ⲙⲏⲣϣ (adj.)
(S, F) ⲙⲉⲣϣ (adj.)
(S, A) ⲙⲣϣ (adj.)"	adjective		red, ruddy	red, ruddy	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b	"ⲙⲏⲣϣ (adj.)
ⲙⲉⲣϣ (adj.)
ⲙⲣϣ (adj.)"			ⲙⲣϣ (adj.)		ⲙⲏⲣϣ (adj.)	"ⲙⲏⲣϣ (adj.)
ⲙⲉⲣϣ (adj.)"				0
877	1100	876	(S,B,F) rm.,erm.	0	be ruddy	be ruddy		183b	2	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/877.html	(S, B, F) ⲣⲙ., ⲉⲣⲙ.	(S, B, F) ⲣⲙ., ⲉⲣⲙ.	ⲣⲙ., ⲉⲣⲙ.	(S, B, F) ⲣⲙ., ⲉⲣⲙ.	-		be ruddy	be ruddy	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=183b	ⲣⲙ., ⲉⲣⲙ.					ⲣⲙ., ⲉⲣⲙ.	ⲣⲙ., ⲉⲣⲙ.				1
878	1105	0	(S) Ss nm. (B) Se nm.	0	blow with spear	blow with spear		184a	1	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/878.html	"(S) ϣⲥ ⲛⲙ.
(B) ϣⲉ ⲛⲙ."	"(S) ϣⲥ ⲛⲙ.
(B) ϣⲉ ⲛⲙ."	ϣⲥ ⲛⲙ., ϣⲉ ⲛⲙ.	"(S) ϣⲥ ⲛⲙ.
(B) ϣⲉ ⲛⲙ."	-		blow with spear	blow with spear	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=184a	ϣⲥ ⲛⲙ.					ϣⲉ ⲛⲙ.					0
879	1105	0	(S) Faim.	0	spear-bearer /$gk: [[doruforos]]$/	spear-bearer /$gk: [[doruforos]]$/	doruforos	184a	2	2010-02-03	1900-01-01	vagrant		https://pishoyg.github.io/crum/879.html	(S) ϥⲁⲓⲙ.	(S) ϥⲁⲓⲙ.	ϥⲁⲓⲙ.	(S) ϥⲁⲓⲙ.	-	δορυφοροσ	spear-bearer [δορυφοροσ]	spear-bearer	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=184a	ϥⲁⲓⲙ.										0
