key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
8670	2644	8662	^^^ HiJen-	0				836b	9	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8670.html	<i><b>c</b></i> ϩⲓϫⲉⲛ-	<i><b>c</b></i> ϩⲓϫⲉⲛ-	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	ϩⲓϫⲉⲛ- (c)	1
8671	2644	0		99	With following adverb:	With following adverb:		836b	10	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8671.html					HEADER		With following adverb:	With following adverb:	With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b											0
8672	2644	8671	^^^ ebol	0	 | (as nn m)	 | (as nn m)		836b	11	2010-08-15	2010-08-15	vagrant	vagrant	https://pishoyg.github.io/crum/8672.html	<i><b>c</b></i> ⲉⲃⲟⲗ	<i><b>c</b></i> ⲉⲃⲟⲗ	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	-		| <i>as nn m</i>	| <i>as nn m</i>	| <i>as nn m</i>	| <i>as nn m</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=836b	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	ⲉⲃⲟⲗ (c)	1
8673	2644	8671	^^^ epesht	0				837a	12	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8673.html	<i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ	<i><b>c</b></i> ⲉⲡⲉⲥⲏⲧ	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	ⲉⲡⲉⲥⲏⲧ (c)	1
4083	2644	0	^^	0	pouring, confusion	pouring, confusion		837a	13	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4083.html	―	―	―	―	-		pouring, confusion	pouring, confusion	pouring, confusion	pouring, confusion	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	―	―	―	―	―	―	―	―	―	―	0
4084	2644	0	atJ.	0	unmixed	unmixed		837a	14	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4084.html	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	-		unmixed	unmixed	unmixed	unmixed	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	ⲁⲧϫ.	0
8680	2652	0		99	With following preposition:	With following preposition:		840b	1	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8680.html					HEADER		With following preposition:	With following preposition:	With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b											0
8681	2652	8680	^^^ e-	0				840b	2	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8681.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	ⲉ- (c)	ⲉ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	ⲉ- (c)	1
8682	2652	8680	^^^ ebol e-	0				840b	3	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8682.html	<i><b>c</b></i> ⲉⲃⲟⲗ ⲉ-	<i><b>c</b></i> ⲉⲃⲟⲗ ⲉ-	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	ⲉⲃⲟⲗ ⲉ- (c)	1
8683	2652	8680	^^^ eKoun e-	0				840b	4	2010-08-15	1900-01-01	vagrant		https://pishoyg.github.io/crum/8683.html	<i><b>c</b></i> ⲉϧⲟⲩⲛ ⲉ-	<i><b>c</b></i> ⲉϧⲟⲩⲛ ⲉ-	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	-						https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=840b	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	ⲉϧⲟⲩⲛ ⲉ- (c)	1
