key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4792	40	4788	(S,B,F) ^^ eJn-	0	upon | concerning	upon | concerning		382a	5	2010-04-10	1900-01-01	vagrant		(S, B, F) ― ⲉϫⲛ-	"<span class=""word S B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B F"">― ⲉϫⲛ-</span></span>"	― ⲉϫⲛ-	"<span class=""word S B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B F"">― ⲉϫⲛ-</span></span>"	-		"upon
concerning"	"upon
concerning"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382a	― ⲉϫⲛ-					― ⲉϫⲛ-	― ⲉϫⲛ-				1
4793	40	4788	(S,A,sA,B,F) ^^ n-	0	to | with, by means of	to | with, by means of		382a	6	2010-04-10	1900-01-01	vagrant		(S, A, sA, B, F) ― ⲛ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">― ⲛ-</span></span>"	― ⲛ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">― ⲛ-</span></span>"	-		"to
with, by means of"	"to
with, by means of"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382a	― ⲛ-			― ⲛ-	― ⲛ-	― ⲛ-	― ⲛ-				1
6448	40	4788	(S,A,sA,B,F) ^^^ ebol n-	0	from  out	from  out		382b	7	2010-07-21	2010-07-21	vagrant	vagrant	(S, A, sA, B, F) <i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F""><i><b>c</b></i> ⲉⲃⲟⲗ ⲛ-</span></span>"	ⲉⲃⲟⲗ ⲛ-	"<span class=""word S A sA B F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect A"">A</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S A sA B F"">ⲉⲃⲟⲗ ⲛ-</span> <span class=""type S A sA B F"">(c)</span></span>"	-		from out	from out	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	ⲉⲃⲟⲗ ⲛ- (c)			ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)	ⲉⲃⲟⲗ ⲛ- (c)				1
4794	40	4788	(S,sA,B) ^^ nsa- (A) ^^ se-	0	ascribe to, inscribe, write down	ascribe to, inscribe, write down		382b	8	2010-04-10	1900-01-01	vagrant		"(S, sA, B) ― ⲛⲥⲁ-
(A) ― ⲥⲉ-"	"<span class=""word S sA B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA B"">― ⲛⲥⲁ-</span></span>
<span class=""word A""><span class=""dialect-parenthesis"">(</span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling A"">― ⲥⲉ-</span></span>"	― ⲛⲥⲁ-, ― ⲥⲉ-	"<span class=""word S sA B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA B"">― ⲛⲥⲁ-</span></span>
<span class=""word A""><span class=""dialect-parenthesis"">(</span><span class=""dialect A"">A</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling A"">― ⲥⲉ-</span></span>"	-		ascribe to, inscribe, write down	ascribe to, inscribe, write down	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	― ⲛⲥⲁ-			― ⲥⲉ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-					1
4795	40	4788	(S,B) ^^ Sa-	0	to	to		382b	9	2010-04-10	1900-01-01	vagrant		(S, B) ― ϣⲁ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϣⲁ-</span></span>"	― ϣⲁ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϣⲁ-</span></span>"	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	― ϣⲁ-					― ϣⲁ-					1
4796	40	4788	(B) ^^ Ka-	0	write about, report upon	write about, report upon		382b	10	2010-04-10	1900-01-01	vagrant		(B) ― ϧⲁ-	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">― ϧⲁ-</span></span>"	― ϧⲁ-	"<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">― ϧⲁ-</span></span>"	-		write about, report upon	write about, report upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b						― ϧⲁ-					1
4797	40	4788	(S) ^^ Ha-	0	for, subscribe to	for, subscribe to		382b	11	2010-04-10	1900-01-01	vagrant		(S) ― ϩⲁ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁ-</span></span>"	― ϩⲁ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁ-</span></span>"	-		for, subscribe to	for, subscribe to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	― ϩⲁ-										1
4798	40	4788	(S,B) ^^ Hi-	0	on, upon	on, upon		382b	12	2010-04-10	1900-01-01	vagrant		(S, B) ― ϩⲓ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲓ-</span></span>"	― ϩⲓ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲓ-</span></span>"	-		on, upon	on, upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	― ϩⲓ-					― ϩⲓ-					1
4799	40	4788	(S,B) ^^ Hn-,^^ Ken-	0	in | with (/*agent*/)	in | with (/*agent*/)		382b	13	2010-04-10	1900-01-01	vagrant		(S, B) ― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲛ-</span><span class=""spelling-comma"">, </span><span class=""spelling S B"">― ϧⲉⲛ-</span></span>"	― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">― ϩⲛ-</span><span class=""spelling-comma"">, </span><span class=""spelling S B"">― ϧⲉⲛ-</span></span>"	-		"in
with <i>(agent)</i>"	"in
with <i>(agent)</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=382b	― ϩⲛ-, ― ϧⲉⲛ-					― ϩⲛ-, ― ϧⲉⲛ-					1
4800	40	4788	(S) ^^ Harat= n-	0	under /*orders of*/	under /*orders of*/		383a	14	2010-04-10	1900-01-01	vagrant		(S) ― ϩⲁⲣⲁⲧ= ⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁⲣⲁⲧ= ⲛ-</span></span>"	― ϩⲁⲣⲁⲧ= ⲛ-	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">― ϩⲁⲣⲁⲧ= ⲛ-</span></span>"	-		under (orders of)	under (orders of)	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=383a	― ϩⲁⲣⲁⲧ= ⲛ-										1
