key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
822	(S,sA,F) Jp- (S,F) Jep- (S,B) aJp- (B) * $$ aJpi	22	hour, (mostly with following numeral) /$gk: [[wra]]$/	hour, (mostly with following numeral) /$gk: [[wra]]$/	wra	777b	8	0	2009-09-14	2010-08-15	vagrant	vagrant	https://metremnqymi.com/crum/822.html	"(S, sA, F) ϫⲡ-
(S, F) ϫⲉⲡ-
(S, B) ⲁϫⲡ-
(B) <i>plural: </i> <i>(?)</i> ⲁϫⲡⲓ"	"<span class=""word S sA F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA F"">ϫⲡ-</span></span>
<span class=""word S F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S F"">ϫⲉⲡ-</span></span>
<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">ⲁϫⲡ-</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B""><i>plural: </i> <i>(?)</i> ⲁϫⲡⲓ</span></span>"	ϫⲡ-, ϫⲉⲡ-, ⲁϫⲡ-, ⲁϫⲡⲓ	"<span class=""word S sA F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect sA"">sA</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S sA F"">ϫⲡ-</span> <span class=""type S sA F"">(ⲡ/ⲧ)</span></span>
<span class=""word S F""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S F"">ϫⲉⲡ-</span> <span class=""type S F"">(ⲡ/ⲧ)</span></span>
<span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">ⲁϫⲡ-</span> <span class=""type S B"">(ⲡ/ⲧ)</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲁϫⲡⲓ</span> <span class=""type B"">(?) (ⲛ)</span></span>"	complete++	noun male/female	ωρα	hour, <i>mostly with following numeral</i> [ωρα]	hour, <i>mostly with following numeral</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=777b	"ϫⲡ- (ⲡ/ⲧ)
ϫⲉⲡ- (ⲡ/ⲧ)
ⲁϫⲡ- (ⲡ/ⲧ)"				ϫⲡ- (ⲡ/ⲧ)	"ⲁϫⲡ- (ⲡ/ⲧ)
ⲁϫⲡⲓ (?) (ⲛ)"	"ϫⲡ- (ⲡ/ⲧ)
ϫⲉⲡ- (ⲡ/ⲧ)"				823	821	777,778	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr id=""drv8376"" class=""drv"">   <td colspan=""9"" class=""bordered"">With preceding preposition:<span hidden="""" class=""drv-key right"">8376</span></td> <td rowspan=""6"" class=""bordered""><b>Crum: </b><span class=""crum-page"">778a</span></td> </tr> <tr id=""drv8377"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ⲛ―</span></span><span hidden="""" class=""drv-key right"">8377</span></td> <td colspan=""4"" class=""bordered"">at<span hidden="""" class=""drv-key right"">8377</span></td>  </tr> <tr id=""drv8378"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϣⲁ―</span></span><span hidden="""" class=""drv-key right"">8378</span></td> <td colspan=""4"" class=""bordered"">till<span hidden="""" class=""drv-key right"">8378</span></td>  </tr> <tr id=""drv8379"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϧⲉⲛ―</span></span><span hidden="""" class=""drv-key right"">8379</span></td> <td colspan=""4"" class=""bordered"">in, at<span hidden="""" class=""drv-key right"">8379</span></td>  </tr> <tr id=""drv8380"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϫⲓⲛ―</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲓⲥϫⲉⲛ―</span></span><span hidden="""" class=""drv-key right"">8380</span></td> <td colspan=""4"" class=""bordered"">from<span hidden="""" class=""drv-key right"">8380</span></td>  </tr> <tr id=""drv3877"" class=""drv"">  <td colspan=""5"" class=""bordered""><span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">ⲙⲡⲛⲁⲩ ⲛ-</span></span><span hidden="""" class=""drv-key right"">3877</span></td> <td colspan=""4"" class=""bordered"">at time of, about the ... hour<span hidden="""" class=""drv-key right"">3877</span></td>  </tr> </table>"	"<ul> <li> With preceding preposition: </li> <li> <ul> <li> <span class=""word""><span class=""spelling"">ⲛ―</span></span><br/>at </li> <li> <span class=""word""><span class=""spelling"">ϣⲁ―</span></span><br/>till </li> <li> <span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϧⲉⲛ―</span></span><br/>in, at </li> <li> <span class=""word""><span class=""spelling"">ϫⲓⲛ―</span><span class=""spelling-comma"">, </span><span class=""spelling"">ⲓⲥϫⲉⲛ―</span></span><br/>from </li> </ul> </li> <li> <span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">ⲙⲡⲛⲁⲩ ⲛ-</span></span><br/>at time of, about the ... hour </li> </ul>"
823	(S) knaau	1	(meaning unknown)	(meaning unknown)		113a	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/823.html	(S) ⲕⲛⲁⲁⲩ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛⲁⲁⲩ</span></span>"	ⲕⲛⲁⲁⲩ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛⲁⲁⲩ</span> <span class=""type S"">(ⲡ)</span></span>"	complete	noun male		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲛⲁⲁⲩ (ⲡ)										824	822	113		
824	(S) konF	1	(a title or epiphet)	(a title or epiphet)		113a	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/824.html	(S) ⲕⲟⲛϥ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲛϥ</span></span>"	ⲕⲟⲛϥ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲛϥ</span> <span class=""type S"">(ⲡ)</span></span>"	complete	noun male		<i>a title or epiphet</i>	<i>a title or epiphet</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲟⲛϥ (ⲡ)										825	823	113		
825	(S) knHe (B) keHni	4	porch, shrine ? | side, angle ?	porch, shrine ? | side, angle ?		113a	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/825.html	"(S) ⲕⲛϩⲉ
(B) ⲕⲉϩⲛⲓ"	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛϩⲉ</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲕⲉϩⲛⲓ</span></span>"	ⲕⲛϩⲉ, ⲕⲉϩⲛⲓ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛϩⲉ</span> <span class=""type S"">(ⲧ)</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲕⲉϩⲛⲓ</span> <span class=""type B"">(ⲧ)</span></span>"	complete	noun female		"porch, shrine ?
side, angle ?"	"porch, shrine ?
side, angle ?"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲛϩⲉ (ⲧ)					ⲕⲉϩⲛⲓ (ⲧ)					826	824	113		
826	(S) knHhr,kinHhr,ginHhr,ginHhl	3	(a plant)	(a plant)		113a	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/826.html	(S) ⲕⲛϩⲏⲣ, ⲕⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲗ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲓⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲅⲓⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲅⲓⲛϩⲏⲗ</span></span>"	ⲕⲛϩⲏⲣ, ⲕⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲗ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲓⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲅⲓⲛϩⲏⲣ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲅⲓⲛϩⲏⲗ</span> <span class=""type S"">(noun)</span></span>"	complete	noun		<i>a plant</i>	<i>a plant</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲛϩⲏⲣ, ⲕⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲣ, ⲅⲓⲛϩⲏⲗ (noun)										827	825	113		
827	(S) kounJou,konJou,kouJou$	4	(a vessel)	(a vessel)		113a	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/827.html	(S) ⲕⲟⲩⲛϫⲟⲩ, ⲕⲟⲛϫⲟⲩ, ⲕⲟⲩϫⲟⲩ<i> &c</i>	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲩⲛϫⲟⲩ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲟⲛϫⲟⲩ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲟⲩϫⲟⲩ<i> &c</i></span></span>"	ⲕⲟⲩⲛϫⲟⲩ, ⲕⲟⲛϫⲟⲩ, ⲕⲟⲩϫⲟⲩ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲟⲩⲛϫⲟⲩ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲟⲛϫⲟⲩ</span><span class=""spelling-comma"">, </span><span class=""spelling S"">ⲕⲟⲩϫⲟⲩ</span> <span class=""type S"">(&c)</span></span>"	complete	noun female		<i>a vessel</i>	<i>a vessel</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113a	ⲕⲟⲩⲛϫⲟⲩ, ⲕⲟⲛϫⲟⲩ, ⲕⲟⲩϫⲟⲩ (&c)										829	826	113		
829	(S) kap	1	(receptacle or measure) |$ (for corn) |$ (for honey)	(receptacle or measure) |$ (for corn) |$ (for honey)		113b	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/829.html	(S) ⲕⲁⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲁⲡ</span></span>"	ⲕⲁⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲁⲡ</span> <span class=""type S"">(ⲡ)</span></span>"	complete	noun male		"<i>receptacle or measure</i>
― <i>for corn</i>
― <i>for honey</i>"	"<i>receptacle or measure</i>
― <i>for corn</i>
― <i>for honey</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113b	ⲕⲁⲡ (ⲡ)										830	827	113		
830	(S) kap	4	(a cutting tool)	(a cutting tool)		113b	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/830.html	(S) ⲕⲁⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲁⲡ</span></span>"	ⲕⲁⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲁⲡ</span> <span class=""type S"">(ⲧ)</span></span>"	complete	noun female		<i>a cutting tool</i>	<i>a cutting tool</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113b	ⲕⲁⲡ (ⲧ)										831	829	113		
831	(S) kip	1	(a measure, less than [soeiS])	(a measure, less than [soeiS])		113b	6	0	2009-09-14	2010-01-31	vagrant	vagrant	https://metremnqymi.com/crum/831.html	(S) ⲕⲓⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲓⲡ</span></span>"	ⲕⲓⲡ	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲓⲡ</span> <span class=""type S"">(ⲡ)</span></span>"	complete	noun male		<i>a measure, less than ⲥⲟⲉⲓϣ</i>	<i>a measure, less than ⲥⲟⲉⲓϣ</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113b	ⲕⲓⲡ (ⲡ)										832	830	113		
832	(S) kwp (B) xwp,xep-,xop= (F) kap= (S) khp+ (B) xhp+	2	{intr:} hide, be hidden /$gk: [[kruptein, upostellein]]$/ | {tr:} hide | {qual:} /$gk: [[kruptesqai]]$/	{intr:} hide, be hidden /$gk: [[kruptein, upostellein]]$/ | {tr:} hide | {qual:} /$gk: [[kruptesqai]]$/	kruptein, upostellein, kruptesqai	113b	8	0	2009-09-14	2010-06-03	vagrant	vagrant	https://metremnqymi.com/crum/832.html	"(S) ⲕⲱⲡ
(B) ⲭⲱⲡ, ⲭⲉⲡ-, ⲭⲟⲡ=
(F) ⲕⲁⲡ=
(S) ⲕⲏⲡ+
(B) ⲭⲏⲡ+"	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲱⲡ</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲭⲱⲡ</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲭⲉⲡ-</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲭⲟⲡ=</span></span>
<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ⲕⲁⲡ=</span></span>
<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲏⲡ+</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲭⲏⲡ+</span></span>"	ⲕⲱⲡ, ⲭⲱⲡ, ⲭⲉⲡ-, ⲭⲟⲡ=, ⲕⲁⲡ=, ⲕⲏⲡ+, ⲭⲏⲡ+	"<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲱⲡ</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲭⲱⲡ</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲭⲉⲡ-</span><span class=""spelling-comma"">, </span><span class=""spelling B"">ⲭⲟⲡ=</span></span>
<span class=""word F""><span class=""dialect-parenthesis"">(</span><span class=""dialect F"">F</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling F"">ⲕⲁⲡ=</span></span>
<span class=""word S""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S"">ⲕⲏⲡ+</span></span>
<span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲭⲏⲡ+</span></span>"	complete++	verb	κρυπτειν, υποστελλειν, κρυπτεσθαι	"<b>intr:</b> hide, be hidden [κρυπτειν, υποστελλειν]
<b>tr:</b> hide
<b>qual:</b> [κρυπτεσθαι]"	"<b>intr:</b> hide, be hidden 
<b>tr:</b> hide
<b>qual:</b>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=113b	"ⲕⲱⲡ
ⲕⲏⲡ+"					"ⲭⲱⲡ, ⲭⲉⲡ-, ⲭⲟⲡ=
ⲭⲏⲡ+"	ⲕⲁⲡ=				833	831	113,114	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr id=""drv5540"" class=""drv"">   <td colspan=""9"" class=""bordered"">tr :<span hidden="""" class=""drv-key right"">5540</span></td> <td rowspan=""4"" class=""bordered""><b>Crum: </b><span class=""crum-page"">113b</span></td> </tr> <tr id=""drv5541"" class=""drv""> <td colspan=""1""></td>  <td colspan=""8"" class=""bordered"">with 2d prep<span hidden="""" class=""drv-key right"">5541</span></td>  </tr> <tr id=""drv5542"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ⲉ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5542</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5542</span></td>  </tr> <tr id=""drv5543"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ ϩⲁ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5543</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5543</span></td>  </tr> <tr id=""drv5544"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϧⲁ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5544</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5544</span></td> <td rowspan=""10"" class=""bordered""><b>Crum: </b><span class=""crum-page"">114a</span></td> </tr> <tr id=""drv5545"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϧⲉⲛ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5545</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5545</span></td>  </tr> <tr id=""drv5546"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϧⲁⲣⲁⲧ=</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5546</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5546</span></td>  </tr> <tr id=""drv5547"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϧⲁⲧⲉⲛ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5547</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5547</span></td>  </tr> <tr id=""drv5548"" class=""drv""> <td colspan=""2""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϧⲁϫⲉⲛ-</span> <span class=""type"">(c)</span></span><span hidden="""" class=""drv-key right"">5548</span></td> <td colspan=""3"" class=""bordered""><span hidden="""" class=""drv-key right"">5548</span></td>  </tr> <tr id=""drv524"" class=""drv"">  <td colspan=""5"" class=""bordered""><span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">―</span> <span class=""type S B"">(ⲡ)</span></span><span hidden="""" class=""drv-key right"">524</span></td> <td colspan=""4"" class=""bordered""><b>(noun male)</b><br/>hiding, concealment<span hidden="""" class=""drv-key right"">524</span></td>  </tr> <tr id=""drv525"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word""><span class=""spelling"">ϫⲓ ⲕ.</span></span><span hidden="""" class=""drv-key right"">525</span></td> <td colspan=""4"" class=""bordered"">take hiding, <i>steal away</i><span hidden="""" class=""drv-key right"">525</span></td>  </tr> <tr id=""drv526"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲙⲁ ⲛⲭ.</span></span><span hidden="""" class=""drv-key right"">526</span></td> <td colspan=""4"" class=""bordered"">hiding place<span hidden="""" class=""drv-key right"">526</span></td>  </tr> <tr id=""drv527"" class=""drv""> <td colspan=""1""></td> <td colspan=""4"" class=""bordered""><span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϧⲉⲛⲟⲩⲭ.</span></span><span hidden="""" class=""drv-key right"">527</span></td> <td colspan=""4"" class=""bordered"">secretly [εν κρυπτω]<span hidden="""" class=""drv-key right"">527</span></td>  </tr> <tr id=""drv528"" class=""drv"">  <td colspan=""5"" class=""bordered""><span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲛⲭ.</span> <span class=""type B"">(adv.)</span></span><span hidden="""" class=""drv-key right"">528</span></td> <td colspan=""4"" class=""bordered""><b>(adverb)</b><br/>secretly<span hidden="""" class=""drv-key right"">528</span></td>  </tr> </table>"	"<ul> <li> tr : </li> <li> <ul> <li> with 2d prep </li> <li> <ul> <li> <span class=""word""><span class=""spelling"">ⲉ-</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ⲉⲃⲟⲗ ϩⲁ-</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ϧⲁ-</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ϧⲉⲛ-</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ϧⲁⲣⲁⲧ=</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ϧⲁⲧⲉⲛ-</span> <span class=""type"">(c)</span></span> </li> <li> <span class=""word""><span class=""spelling"">ϧⲁϫⲉⲛ-</span> <span class=""type"">(c)</span></span> </li> </ul> </li> </ul> </li> <li> <span class=""word S B""><span class=""dialect-parenthesis"">(</span><span class=""dialect S"">S</span><span class=""dialect-comma"">, </span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling S B"">―</span> <span class=""type S B"">(ⲡ)</span></span><br/>(noun male) hiding, concealment </li> <li> <ul> <li> <span class=""word""><span class=""spelling"">ϫⲓ ⲕ.</span></span><br/>take hiding, <i>steal away</i> </li> <li> <span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲙⲁ ⲛⲭ.</span></span><br/>hiding place </li> <li> <span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ϧⲉⲛⲟⲩⲭ.</span></span><br/>secretly <span style=""opacity:0.7"">[εν κρυπτω]</span> </li> </ul> </li> <li> <span class=""word B""><span class=""dialect-parenthesis"">(</span><span class=""dialect B"">B</span><span class=""dialect-parenthesis"">)</span> <span class=""spelling B"">ⲛⲭ.</span> <span class=""type B"">(adv.)</span></span><br/>(adverb) secretly </li> </ul>"
