book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Gospel of St. John	20	20	23	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲛⲏ ⲉⲧⲉⲧⲉⲛⲛⲁⲭⲁ ⲛⲟⲩⲛⲟⲃⲓ ⲛⲱⲟⲩ ⲉ̀ⲃⲟⲗ ⲥⲉⲭⲏ ⲛⲱⲟⲩ ⲉ̀ⲃⲟⲗ ⲟⲩⲟϩ ⲛⲏ ⲉⲧⲉⲧⲉⲛⲛⲁⲧⲁϩⲛⲟ ⲙ̀ⲙⲱⲟⲩ ⲉⲩⲧⲁϩⲛⲟ ⲙ̀ⲙⲱⲟⲩ	ⲛⲉⲧⲉⲧⲛⲁⲕⲁ ⲛⲉⲩⲛⲟⲃⲉ ⲛⲁⲩ ⲉⲃⲟⲗ. ⲥⲉⲛⲁⲕⲁⲁⲩ ⲛⲁⲩ ⲉⲃⲟⲗ. ⲛⲉⲧⲉⲧⲛⲁⲁⲙⲁϩⲧⲉ ⲛ̅ⲛⲟⲩⲟⲩ. ⲥⲉⲛⲁⲙⲁϩⲧⲉ ⲙ̅ⲙⲟⲟⲩ.	Whose sins ye will forgive [to them], they are forgiven to them; and them which ye will retain, they shall be retained.'	ἄν τινων ἀφῆτε τὰς ἁμαρτίας ἀφέωνται αὐτοῖς· ἄν τινων κρατῆτε κεκράτηνται.						
Gospel of St. John	20	20	24	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲑⲱⲙⲁⲥ ⲇⲉ ⲫⲏ ⲉⲧⲟⲩⲙⲟⲩϯ ⲉ̀ⲣⲟϥ ϫⲉ ⲇⲓⲇⲩⲙⲟⲥ ⲟⲩⲁⲓ ⲉ̀ⲃⲟⲗ ϧⲉⲛ ⲡⲓⲓ̅ⲃ̅ ⲛⲁϥⲭⲏ ⲙ̀ⲙⲁⲩ ⲛⲉⲙⲱⲟⲩ ⲁⲛ ⲡⲉ ⲉⲧⲁϥⲓ̀ ϩⲁⲣⲱⲟⲩ ⲛ̀ϫⲉ ⲓⲏ̅ⲥ̅	ⲑⲱⲙⲁⲥ ⲇⲉ ⲟⲩⲁ ⲉⲃⲟⲗ ϩⲙ̅ ⲡⲙⲛ̅ⲧⲥⲛⲟⲟⲩⲥ ⲡⲉϣⲁⲩⲙⲟⲩⲧⲉ ⲉⲣⲟϥ ϫⲉ ⲇⲓⲇⲩⲙⲟⲥ ⲛⲉϥ ⲛⲙ̅ⲙⲁⲩ ⲁⲛ ⲡⲉ ⲛ̅ⲧⲉⲣⲉϥⲉⲓ ⲛ̅ϭⲓ ⲓ̅ⲥ̅.	But Thomas who is called Didymus,' one of the twelve, was (imperf.) not there with them, Jesus having come to them.	Θωμᾶς δὲ εἷς ἐκ τῶν δώδεκα, ὁ λεγόμενος Δίδυμος, οὐκ ἦν μετʼ αὐτῶν ὅτε ἦλθεν Ἰησοῦς.						
Gospel of St. John	20	20	25	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲛⲁⲩϫⲱ ⲟⲩⲛ ⲙ̀ⲙⲟⲥ ⲛⲁϥ ⲡⲉ ⲛ̀ϫⲉ ⲛⲓⲙⲁⲑⲏⲧⲏⲥ ϫⲉ ⲁⲛⲛⲁⲩ ⲉ̀ⲡϭ̅ⲥ̅ ⲛ̀ⲑⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲁⲓϣⲧⲉⲙⲛⲁⲩ ⲉ̀ⲡⲧⲩⲡⲟⲥ ⲛ̀ⲧⲉ ⲛⲓⲓϥⲧ ϧⲉⲛ ⲛⲉϥϫⲓϫ ⲟⲩⲟϩ ⲛ̀ⲧⲁϩⲓⲟⲩⲓ̀ ⲙ̀ⲡⲁⲧⲏⲃ ⲉ̀ⲡⲧⲩⲡⲟⲥ ⲛ̀ⲧⲉ ⲛⲓⲓϥⲧ ⲟⲩⲟϩ ⲛ̀ⲧⲁϩⲟⲩⲓ̀ ⲛ̀ⲧⲁϫⲓϫ ⲉ̀ⲡⲉϥⲥⲫⲓⲣ ⲛ̀ϯⲛⲁⲛⲁϩϯ ⲁⲛ	ⲛⲉⲩϫⲱ ⲇⲉ ⲙ̅ⲙⲟⲥ ⲛⲁϥ ⲛ̅ϭⲓ ⲛⲕⲉⲙⲁⲑⲏⲧⲏⲥ ϫⲉ ⲁⲛⲛⲁⲩ ⲉⲡϫⲟⲉⲓⲥ. ⲛ̅ⲧⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ. ϫⲉ ⲉⲓ̈ⲧⲙ̅ⲛⲁⲩ ⲉⲛⲉϣⲥⲛ̅ ⲉⲓϥⲧ ϩⲛ̅ ⲛⲉϥϭⲓϫ ⲁⲩⲱ ⲧⲁⲛⲉϫ ⲡⲁⲧⲏⲏⲃⲉ ⲉϫⲛ̅ ⲛⲉϣⲥⲛ̅ ⲉⲓϥⲧ ⲁⲩⲱ ⲧⲁⲛⲉϫ ⲧⲁϭⲓϫ ⲉϫⲙ̅ ⲡⲉϥⲥⲡⲓⲣ. ⲛ̅ϯⲛⲁⲡⲓⲥⲧⲉⲩⲉ ⲁⲛ.	The disciples then were saying to him We saw the Lord.' But he said to them: Unless I see (the) print of the nails in his hands, and put (lit. throw) my finger into (the) print of the nails, and put (lit. throw) my hand into his side, I will not believe.'	ἔλεγον οὖν αὐτῷ οἱ ἄλλοι μαθηταί· Ἑωράκαμεν τὸν κύριον. ὁ δὲ εἶπεν αὐτοῖς· Ἐὰν μὴ ἴδω ἐν ταῖς χερσὶν αὐτοῦ τὸν τύπον τῶν ἥλων καὶ βάλω τὸν δάκτυλόν μου εἰς τὸν τύπον τῶν ἥλων καὶ βάλω μου τὴν χεῖρα εἰς τὴν πλευρὰν αὐτοῦ, οὐ μὴ πιστεύσω.						
Gospel of St. John	20	20	26	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲟⲩⲟϩ ⲙⲉⲛⲉⲛⲥⲁ ⲏ̅ ⲛ̀ⲉϩⲟⲟⲩ ⲡⲁⲗⲓⲛ ⲟⲛ ⲛⲁⲩⲑⲟⲩⲏⲧ ⲉ̀ϧⲟⲩⲛ ⲡⲉ ⲛ̀ϫⲉ ⲛⲓⲙⲁⲑⲏⲧⲏⲥ ⲟⲩⲟϩ ⲛⲁϥⲛⲉⲙⲱⲟⲩ ⲡⲉ ⲛ̀ϫⲉ ⲑⲱⲙⲁⲥ ⲁϥⲓ̀ ⲉ̀ϧⲟⲩⲛ ⲛ̀ϫⲉ ⲓⲏ̅ⲥ̅ ⲉⲣⲉ ⲛⲓⲣⲱⲟⲩ ϣⲟⲧⲉⲙ ⲟⲩⲟϩ ⲁϥⲟϩⲓ ⲉ̀ⲣⲁⲧϥ ϧⲉⲛ ⲧⲟⲩⲙⲏϯ ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲧϩⲓⲣⲏⲛⲏ ⲛⲱⲧⲉⲛ	ⲙⲛ̅ⲛ̅ⲥⲁ ϣⲙⲟⲩⲛ ⲇⲉ ⲛ̅ϩⲟⲟⲩ ⲛⲉⲩ ⲛ̅ϩⲟⲩⲛ ⲟⲛ ⲡⲉ ⲛ̅ϭⲓ ⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ⲁⲩⲱ ⲡⲕⲉ ⲑⲱⲙⲁⲥ ⲛⲙ̅ⲙⲁⲩ. ⲁϥⲉⲓ ⲛ̅ϭⲓ ⲓ̅ⲥ̅ ⲉⲣⲉ ⲣ̅ⲣⲟ ϣⲟⲧⲙ ⲁϥⲁϩⲉⲣⲁⲧϥ̅ ϩⲛ̅ ⲧⲉⲩⲙⲏⲧⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ. ϫⲉ ϯⲓ̈ⲣⲏⲛⲏ ⲛⲏⲧⲛ̅.	And after eight days again the disciples were assembled within, and Thomas was with them. Jesus came within, the doors being shut, and he stood in their midst, he said to them: (The) peace to you.'	Καὶ μεθʼ ἡμέρας ὀκτὼ πάλιν ἦσαν ἔσω οἱ μαθηταὶ αὐτοῦ καὶ Θωμᾶς μετʼ αὐτῶν. ἔρχεται ὁ Ἰησοῦς τῶν θυρῶν κεκλεισμένων, καὶ ἔστη εἰς τὸ μέσον καὶ εἶπεν· Εἰρήνη ὑμῖν.						
Gospel of St. John	20	20	27	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲓⲧⲁ ⲡⲉϫⲁϥ ⲛ̀ⲑⲱⲙⲁⲥ ϫⲉ ⲙⲁ ⲡⲉⲕⲧⲏⲃ ⲉⲙⲛⲁⲓ ⲟⲩⲟϩ ⲁⲛⲁⲩ ⲉ̀ⲛⲁϫⲓϫ ⲟⲩⲟϩ ⲁⲩⲓⲥ ⲧⲉⲕϫⲓϫ ϩⲓⲧⲥ ⲉ̀ⲡⲁⲥⲫⲓⲣ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣⲉⲣⲁⲑⲛⲁϩϯ	ⲉⲓⲧⲁ ⲡⲉϫⲁϥ ⲛ̅ⲑⲱⲙⲁⲥ ϫⲉ ⲁⲩ ⲡⲉⲕⲧⲏⲏⲃⲉ ⲉⲡⲉⲉⲓⲙⲁ ⲛⲅ̅ⲛⲁⲩ ⲉⲛⲁϭⲓϫ ⲁⲩⲱ ⲁⲩ ⲧⲉⲕϭⲓϫ ⲛⲅ̅ⲛⲟϫⲥ ⲉϫⲙ̅ ⲡⲁⲥⲡⲓⲣ ⲁⲩⲱ ⲛⲅ̅ⲧⲙ̅ϣⲱⲡⲉ ⲛ̅ⲁⲡⲓⲥⲧⲟⲥ ⲁⲗⲗⲁ ⲙ̅ⲡⲓⲥⲧⲟⲥ.	Then he said to Thomas: 'Reach (lit. give) thy finger hither, and see my hands, and put forth thy hand, thrust (lit. throw) it into my side, and be not faithless.'	εἶτα λέγει τῷ Θωμᾷ· Φέρε τὸν δάκτυλόν σου ὧδε καὶ ἴδε τὰς χεῖράς μου, καὶ φέρε τὴν χεῖρά σου καὶ βάλε εἰς τὴν πλευράν μου, καὶ μὴ γίνου ἄπιστος ἀλλὰ πιστός.						
Gospel of St. John	20	20	28	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲁϥⲉⲣⲟⲩⲱ ⲛ̀ϫⲉ ⲑⲱⲙⲁⲥ ⲟⲩⲟϩ ⲡⲉϫⲁϥ ϫⲉ ⲡⲁϭ̅ⲥ̅ ⲟⲩⲟϩ ⲡⲁⲛⲟⲩϯ	ⲁϥⲟⲩⲱϣⲃ̅ ⲛ̅ϭⲓ ⲑⲱⲙⲁⲥ ⲡⲉϫⲁϥ ⲛⲁϥ. ϫⲉ ⲡⲁϫⲟⲉⲓⲥ ⲁⲩⲱ ⲡⲁⲛⲟⲩⲧⲉ.	Thomas answered and said: My Lord and my God.'	ἀπεκρίθη Θωμᾶς καὶ εἶπεν αὐτῷ· Ὁ κύριός μου καὶ ὁ θεός μου.						
Gospel of St. John	20	20	29	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲡⲉϫⲉ ⲓⲏ̅ⲥ̅ ⲛⲁϥ ϫⲉ ⲉⲧⲁⲕⲛⲁⲩ ⲉ̀ⲣⲟⲓ ⲁⲕⲛⲁϩϯ ⲱⲟⲩⲛⲓⲁⲧⲟⲩ ⲛ̀ⲛⲏ ⲉⲧⲉ ⲙ̀ⲡⲟⲩⲛⲁⲩ ⲟⲩⲟϩ ⲁⲩⲛⲁϩϯ	ⲡⲉϫⲁϥ ⲇⲉ ⲛ̅ϭⲓ ⲓ̅ⲥ̅. ϫⲉ ⲉⲃⲟⲗ ϫⲉ ⲁⲕⲛⲁⲩ ⲉⲣⲟⲉⲓ ⲁⲕⲡⲓⲥⲧⲉⲩⲉ. ⲛⲁⲓ̈ⲁⲧⲟⲩ ⲛ̅ⲛⲉⲧⲉ ⲙ̅ⲡⲟⲩⲛⲁⲩ ⲁⲩⲡⲓⲥⲧⲉⲩⲉ.	Jesus said to him: Because thou sawest me, thou believedst: blessed are they who saw not, and believed.'	λέγει αὐτῷ ὁ Ἰησοῦς· Ὅτι ἑώρακάς με πεπίστευκας; μακάριοι οἱ μὴ ἰδόντες καὶ πιστεύσαντες.						
Gospel of St. John	20	20	30	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲕⲉⲙⲏϣ ⲙⲉⲛ ⲙ̀ⲙⲏⲓⲛⲓ ⲁϥⲁⲓⲧⲟⲩ ⲛ̀ϫⲉ ⲓⲏ̅ⲥ̅ ⲙ̀ⲡⲉⲙⲑⲟ ⲛ̀ⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ⲛⲏ ⲉⲧⲉ ⲛ̀ⲥⲉⲥϧⲏⲟⲩⲧ ⲁⲛ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲡⲁⲓϫⲱⲙ	ⲁϥⲣ̅ ϩⲉⲛⲕⲉⲙⲁⲓ̈ⲛ ⲇⲉ ⲉⲛⲁϣⲱⲟⲩ ⲛ̅ϭⲓ ⲓ̅ⲥ̅ ⲙ̅ⲡⲉⲙ̅ⲧⲟ ⲉⲃⲟⲗ ⲛ̅ⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ⲛⲁⲓ̈ ⲉⲛⲥⲉⲥⲏϩ ⲁⲛ ⲉⲡⲉⲉⲓϫⲱⲱⲙⲉ	Many other signs indeed Jesus did before his disciples, which are not written in this book.	Πολλὰ μὲν οὖν καὶ ἄλλα σημεῖα ἐποίησεν ὁ Ἰησοῦς ἐνώπιον τῶν μαθητῶν, ἃ οὐκ ἔστιν γεγραμμένα ἐν τῷ βιβλίῳ τούτῳ·						
Gospel of St. John	20	20	31	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲛⲁⲓ ⲇⲉ ⲁⲩⲥϧⲏⲧⲟⲩ ϩⲓⲛⲁ ⲛ̀ⲧⲉⲧⲉⲛⲛⲁϩϯ ϫⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡϣⲏⲣⲓ ⲙ̀ⲫϯ ⲡⲉ ⲟⲩⲟϩ ϩⲓⲛⲁ ⲉⲣⲉⲧⲉⲛⲛⲁϩϯ ⲛ̀ⲧⲉ ⲟⲩⲱⲛϧ ⲛ̀ⲉⲛⲉϩ ϣⲱⲡⲓ ⲛⲱⲧⲉⲛ ⲛ̀ϩⲣⲏⲓ ϧⲉⲛ ⲡⲉϥⲣⲁⲛ	ⲛ̅ⲧⲁⲩⲥⲉϩ ⲛⲁⲓ̈ ⲇⲉ ϫⲉⲕⲁⲥ ⲉⲧⲉⲧⲛⲉⲡⲓⲥⲧⲉⲩⲉ ϫⲉ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡϣⲏⲣⲉ ⲙ̅ⲡⲛⲟⲩⲧⲉ ⲡⲉ ⲁⲩⲱ ϫⲉⲕⲁⲥ ⲉⲁⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲉⲩⲉ ⲉⲧⲉⲧⲛⲉϫⲓ̈ ⲛ̅ⲟⲩⲱⲛϩ ϣⲁ ⲉⲛⲉϩ ϩⲙ̅ ⲡⲉϥⲣⲁⲛ:	But these were written, that ye may believe that Jesus Christ is (the) Son of God, and that, believing, eternal life may be to you in his name.	ταῦτα δὲ γέγραπται ἵνα πιστεύητε ὅτι Ἰησοῦς ἐστιν ὁ χριστὸς ὁ υἱὸς τοῦ θεοῦ, καὶ ἵνα πιστεύοντες ζωὴν ἔχητε ἐν τῷ ὀνόματι αὐτοῦ.						
Gospel of St. John	21	21	1	NT	2. NT	Gospels	1. Gospels	06. Gospels	04. Gospel of St. John	ⲙⲉⲛⲉⲛⲥⲁ ⲛⲁⲓ ⲇⲉ ⲟⲛ ⲛⲁϥⲟⲩⲟⲛϩϥ ⲛ̀ϫⲉ ⲓⲏ̅ⲥ̅ ⲉ̀ⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ϩⲓϫⲉⲛ ⲫⲓⲟⲙ ⲛ̀ⲧⲉ ⲧⲓⲃⲉⲣⲓⲁⲇⲟⲥ ⲁϥⲟⲩⲟⲛϩϥ ⲇⲉ ⲙ̀ⲡⲁⲓⲣⲏϯ	ⲙⲛ̅ⲛ̅ⲥⲁ ⲛⲁⲓ̈ ⲟⲛ ⲁ ⲓ̅ⲥ̅ ⲟⲩⲟⲛϩϥ ⲉⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ ϩⲓ̈ϫⲛ̅ ⲑⲁⲗⲁⲥⲥⲁ ⲛ̅ⲧⲓⲃⲉⲣⲓⲁⲥ. ⲛ̅ⲧⲁϥⲟⲩⲟⲛϩϥ ⲇⲉ ⲉⲃⲟⲗ ⲛ̅ⲧⲉⲓ̈ϩⲉ.	And after these (things) again Jesus manifested himself to his disciples at the sea of Tiberiados; and he manifested himself thus.	Μετὰ ταῦτα ἐφανέρωσεν ἑαυτὸν πάλιν ὁ Ἰησοῦς τοῖς μαθηταῖς ἐπὶ τῆς θαλάσσης τῆς Τιβεριάδος· ἐφανέρωσεν δὲ οὕτως.						
