book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
First Samuel	6	06	2	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲛ̅ⲁⲗⲗⲟⲫⲩⲗⲟⲥ ⲇⲉ ⲁⲩⲙⲟⲩⲧⲉ ⲉⲛⲉⲩⲟⲩⲏⲏⲃ. ⲙⲛ̅ ⲛⲉⲩⲣⲉϥϣⲓ̈ⲛⲉ. ⲁⲩⲱ ⲛⲉⲩⲣⲉϥⲙⲟⲩⲧⲉ. ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ ϫⲉ ⲟⲩ ⲡⲉⲧⲉⲛⲛⲁⲁⲁϥ ⲛ̅ⲧⲕⲟⲓⲃⲱⲧⲟⲥ ⲙ̅ⲡϫⲟⲉⲓⲥ. ⲧⲟⲩⲛⲓ̈ⲁⲧⲛ̅ ⲉⲃⲟⲗ. ϫⲉ ⲉⲛⲛⲁϫⲟⲟⲩⲥ ⲉϩⲣⲁⲓ̈ ⲉⲡⲉⲥⲙⲁ ϩⲛ̅ ⲟⲩ.	And the Philistines call their priests, and their prophets, and their enchanters, saying, What shall we do to the ark of the Lord? teach us wherewith we shall send it away to its place.	καὶ καλοῦσιν ἀλλόφυλοι τοὺς ἱερεῖς καὶ τοὺς µάντεις καὶ τοὺς ἐπαοιδοὺς αὐτῶν λέγοντες Τί ποιήσωµεν τῇ κιβωτῷ κυρίου; γνωρίσατε ἡµῖν ἐν τίνι ἀποστελοῦµεν αὐτὴν εἰς τὸν τόπον αὐτῆς.						
First Samuel	6	06	3	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲡⲉϫⲁⲩ ⲛⲁⲩ ϫⲉ ⲉϣϫⲉ ⲧⲉⲧⲛ̅ⲛⲁϫⲟⲟⲩ ⲛ̅ⲧⲱⲧⲛ̅ ⲛ̅ⲧⲕⲟⲓⲃⲱⲧⲟⲥ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲡⲛⲟⲩⲧⲉ ⲙ̅ⲡⲓⲏ̅ⲗ̅. ⲙ̅ⲡⲉⲣϫⲟⲟⲩⲥ ⲉⲃⲟⲗ ⲉⲥϣⲟⲩⲉⲓⲧ. ⲁⲗⲗⲁ ϩⲛ̅ ⲟⲩϯ. ϯ ⲛⲁⲥ ⲙ̅ⲡⲧⲱϣ ⲛ̅ⲧⲃⲁⲥⲁⲛⲟⲥ. ⲁⲩⲱ ⲧⲉⲧⲛ̅ⲛⲁⲉⲙⲧⲟⲛ ⲛ̅ⲧⲉ ⲡϫⲟⲉⲓⲥ ⲕⲱ ⲛⲏⲧⲛ̅ ⲉⲃⲟⲗ. ⲉϣⲱⲡⲉ ⲙ̅ⲙⲟⲛ ⲛ̅ⲧϭⲓϫ ⲙ̅ⲡϫⲟⲉⲓⲥ ⲛⲁⲗⲟ ⲁⲛ ϩⲓ̈ϫⲱⲧⲛ̅.	And they said, If ye send away the ark of the covenant of the Lord God of Israel, do not on any account send it away empty, but by all means render to it an offering for the plague; and then shall ye be healed, and an atonement shall be made for you: should not his hand be thus stayed from off you?	καὶ εἶπαν Εἰ ἐξαποστέλλετε ὑµεῖς τὴν κιβωτὸν διαθήκης κυρίου θεοῦ Ισραηλ, µὴ δὴ ἐξαποστείλητε αὐτὴν κενήν, ἀλλὰ ἀποδιδόντες ἀπόδοτε αὐτῇ τῆς βασάνου, καὶ τότε ἰαθήσεσθε, καὶ ἐξιλασθήσεται ὑµῖν, µὴ οὐκ ἀποστῇ ἡ χεὶρ αὐτοῦ ἀφ’ ὑµῶν.						
First Samuel	6	06	4	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲡⲉϫⲁⲩ ⲛⲁⲩ ϫⲉ ⲟⲩ ⲡⲉ ⲡⲧⲱϣ ⲛ̅ⲧⲃⲁⲥⲁⲛⲟⲥ. ⲉⲧⲉⲛⲛⲁⲧⲁⲁϥ ⲛⲁⲥ. ⲡⲉϫⲉ ⲛ̅ⲣⲉϥϣⲓ̈ⲛⲉ ⲛⲁⲩ. ϫⲉ ⲕⲁⲧⲁ ⲧⲏⲡⲉ ⲛ̅ⲛⲉⲥⲁⲧⲣⲁⲡⲏⲥ ⲛ̅ⲛ̅ⲁⲗⲗⲟⲫⲩⲗⲟⲥ. ϯ ⲛⲁⲥ ⲛ̅ϯⲛⲟⲩ ⲙ̅ⲙⲁ ⲛⲉϩⲙⲟⲟⲥ ⲛ̅ⲛⲟⲩⲃ. ϫⲉ ⲁⲩⲛⲟⲃⲉ ϣⲱⲡⲉ ⲛ̅ϩⲏⲧⲧⲏⲩⲧⲛ̅. ⲙⲛ̅ ⲛⲉⲧⲛⲁⲣⲭⲱⲛ ⲙⲛ̅ ⲡⲕⲉⲗⲁⲟⲥ.	And they say, What is the offering for the plague which we shall return to it? and they said, (5) According to the number of the lords of the Philistines, five golden emerods, for the plague was on you, and on your rulers, and on the people;	καὶ λέγουσιν Τί τὸ τῆς βασάνου ἀποδώσοµεν αὐτῇ; καὶ εἶπαν Κατ’ ἀριθµὸν τῶν σατραπῶν τῶν ἀλλοφύλων πέντε ἕδρας χρυσᾶς, ὅτι πταῖσµα ἓν ὑµῖν καὶ τοῖς ἄρχουσιν ὑµῶν καὶ τῷ λαῷ,						
First Samuel	6	06		OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲁⲩⲱ ϩⲛ̅ⲕⲉⲡⲓⲛ ⲛ̅ⲛⲟⲩⲃ. ⲛ̅ⲧⲉⲧⲛ̅ⲧⲁⲙⲓ̈ⲟⲟⲩ ⲕⲁⲧⲁ ⲡⲓ̈ⲛⲉ ⲛ̅ⲛⲉⲡⲓⲛ ⲛⲁⲓ̈ ⲉⲧⲧⲁⲕⲟ ⲙ̅ⲡⲉⲧⲛ̅ⲕⲁϩ. ⲛ̅ⲧⲉⲧⲛ̅ϯⲉⲟⲟⲩ ⲙ̅ⲡϫⲟⲉⲓⲥ. ϫⲉⲕⲁⲥ ⲉϥⲉϥⲓ̈ ⲛ̅ⲧⲉϥϭⲓϫ ⲉⲃⲟⲗ ϩⲓ̈ϫⲱⲧⲛ̅. ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲓ̈ϫⲛ̅ ⲡⲉⲧⲛ̅ⲛⲟⲩⲧⲉ. ⲁⲩⲱ ⲉⲃⲟⲗ ϩⲓ̈ϫⲛ̅ ⲡⲉⲧⲛ̅ⲕⲁϩ.	and golden mice, the likeness of the mice that destroy your land: and ye shall give glory to the Lord, that he may lighten his hand from off you, and from off your gods, and from off your land.	καὶ µῦς χρυσοῦς ὁµοίωµα τῶν µυῶν ὑµῶν τῶν διαφθειρόντων τὴν γῆν· καὶ δώσετε τῷ κυρίῳ δόξαν, ὅπως κουφίσῃ τὴν χεῖρα αὐτοῦ ἀφ’ ὑµῶν καὶ ἀπὸ τῶν θεῶν ὑµῶν καὶ ἀπὸ τῆς γῆς ὑµῶν.						
First Samuel	6	06	6	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲁⲩⲱ ⲉⲧⲃⲉⲟⲩ ⲁⲧⲉⲧⲛ̅ϯⲉⲛϣⲟⲧ ⲛ̅ⲛⲉⲧⲛ̅ϩⲏⲧ. ⲛ̅ⲑⲉ ⲛ̅ⲧⲁ ⲫⲁⲣⲁⲱ. ⲙⲛ̅ ⲛⲉⲣⲙ̅ⲛ̅ⲕⲏⲙⲉ ϯⲉⲛϣⲟⲧ ⲛ̅ⲛⲉⲩϩⲏⲧ. ⲙⲏ ⲛ̅ⲧⲉⲣⲉϥⲑⲙ̅ⲕⲟⲟⲩ ⲙ̅ⲡⲟⲩⲕⲱ ⲉⲃⲟⲗ ⲛ̅ⲛ̅ϣⲏⲣⲉ ⲙ̅ⲡⲓⲏ̅ⲗ̅ ⲁⲩⲃⲱⲕ.	And why do ye harden your hearts, as Egypt and Pharao hardened their hearts? was it not so when he mocked them, that they let the people go, and they departed?	καὶ ἵνα τί βαρύνετε τὰς καρδίας ὑµῶν, ὡς ἐβάρυνεν Αἴγυπτος καὶ Φαραω τὴν καρδίαν αὐτῶν; οὐχὶ ὅτε ἐνέπαιξεν αὐτοῖς, ἐξαπέστειλαν αὐτούς, καὶ ἀπῆλθον;						
First Samuel	6	06	7	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲧⲉⲛⲟⲩ ϭⲉ ⲛ̅ⲧⲱⲧⲛ̅. ϫⲓ̈ ⲛ̅ⲧⲉⲧⲛ̅ⲧⲁⲙⲓ̈ⲟ ⲛ̅ⲟⲩⲁϭⲟⲗⲧⲉ ⲛⲃ̅ⲣ̅ⲣⲉ. ⲁⲩⲱ ⲉϩⲉ ⲥⲛ̅ⲧⲉ ⲛ̅ϣⲁⲙⲓⲥⲉ. ⲁϫⲛ̅ ⲛⲉⲩϣⲏⲣⲉ. ⲇⲉ ⲛ̅ⲧⲉⲧⲛ̅ⲟⲩⲁⲁⲧⲟⲩ ⲉϩⲣⲁⲓ̈ ⲉⲛⲉⲩⲙⲁ.	And now take wood and make a new wagon, and take two cows, that have calved for the first time, without their calves; and do ye yoke the cows to the wagon, and lead away the calves from behind them home.	καὶ νῦν λάβετε καὶ ποιήσατε ἅµαξαν καινὴν καὶ δύο βόας πρωτοτοκούσας ἄνευ τῶν τέκνων καὶ ζεύξατε τὰς βόας ἐν τῇ ἁµάξῃ καὶ ἀπαγάγετε τὰ τέκνα ἀπὸ ὄπισθεν αὐτῶν εἰς οἶκον·						
First Samuel	6	06	8	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲁⲩⲱ ⲛ̅ⲧⲉⲧⲛ̅ϫⲓ̈ ⲛ̅ⲧⲕⲟⲓⲃⲱⲧⲟⲥ ⲛ̅ⲧⲉⲧⲛ̅ⲧⲁⲗⲟⲥ ⲉϩⲣⲁⲓ̈ ⲉϫⲛ̅ ⲧⲁϭⲟⲗⲧⲉ. ⲁⲩⲱ ⲛⲉⲥⲕⲉⲩⲏ ⲛ̅ⲛⲟⲩⲃ. ⲉⲧⲉⲧⲛ̅ⲛⲁⲧⲁⲁⲩ ⲛⲁⲥ ϩⲁ ⲧⲃⲁⲥⲁⲛⲟⲥ. ⲉⲧⲉⲧⲛ̅ⲛⲉⲕⲁⲁⲩ ⲛ̅ⲥⲁ ⲟⲩⲥⲁ. ⲛ̅ⲑⲏⲕⲉ(sic) ⲛ̅ⲧⲁϭⲟⲗⲧⲉ. ⲛ̅ⲧⲉⲧⲛ̅ϫⲟⲟⲩⲥ ⲉⲃⲟⲗ. ⲉⲧⲉⲧⲛ̅ϫⲱⲣⲉⲙ ⲙ̅ⲙⲟⲥ ⲛ̅ⲧⲉⲧⲛ̅ⲟⲩⲉϩⲧⲏⲩⲧⲛ̅ ⲛ̅ⲥⲱⲥ.	And ye shall take the ark and put it on the wagon; and ye shall restore to it the golden articles for the trespass-offering in a coffer by the side of it: and ye shall let it go, and sent it away, and ye shall depart.	καὶ λήµψεσθε τὴν κιβωτὸν καὶ θήσετε αὐτὴν ἐπὶ τὴν ἅµαξαν καὶ τὰ σκεύη τὰ χρυσᾶ ἀποδώσετε αὐτῇ τῆς βασάνου καὶ θήσετε ἐν θέµατι βερσεχθαν ἐκ µέρους αὐτῆς καὶ ἐξαποστελεῖτε αὐτὴν καὶ ἀπελάσατε αὐτήν, καὶ ἀπελεύσεται·						
First Samuel	6	06	9	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲛ̅ⲧⲉⲧⲛ̅ϯ ϩⲧⲏⲧⲛ̅ ⲉⲡⲉⲥⲙⲟⲉⲓⲧ. ⲉⲥⲛⲁⲧⲁⲁⲥ ⲉϩⲣⲁⲓ̈ ⲉⲧⲉⲥϩⲓ̈ⲏ. ⲕⲁⲧⲁ ⲧⲉϩⲓ̈ⲏ. ⲛ̅ⲃⲏⲑⲥⲁⲙⲏⲥ. ⲉϣⲱⲡⲉ ⲥⲉ. ⲛ̅ⲧⲟϥ ⲡⲉ ⲛ̅ⲧⲁϥⲉⲓⲛⲉ ⲛⲁⲛ ⲛ̅ⲧⲉⲓ̈ⲛⲟϭ ⲛ̅ⲕⲁⲕⲓⲁ. ⲉⲥⲧⲙ̅ⲧⲁⲁⲥ ⲇⲉ ⲉⲡⲥⲁ ⲉⲧⲙ̅ⲙⲁⲩ. ⲧⲉⲛⲛⲁⲉⲓⲙⲉ ϫⲉ ⲛ̅ⲧⲉϥϭⲓϫ ⲧⲉ ⲁⲛ ⲛ̅ⲧⲁⲥⲉⲓ ⲉϫⲱⲛ. ⲁⲗⲗⲁ ⲟⲩⲁⲡⲁⲛⲧⲏⲙⲁ ⲡⲉ ⲡⲁⲓ̈ ⲛ̅ⲧⲁϥⲧⲁϩⲟⲛ.	And ye shall see, if it shall go the way of its coasts along by Baethsamys, he has brought upon us this great affliction; and if not, then shall we know that his hand has not touched us, but this is a chance which has happened to us.	καὶ ὄψεσθε, εἰ εἰς ὁδὸν ὁρίων αὐτῆς πορεύσεται κατὰ Βαιθσαµυς, αὐτὸς πεποίηκεν ἡµῖν τὴν κακίαν ταύτην τὴν µεγάλην, καὶ ἐὰν µή, καὶ γνωσόµεθα ὅτι οὐ χεὶρ αὐτοῦ ἧπται ἡµῶν, ἀλλὰ σύµπτωµα τοῦτο γέγονεν ἡµῖν.						
First Samuel	6	06	10	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲁⲩⲱ ⲛ̅ⲁⲗⲗⲟⲫⲩⲗⲟⲥ ⲁⲩⲉⲓⲣⲉ ϩⲓ̈ⲛⲁⲓ̈. ⲁⲩϫⲓ̈ ⲛ̅ⲧⲉϩⲉ ⲥⲛ̅ⲧⲉ ⲛ̅ϣⲁⲙⲓⲥⲉ ⲁⲩⲛⲁϩⲃⲟⲩ ⲉϩⲟⲩⲛ ⲉⲧⲁϭⲟⲗⲧⲉ. ⲛⲉⲩϣⲏⲣⲉ ⲇⲉ ⲁⲩϫⲟⲟⲩⲥⲟⲩ ⲉϩⲣⲁⲓ̈ ⲉⲡⲉⲩⲙⲁ.	And the Philistines did so; and they took two cows that had calved for the first time, and yoked them to the waggon, and shut up their calves at home.	καὶ ἐποίησαν οἱ ἀλλόφυλοι οὕτως καὶ ἔλαβον δύο βόας πρωτοτοκούσας καὶ ἔζευξαν αὐτὰς ἐν τῇ ἁµάξῃ καὶ τὰ τέκνα αὐτῶν ἀπεκώλυσαν εἰς οἶκον						
First Samuel	6	06	11	OT	1. OT	Historical Books	2. Historical Books	02. Historical Books	04. First Samuel		ⲁⲩⲱ ⲁⲩⲕⲱ ⲛ̅ⲧⲁⲩ ⲛ̅ⲧⲕⲟⲓ̈ⲃⲱⲧⲟⲥ ⲉϫⲛ̅ ⲧⲁϭⲟⲗⲧⲉ ⲁⲩⲱ ⲡⲉⲣⲏⲧ ⲛ̅ⲧⲁⲩⲉⲣⲏⲧ ⲙ̅ⲙⲟϥ. ⲙ̅ⲙⲁ ⲛⲉϩⲙⲟⲟⲥ ⲛ̅ⲛⲟⲩⲃ. ⲙⲛ̅ ⲛⲉⲕⲉⲡⲓⲛ ⲛ̅ⲛⲟⲩⲃ. ⲁⲩⲕⲁⲁⲩ ϩⲛ̅ ⲧⲉⲥⲑⲩⲕⲏ.	And they set the ark of the Lord, and the coffer, and the golden mice, on the waggon.	καὶ ἔθεντο τὴν κιβωτὸν ἐπὶ τὴν ἅµαξαν καὶ τὸ θέµα εργαβ καὶ τοὺς µῦς τοὺς χρυσοῦς.						
